"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKZI003_04318_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>The House Leveilleur servant is working to beautify the city.","TEXT_AKTKZI003_04318_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>Règle spéciale<var 1D /var>:  synchronisation de quête<var 49 01 /var><var 48 01 /var><br>Ce domestique des Leveilleur recrute des volontaires pour une œuvre caritative.","","True","0x00000000","",""
"","TEXT_AKTKZI003_04318_SEQ_01<tab>","TEXT_AKTKZI003_04318_SEQ_01<tab>","","True","0x00000001","",""
"","TEXT_AKTKZI003_04318_SEQ_02<tab>","TEXT_AKTKZI003_04318_SEQ_02<tab>","","True","0x00000002","",""
"","TEXT_AKTKZI003_04318_SEQ_03<tab>","TEXT_AKTKZI003_04318_SEQ_03<tab>","","True","0x00000003","",""
"","TEXT_AKTKZI003_04318_SEQ_04<tab>","TEXT_AKTKZI003_04318_SEQ_04<tab>","","True","0x00000004","",""
"","TEXT_AKTKZI003_04318_SEQ_05<tab>","TEXT_AKTKZI003_04318_SEQ_05<tab>","","True","0x00000005","",""
"","TEXT_AKTKZI003_04318_SEQ_06<tab>","TEXT_AKTKZI003_04318_SEQ_06<tab>","","True","0x00000006","",""
"","TEXT_AKTKZI003_04318_SEQ_07<tab>","TEXT_AKTKZI003_04318_SEQ_07<tab>","","True","0x00000007","",""
"","TEXT_AKTKZI003_04318_SEQ_08<tab>","TEXT_AKTKZI003_04318_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_AKTKZI003_04318_SEQ_09<tab>","TEXT_AKTKZI003_04318_SEQ_09<tab>","","True","0x00000009","",""
"","TEXT_AKTKZI003_04318_SEQ_10<tab>","TEXT_AKTKZI003_04318_SEQ_10<tab>","","True","0x0000000A","",""
"","TEXT_AKTKZI003_04318_SEQ_11<tab>","TEXT_AKTKZI003_04318_SEQ_11<tab>","","True","0x0000000B","",""
"","TEXT_AKTKZI003_04318_SEQ_12<tab>","TEXT_AKTKZI003_04318_SEQ_12<tab>","","True","0x0000000C","",""
"","TEXT_AKTKZI003_04318_SEQ_13<tab>","TEXT_AKTKZI003_04318_SEQ_13<tab>","","True","0x0000000D","",""
"","TEXT_AKTKZI003_04318_SEQ_14<tab>","TEXT_AKTKZI003_04318_SEQ_14<tab>","","True","0x0000000E","",""
"","TEXT_AKTKZI003_04318_SEQ_15<tab>","TEXT_AKTKZI003_04318_SEQ_15<tab>","","True","0x0000000F","",""
"","TEXT_AKTKZI003_04318_SEQ_16<tab>","TEXT_AKTKZI003_04318_SEQ_16<tab>","","True","0x00000010","",""
