"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_SUBCTS810_01431_SEQ_00<tab>I'tolwann is ill pleased with the carelessness of the Wench's customers.","TEXT_SUBCTS810_01431_SEQ_00<tab>I'tolwann hat einen kleinen Auftrag für dich.","","False","0x00000000","",""
"","TEXT_SUBCTS810_01431_SEQ_01<tab>A weighty and well-worn journal has been left behind at the Wench, and I'tolwann would see it returned to its owner─a first-time customer who enjoyed Baderon's ale a bit too much. She informs you that Quentenain, a regular at the Wench, was drinking with the stranger and might know something about his whereabouts.","TEXT_SUBCTS810_01431_SEQ_01<tab>I'tolwann hat dich gebeten, den Eigentümer <var 32 ((EventItem)) 03F61E8991020302 /var> ausfindig zu machen. Frage Quentenain in der Ertränkten Sorge, ob er etwas darüber weiß.","","False","0x00000001","",""
"","TEXT_SUBCTS810_01431_SEQ_02<tab>Quentenain recalls the book's owner well, if not fondly─the man in question downed enough ale to sink a small vessel and left his drinking companion to pay for his excess. Despite having no interest in seeing the raucous Roegadyn's possessions returned, he nevertheless suggests that you may find your man at the Lominsan ferry docks.","TEXT_SUBCTS810_01431_SEQ_02<tab>Du hast mit Quentenain gesprochen. Er glaubt, dass die Agenda einem Roegadyn namens Wastlleid gehört. Finde ihn am Fähranleger Limsa Lominsa und gib ihm seine <var 32 ((EventItem)) 06F61E8991020502 /var> zurück.","","False","0x00000002","",""
"","TEXT_SUBCTS810_01431_SEQ_03<tab>You successfully return the journal to its owner, a self-assured adventurer by the name of Wastlleid, who informs you that the impressive tome is a self-penned log of his exploits. In return for your kindness, he affords you a similar, unused book, that you might likewise keep a record of your deeds.","TEXT_SUBCTS810_01431_SEQ_03<tab>Du hast Wastlleid seine <var 32 ((EventItem)) 06F61E8991020502 /var> zurückgebracht. Aus Dank hat er dir eine ähnliche, neue Agenda gegeben. Erledige die dort aufgelisteten Aufgaben, um weiter an Routine zu gewinnen.","","False","0x00000003","",""
"","TEXT_SUBCTS810_01431_SEQ_04<tab>","TEXT_SUBCTS810_01431_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_SUBCTS810_01431_SEQ_05<tab>","TEXT_SUBCTS810_01431_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_SUBCTS810_01431_SEQ_06<tab>","TEXT_SUBCTS810_01431_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_SUBCTS810_01431_SEQ_07<tab>","TEXT_SUBCTS810_01431_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_SUBCTS810_01431_SEQ_08<tab>","TEXT_SUBCTS810_01431_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_SUBCTS810_01431_SEQ_09<tab>","TEXT_SUBCTS810_01431_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_SUBCTS810_01431_SEQ_10<tab>","TEXT_SUBCTS810_01431_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_SUBCTS810_01431_SEQ_11<tab>","TEXT_SUBCTS810_01431_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_SUBCTS810_01431_SEQ_12<tab>","TEXT_SUBCTS810_01431_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_SUBCTS810_01431_SEQ_13<tab>","TEXT_SUBCTS810_01431_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_SUBCTS810_01431_SEQ_14<tab>","TEXT_SUBCTS810_01431_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_SUBCTS810_01431_SEQ_15<tab>","TEXT_SUBCTS810_01431_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_SUBCTS810_01431_SEQ_16<tab>","TEXT_SUBCTS810_01431_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_SUBCTS810_01431_SEQ_17<tab>","TEXT_SUBCTS810_01431_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_SUBCTS810_01431_SEQ_18<tab>","TEXT_SUBCTS810_01431_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_SUBCTS810_01431_SEQ_19<tab>","TEXT_SUBCTS810_01431_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_SUBCTS810_01431_SEQ_20<tab>","TEXT_SUBCTS810_01431_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_SUBCTS810_01431_SEQ_21<tab>","TEXT_SUBCTS810_01431_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_SUBCTS810_01431_SEQ_22<tab>","TEXT_SUBCTS810_01431_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_SUBCTS810_01431_SEQ_23<tab>","TEXT_SUBCTS810_01431_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_SUBCTS810_01431_TODO_00<tab>Speak with Quentenain.","TEXT_SUBCTS810_01431_TODO_00<tab>Mit Quentenain sprechen","","False","0x00000018","",""
"","TEXT_SUBCTS810_01431_TODO_01<tab>Deliver the well-worn journal to Wastlleid at the Lominsan ferry docks.","TEXT_SUBCTS810_01431_TODO_01<tab>Wastlleid seine <var 32 ((EventItem)) 06F61E8991020502 /var> zurückbringen","","False","0x00000019","",""
"","TEXT_SUBCTS810_01431_TODO_02<tab>","TEXT_SUBCTS810_01431_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_SUBCTS810_01431_TODO_03<tab>","TEXT_SUBCTS810_01431_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_SUBCTS810_01431_TODO_04<tab>","TEXT_SUBCTS810_01431_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_SUBCTS810_01431_TODO_05<tab>","TEXT_SUBCTS810_01431_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_SUBCTS810_01431_TODO_06<tab>","TEXT_SUBCTS810_01431_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_SUBCTS810_01431_TODO_07<tab>","TEXT_SUBCTS810_01431_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_SUBCTS810_01431_TODO_08<tab>","TEXT_SUBCTS810_01431_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_SUBCTS810_01431_TODO_09<tab>","TEXT_SUBCTS810_01431_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_SUBCTS810_01431_TODO_10<tab>","TEXT_SUBCTS810_01431_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_SUBCTS810_01431_TODO_11<tab>","TEXT_SUBCTS810_01431_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_SUBCTS810_01431_TODO_12<tab>","TEXT_SUBCTS810_01431_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_SUBCTS810_01431_TODO_13<tab>","TEXT_SUBCTS810_01431_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_SUBCTS810_01431_TODO_14<tab>","TEXT_SUBCTS810_01431_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_SUBCTS810_01431_TODO_15<tab>","TEXT_SUBCTS810_01431_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_SUBCTS810_01431_TODO_16<tab>","TEXT_SUBCTS810_01431_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_SUBCTS810_01431_TODO_17<tab>","TEXT_SUBCTS810_01431_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_SUBCTS810_01431_TODO_18<tab>","TEXT_SUBCTS810_01431_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_SUBCTS810_01431_TODO_19<tab>","TEXT_SUBCTS810_01431_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_SUBCTS810_01431_TODO_20<tab>","TEXT_SUBCTS810_01431_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_SUBCTS810_01431_TODO_21<tab>","TEXT_SUBCTS810_01431_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_SUBCTS810_01431_TODO_22<tab>","TEXT_SUBCTS810_01431_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_SUBCTS810_01431_TODO_23<tab>","TEXT_SUBCTS810_01431_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_SUBCTS810_01431_ITOLWANN_000_000<tab>We all know how it feels to have had one too many─that's why I'll not fault our patrons for much of what goes on at our tables. But is it too much to ask that they keep their belongings on their person when they leave?","TEXT_SUBCTS810_01431_ITOLWANN_000_000<tab>Ach, was mach ich denn jetzt? Der Gast scheint nicht mehr da zu sein!","","False","0x00000030","",""
"","TEXT_SUBCTS810_01431_ITOLWANN_000_001<tab>It wouldn't bother me so much if half of them didn't show up a week later, ranting and raving as if their drunken heedlessness were somehow <var 1A 02 /var>my<var 1A 01 /var> fault!","TEXT_SUBCTS810_01431_ITOLWANN_000_001<tab>Da hat jemand sein Notizbuch oder so etwas auf dem Tisch liegen lassen. Er hat wohl einen über den Durst getrunken und ist unachtsam geworden.","","False","0x00000031","",""
"","TEXT_SUBCTS810_01431_ITOLWANN_000_002<tab>Take this impressive-looking journal right here. As oft used as it seems to be, I've no doubt its owner is tearing up the town searching for his prized possession.","TEXT_SUBCTS810_01431_ITOLWANN_000_002<tab>Das Notizbuch sieht ziemlich wichtig aus: total vollgeschrieben und abgegriffen, als würde es täglich benutzt werden. Wärst du so nett und bringst es seinem Eigentümer zurück?","","False","0x00000032","",""
"","TEXT_SUBCTS810_01431_ITOLWANN_000_003<tab>A stranger, he was─a swarthy Roegadyn who enjoyed his drink. Seemed to be getting on well with one of our regulars, Quentenain. Perhaps you could still catch up with him and spare me the headache. I'd offer you a free drink, but last time I did that Baderon docked my wages.","TEXT_SUBCTS810_01431_ITOLWANN_000_003<tab>Hier. Der Gast war ein Roegadyn. Bevor er ging, hat er gesagt, dass er etwas mit Quentenain zu besprechen hat. Vielleicht erwischst du ihn da. Viel Glück!","","False","0x00000033","",""
"","TEXT_SUBCTS810_01431_QUENTENAIN_000_010<tab>Have I seen <var 1A 02 /var>who<var 1A 01 /var>? Look, just 'cause I spend more nights at the Wench than in me own home doesn't mean I'm mates with every sod who comes stumblin' through the doors.","TEXT_SUBCTS810_01431_QUENTENAIN_000_010<tab>Hm? Ja, bis gerade eben noch war ein Roegadyn hier. Ihr wollt wissen, wohin er gegangen ist? Und warum, wenn ich fragen darf? Ach, er hat sein Notizbuch vergessen. Verstehe.","","False","0x00000034","",""
"","TEXT_SUBCTS810_01431_QUENTENAIN_000_011<tab>Wait a minute...that bloody book! Why didn't ye say so sooner!? The tight-arsed bastard drained twenty flagons and promptly passed out, leavin' yers truly to foot the bill.","TEXT_SUBCTS810_01431_QUENTENAIN_000_011<tab>Er hat mich gefragt, wie er am schnellsten nach Bierhafen kommt. Da hab ich ihn zum Fähranleger geschickt. Ja, genau, der vor der Fischergilde.","","False","0x00000035","",""
"","TEXT_SUBCTS810_01431_QUENTENAIN_000_012<tab>Said he was headin' for Aleport─aye, where else, the scurvy sop. Nymeia willin', he's still stranded at the ferry docks, though the gods know it won't help get me gil back.","TEXT_SUBCTS810_01431_QUENTENAIN_000_012<tab>Wastlleid heißt der Gute. Ein großer Kerl, Ihr werdet ihn nicht übersehen.","","False","0x00000036","",""
"","TEXT_SUBCTS810_01431_QUENTENAIN_000_019<tab>If yer lookin' for the owner of that bloody book, like as not ye'll find him at the ferry docks. That or passed out in a gutter somewhere 'long the way, chokin' on his own vomit. Would serve him right, if you ask me.","TEXT_SUBCTS810_01431_QUENTENAIN_000_019<tab>Ich habe Wastlleid zum Fähranleger vor der Fischergilde geschickt. Von da aus wollte er nach Bierhafen. Vielleicht erwischst du ihn dort.","","False","0x00000037","",""
"","TEXT_SUBCTS810_01431_WASTLLEID_000_020<tab>If you have business with me, be quick about it. My ferry and my next great adventure await.","TEXT_SUBCTS810_01431_WASTLLEID_000_020<tab>Hm? Was willst du von mir? Siehst du nicht, dass ich gerade nichts zu tun habe?","","False","0x00000038","",""
"","TEXT_SUBCTS810_01431_WASTLLEID_000_021<tab>My journal! Why, I thought I had lost it forever! Pardon my rudeness, friend. Perhaps I should have stopped after nineteen flagons. Har har!","TEXT_SUBCTS810_01431_WASTLLEID_000_021<tab>Ach, das ist ja meine Agenda! Wo hast du die ...? Ach, in der Ertränkten Sorge. Ich sollte besser auf meine Sachen aufpassen, wenn ich mir einen genehmige.","","False","0x00000039","",""
"","TEXT_SUBCTS810_01431_WASTLLEID_000_022<tab>Did you steal a glance at its pages, perchance? No? A shame, that. For this book contains─how might I say it?─a record of my numerous adventures. Quite the inspiring read, if I do say so myself. Which I believe I just did! Har har!","TEXT_SUBCTS810_01431_WASTLLEID_000_022<tab>Tut mir leid, dass ich so grob zu dir war. Du als Abenteuer weißt ja, wie wichtig so eine Agenda ist.","","False","0x0000003A","",""
"","TEXT_SUBCTS810_01431_WASTLLEID_000_023<tab>You've the air of adventurer about you, if one still untested. But take heart! Even the most accomplished adventurer─and I speak from personal experience─was once a whelp with more dreams than sense.","TEXT_SUBCTS810_01431_WASTLLEID_000_023<tab>Du weißt nicht, was das ist? Na, du bist ja auch noch etwas grün hinter den Ohren. Hier, ich habe noch ein Exemplar. Neu und unbenutzt. Das kannst du haben.","","False","0x0000003B","",""
"","TEXT_SUBCTS810_01431_WASTLLEID_000_024<tab>You've the air of adventurer about you, and one almost as accomplished as myself. Had it been you across the table from me at the Wench last night, I imagine the tales would have been great and the ale all the sweeter.","TEXT_SUBCTS810_01431_WASTLLEID_000_024<tab>Du weißt nicht, was das ist? Dabei siehst du wie <var 08 E905 ((eine hartgesottene Abenteurerin)) ((ein hartgesottener Abenteurer)) /var> aus ... Hier, ich habe noch ein Exemplar. Neu und unbenutzt. Das kannst du haben.","","False","0x0000003C","",""
"","TEXT_SUBCTS810_01431_WASTLLEID_000_025<tab>Were there only some way for me to repay your─but of course! I've a fresh journal right here that might as well have your name on it. Why not keep a record of your own, that one day we might regale each other with stories of our deeds?","TEXT_SUBCTS810_01431_WASTLLEID_000_025<tab>In dieser Agenda sind Aufgaben verzeichnet, die auch für erfahrene Abenteurer eine Heraus<var 16 /var>forde<var 16 /var>rung darstellen. Nur die fleißigsten von uns schaffen es, sie abzuarbeiten.","","False","0x0000003D","",""
"","TEXT_SUBCTS810_01431_WASTLLEID_000_026<tab>And with that, I shall be off, for adventure─and a flagon or twenty of the realm's finest ale─calls me. Fare you well on your journey, and next time you find yourself at the Wench, do thank that Elezen fellow for his generosity. Har har!","TEXT_SUBCTS810_01431_WASTLLEID_000_026<tab>Wer es dennoch schafft, wird von der Aben<var 16 /var>teurer<var 16 /var>gilde mit einer Vergütung bedacht, die sich sehen lassen kann. Da kann man in der Ertränkten Sorge auch schon mal aus den feineren Krügen trinken, wenn du weißt, was ich meine.","","False","0x0000003E","",""
"","TEXT_SUBCTS810_01431_SYSTEM_000_027<tab>You now have access to the challenge log, which will serve as a record of your adventuring exploits. To open it, select <var 48 F201F4 /var><var 49 F201F5 /var>logs<var 49 01 /var><var 48 01 /var> from the main menu, followed by <var 48 F201F4 /var><var 49 F201F5 /var>Challenge Log<var 49 01 /var><var 48 01 /var>.","TEXT_SUBCTS810_01431_SYSTEM_000_027<tab>Du hast die Aktuelle Agenda freigespielt. Du kannst sie im Hauptmenü unter „Notizbücher“ einsehen.","","False","0x0000003F","",""
