"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKSA353_04099_SEQ_00<tab>The House of Splendors has devised a way to bind the power of emotion to weapons, which it is willing to share for a price.","TEXT_LUCKSA353_04099_SEQ_00<tab>ガンゴッシュのズラタンは、感情の力を効率よく伝達させる「術式」の取引を行いたいようだ。","","True","0x00000000","",""
"","TEXT_LUCKSA353_04099_SEQ_01<tab>Based on the techniques used to create materia, the House of Splendors has devised an incantation that can commit the energies of emotion to the Resistance weapon. For ease of use─or perhaps ease of profit─the spell has been penned to magicked scrolls, and the House has asked you supply them with memories of the dying in exchange. Zlatan forgoes explanations of the crystallized memories and tells you only that two varieties of memory are required, thirty of each.

※Memories of the dying can be obtained by participating in skirmishes and critical engagements in Zadnor, as well as any of the normal Eden 8-man raids. The Unrestricted Party option cannot be enabled when clearing the aforementioned duties.","TEXT_LUCKSA353_04099_SEQ_01<tab>取引のため、「記憶の一塊」を集めてくることになった。「<var 28 ((Item)) F283E301 /var>」、「<var 28 ((Item)) F283E401 /var>」を各30個ずつ集めて、ガンゴッシュの「ズラタン」に見せよう。

※それぞれの「記憶の一塊」は、「ザトゥノル高原」のスカーミッシュやクリティカルエンゲージメント、および、8人用ノーマルレイド「希望の園エデン」関連のコンテンツを攻略することで獲得できます。なお、ダンジョンは適正レベルで攻略する必要があります。","","False","0x00000001","",""
"","TEXT_LUCKSA353_04099_SEQ_02<tab>You return to Gangos, memories of the dying in hand. The transaction is carried out as arranged, but before Regana's associate leaves, she takes a moment to offer Gerolt an additional contract for larger shipments of magicked scrolls. Much to Zlatan's surprise, the attendant is strangely composed when the offer is rejected. As she turns to leave, you find yourself another step closer to refining your Resistance weapon.","TEXT_LUCKSA353_04099_SEQ_02<tab>ズラタンに2種類の「記憶の一塊」を渡して、取引を行った。すべての取引を終えていた場合は、ガンゴッシュで次の工程へと進もう。","","True","0x00000002","",""
"","TEXT_LUCKSA353_04099_SEQ_03<tab>","TEXT_LUCKSA353_04099_SEQ_03<tab>","","True","0x00000003","",""
"","TEXT_LUCKSA353_04099_SEQ_04<tab>","TEXT_LUCKSA353_04099_SEQ_04<tab>","","True","0x00000004","",""
"","TEXT_LUCKSA353_04099_SEQ_05<tab>","TEXT_LUCKSA353_04099_SEQ_05<tab>","","True","0x00000005","",""
"","TEXT_LUCKSA353_04099_SEQ_06<tab>","TEXT_LUCKSA353_04099_SEQ_06<tab>","","True","0x00000006","",""
"","TEXT_LUCKSA353_04099_SEQ_07<tab>","TEXT_LUCKSA353_04099_SEQ_07<tab>","","True","0x00000007","",""
"","TEXT_LUCKSA353_04099_SEQ_08<tab>","TEXT_LUCKSA353_04099_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_LUCKSA353_04099_SEQ_09<tab>","TEXT_LUCKSA353_04099_SEQ_09<tab>","","True","0x00000009","",""
"","TEXT_LUCKSA353_04099_SEQ_10<tab>","TEXT_LUCKSA353_04099_SEQ_10<tab>","","True","0x0000000A","",""
"","TEXT_LUCKSA353_04099_SEQ_11<tab>","TEXT_LUCKSA353_04099_SEQ_11<tab>","","True","0x0000000B","",""
"","TEXT_LUCKSA353_04099_SEQ_12<tab>","TEXT_LUCKSA353_04099_SEQ_12<tab>","","True","0x0000000C","",""
"","TEXT_LUCKSA353_04099_SEQ_13<tab>","TEXT_LUCKSA353_04099_SEQ_13<tab>","","True","0x0000000D","",""
"","TEXT_LUCKSA353_04099_SEQ_14<tab>","TEXT_LUCKSA353_04099_SEQ_14<tab>","","True","0x0000000E","",""
"","TEXT_LUCKSA353_04099_SEQ_15<tab>","TEXT_LUCKSA353_04099_SEQ_15<tab>","","True","0x0000000F","",""
"","TEXT_LUCKSA353_04099_SEQ_16<tab>","TEXT_LUCKSA353_04099_SEQ_16<tab>","","True","0x00000010","",""
"","TEXT_LUCKSA353_04099_SEQ_17<tab>","TEXT_LUCKSA353_04099_SEQ_17<tab>","","True","0x00000011","",""
