"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKZE008_03442_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>This caring carpenter could use a sharp eye and a steady hand.","TEXT_LUCKZE008_03442_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>特殊ルール： レベルアジャスト<var 49 01 /var><var 48 01 /var><br>スリザーバウの温和な武具職人は、腕の立つ冒険者に頼みたいことがあるようだ。","","False","0x00000000","",""
"","TEXT_LUCKZE008_03442_SEQ_01<tab>","TEXT_LUCKZE008_03442_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_LUCKZE008_03442_SEQ_02<tab>","TEXT_LUCKZE008_03442_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_LUCKZE008_03442_SEQ_03<tab>","TEXT_LUCKZE008_03442_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_LUCKZE008_03442_SEQ_04<tab>","TEXT_LUCKZE008_03442_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_LUCKZE008_03442_SEQ_05<tab>","TEXT_LUCKZE008_03442_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_LUCKZE008_03442_SEQ_06<tab>","TEXT_LUCKZE008_03442_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_LUCKZE008_03442_SEQ_07<tab>","TEXT_LUCKZE008_03442_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_LUCKZE008_03442_SEQ_08<tab>","TEXT_LUCKZE008_03442_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_LUCKZE008_03442_SEQ_09<tab>","TEXT_LUCKZE008_03442_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_LUCKZE008_03442_SEQ_10<tab>","TEXT_LUCKZE008_03442_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_LUCKZE008_03442_SEQ_11<tab>","TEXT_LUCKZE008_03442_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_LUCKZE008_03442_SEQ_12<tab>","TEXT_LUCKZE008_03442_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_LUCKZE008_03442_SEQ_13<tab>","TEXT_LUCKZE008_03442_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_LUCKZE008_03442_SEQ_14<tab>","TEXT_LUCKZE008_03442_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_LUCKZE008_03442_SEQ_15<tab>","TEXT_LUCKZE008_03442_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_LUCKZE008_03442_SEQ_16<tab>","TEXT_LUCKZE008_03442_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_LUCKZE008_03442_SEQ_17<tab>","TEXT_LUCKZE008_03442_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_LUCKZE008_03442_SEQ_18<tab>","TEXT_LUCKZE008_03442_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_LUCKZE008_03442_SEQ_19<tab>","TEXT_LUCKZE008_03442_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_LUCKZE008_03442_SEQ_20<tab>","TEXT_LUCKZE008_03442_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_LUCKZE008_03442_SEQ_21<tab>","TEXT_LUCKZE008_03442_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_LUCKZE008_03442_SEQ_22<tab>","TEXT_LUCKZE008_03442_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_LUCKZE008_03442_SEQ_23<tab>","TEXT_LUCKZE008_03442_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_LUCKZE008_03442_TODO_00<tab>Take aim and use your blowgun to incapacitate a razor-tusked swine.","TEXT_LUCKZE008_03442_TODO_00<tab>温和な武具職人と話し、吹き矢で「立派な牙のスワイン」を射抜く","","False","0x00000018","",""
"","TEXT_LUCKZE008_03442_TODO_01<tab>Speak with the caring carpenter.","TEXT_LUCKZE008_03442_TODO_01<tab>穏和な武具職人と話す","","False","0x00000019","",""
"","TEXT_LUCKZE008_03442_TODO_02<tab>Obtain a tusk from the razor-tusked swine.","TEXT_LUCKZE008_03442_TODO_02<tab><var 28 ((EObj)) F61EADFD01 /var>を調べて<var 28 ((EventItem)) F61E8E8701 /var>を入手","","False","0x0000001A","",""
"","TEXT_LUCKZE008_03442_TODO_03<tab>Deliver the tusk to the caring carpenter.","TEXT_LUCKZE008_03442_TODO_03<tab>スリザーバウの穏和な武具職人に報告","","False","0x0000001B","",""
"","TEXT_LUCKZE008_03442_TODO_04<tab>","TEXT_LUCKZE008_03442_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_LUCKZE008_03442_TODO_05<tab>","TEXT_LUCKZE008_03442_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_LUCKZE008_03442_TODO_06<tab>","TEXT_LUCKZE008_03442_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_LUCKZE008_03442_TODO_07<tab>","TEXT_LUCKZE008_03442_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_LUCKZE008_03442_TODO_08<tab>","TEXT_LUCKZE008_03442_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_LUCKZE008_03442_TODO_09<tab>","TEXT_LUCKZE008_03442_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_LUCKZE008_03442_TODO_10<tab>","TEXT_LUCKZE008_03442_TODO_10<tab>","","False","0x00000022","",""
