"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANNAM001_03097_SEQ_00<tab>Seigetsu the Enlightened is determined to set to work─or at least to set to setting others to work─immediately.<br><br>※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","TEXT_BANNAM001_03097_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>Règle spéciale<var 1D /var>:  synchronisation de quête avec limitation de job ou de classe<var 49 01 /var><var 48 01 /var><br><br>Seigetsu semble prêt à prendre les choses en main.","","False","0x00000000","",""
"","TEXT_BANNAM001_03097_SEQ_01<tab>Seigetsu the Enlightened insists that proper festival attire is of the utmost importance. Thankfully, Gyorei's sewing skills will suffice for the design he has in mind─so long as you are up to the task of providing some pieces.<br><br>※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","TEXT_BANNAM001_03097_SEQ_01<tab>* <var 1A 02 /var>Cette quête est <var 48 F201FC /var><var 49 F201FD /var> synchronisée<var 49 01 /var><var 48 01 /var> avec votre niveau.<var 1A 01 /var><br>* <var 1A 02 /var>Il n'est possible de progresser dans cette quête qu'avec la classe ou le job qui a servi à la commencer.<var 1A 01 /var><br><br>Fort de sa con<var 16 /var>nais<var 16 /var>san<var 16 /var>ce de la culture hingashienne, Seigetsu a suggéré à Gyoshin l'idée de con<var 16 /var>fec<var 16 /var>tion<var 16 /var>ner des habits de fête pour les par<var 16 /var>ti<var 16 /var>ci<var 16 /var>pants à la grande frairie namazu. Préparez ce qui vous a été demandé et apportez-le à Gyorei.","","False","0x00000001","",""
"","TEXT_BANNAM001_03097_SEQ_02<tab>With your help, Gyorei creates surprisingly flattering Namazu-sized happi. Meanwhile, an enthusiastic Gyoshin has restored two pavilions in record time, which should serve to house the Namazu newly come to join in the festivities. Promising though all this is, your continued assistance will doubtless be necessary to reach Gyoshin's goal of attracting seven hundred seventy-seven participants─and saving the Namazu people from a fiery, watery, or otherwise unpleasant doom.","TEXT_BANNAM001_03097_SEQ_02<tab>Vous avez remis ce qui vous avait été demandé à Gyorei. Les habits de fête prêts à être distribués et certaines tentes désormais com<var 16 /var>plè<var 16 /var>te<var 16 /var>ment réparées, Gyoshin et ses acolytes sont sur le point d'annoncer l'ouverture de la grande frairie namazu. Restez dans les parages, car la fête ne fait que commencer<var 1D /var>!","","False","0x00000002","",""
"","TEXT_BANNAM001_03097_SEQ_03<tab>","TEXT_BANNAM001_03097_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_BANNAM001_03097_SEQ_04<tab>","TEXT_BANNAM001_03097_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_BANNAM001_03097_SEQ_05<tab>","TEXT_BANNAM001_03097_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANNAM001_03097_SEQ_06<tab>","TEXT_BANNAM001_03097_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANNAM001_03097_SEQ_07<tab>","TEXT_BANNAM001_03097_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANNAM001_03097_SEQ_08<tab>","TEXT_BANNAM001_03097_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANNAM001_03097_SEQ_09<tab>","TEXT_BANNAM001_03097_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_BANNAM001_03097_SEQ_10<tab>","TEXT_BANNAM001_03097_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANNAM001_03097_SEQ_11<tab>","TEXT_BANNAM001_03097_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_BANNAM001_03097_SEQ_12<tab>","TEXT_BANNAM001_03097_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_BANNAM001_03097_SEQ_13<tab>","TEXT_BANNAM001_03097_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_BANNAM001_03097_SEQ_14<tab>","TEXT_BANNAM001_03097_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_BANNAM001_03097_SEQ_15<tab>","TEXT_BANNAM001_03097_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_BANNAM001_03097_SEQ_16<tab>","TEXT_BANNAM001_03097_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_BANNAM001_03097_SEQ_17<tab>","TEXT_BANNAM001_03097_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_BANNAM001_03097_SEQ_18<tab>","TEXT_BANNAM001_03097_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_BANNAM001_03097_SEQ_19<tab>","TEXT_BANNAM001_03097_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_BANNAM001_03097_SEQ_20<tab>","TEXT_BANNAM001_03097_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_BANNAM001_03097_SEQ_21<tab>","TEXT_BANNAM001_03097_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_BANNAM001_03097_SEQ_22<tab>","TEXT_BANNAM001_03097_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_BANNAM001_03097_SEQ_23<tab>","TEXT_BANNAM001_03097_SEQ_23<tab>","","False","0x00000017","",""
