"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKLA403_03238_SEQ_00<tab>Qeshi-Rae is eager to set out on a journey.","TEXT_LUCKLA403_03238_SEQ_00<tab>Qeshi-Rae hält Ausschau nach dir.","","False","0x00000000","",""
"","TEXT_LUCKLA403_03238_SEQ_01<tab>Based on the results of Yalana's analysis, you have determined that the samiel makes its home in Kholusia. Furthermore, it employs a magick not unlike glamours to hide itself from predators. Armed with this information, you and your fellow Samiel Search Squad members set forth for the mountainous part of Kholusia known as Scree, there to lift the veil on the creature once and for all.","TEXT_LUCKLA403_03238_SEQ_01<tab>Qeshi-Rae erzählt dir, dass die Samiel sich mittels einer Illusion verbergen und ihr eigentlicher Lebensraum auf Kholusia ist. Triff dich dort auf dem Schotterfeld mit Qeshi-Rae und dem Rest des Suchtrupps.","","False","0x00000001","",""
"","TEXT_LUCKLA403_03238_SEQ_02<tab>Upon arriving in Kholusia, Qeshi-Rae directs you to gather a substance called black aethersand, which she will use to prepare a special powder to dispel the samiel's illusion.","TEXT_LUCKLA403_03238_SEQ_02<tab>Du besprichst dich mit Qeshi-Rae auf Kholusia. Um die Illusionsmagie der Samiel zu brechen, benötigst du <var 32 ((EventItem)) 02F61E8E86020502 /var>. Sammle die dafür nötige <var 32 ((ItemHQ)) 06F26885020502 /var> rund um das Schotterfeld.","","False","0x00000002","",""
"","TEXT_LUCKLA403_03238_SEQ_03<tab>You deliver the black aethersand to Qeshi-Rae, who immediately uses it to make the glamour dispeller. All that remains is to release the powder from the nearby vantage point, an honor you have been tasked with.","TEXT_LUCKLA403_03238_SEQ_03<tab>Nachdem du den Dämmersand an Qeshi-Rae übergeben hast, stellt sie daraus <var 32 ((EventItem)) 03F61E8E86020502 /var> her. Verstreue es am <var 32 ((EObj)) 06F61EAACE020402 /var>.","","False","0x00000003","",""
"","TEXT_LUCKLA403_03238_SEQ_04<tab>As the glamour dispeller is borne away by the wind, you and your companions watch in awe as a herd of samiel manifests into view. The area, it would seem, is the hulking creatures' sanctuary. Thus do you lay to rest the mystery of these elusive ancient beasts. As you savor the moment, the creatures detect your presence, and Qeshi-Rae suggests giving them some space and returning to the Crystarium, satisfied that you have achieved enough for one day.","TEXT_LUCKLA403_03238_SEQ_04<tab>Mithilfe des Entprojizierungspulvers hast du gleich eine ganze Herde der Samiel enttarnt. Qeshi-Rae hat außerdem eine ganze Schar Jungtiere entdeckt und ist überzeugt davon, dass Kholusia das Brutgebiet der Samiel ist. Die Anwesenheit dieser Jungtiere macht die Kreaturen beschützerisch und aggressiv. Deshalb wird einstimmig beschlossen, sich vorerst zurückzuziehen. Kehre zur Manufaktur der Gemeinschaft zurück und sprich mit Qeshi-Rae.","","False","0x00000004","",""
"","TEXT_LUCKLA403_03238_SEQ_05<tab>Though you have found the samiel, much work remains to protect the creatures and their habitat, and Yalana and Mao-Ladd pledge their cooperation to the cause. Sad though it is, Qeshi-Rae announces the disbandment of the Samiel Search Squad, but she hopes that you will visit again with information on any resources of interest you may come upon, that she may sneak off to find them herself.","TEXT_LUCKLA403_03238_SEQ_05<tab>Der Samiel-Suchtrupp ist außer sich vor Freude, die uralten Wesen entdeckt zu haben. Nach erfolgreichem Abschluss der Mission löst sich der Trupp zwar auf, aber Qeshi-Rae hat gerade erst damit begonnen, die Samiel zu erforschen. Neben der Materialbeschaffung wird die Studie der sagen<var 16 /var>umwobenen Kreaturen ein Schwerpunkt ihrer Arbeit werden. Falls du auf deinen Reisen noch weitere mysteriöse Pflanzen und Erze findest, solltest du ihr unbedingt von ihnen erzählen.","","False","0x00000005","",""
"","TEXT_LUCKLA403_03238_SEQ_06<tab>","TEXT_LUCKLA403_03238_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_LUCKLA403_03238_SEQ_07<tab>","TEXT_LUCKLA403_03238_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_LUCKLA403_03238_SEQ_08<tab>","TEXT_LUCKLA403_03238_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_LUCKLA403_03238_SEQ_09<tab>","TEXT_LUCKLA403_03238_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_LUCKLA403_03238_SEQ_10<tab>","TEXT_LUCKLA403_03238_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_LUCKLA403_03238_SEQ_11<tab>","TEXT_LUCKLA403_03238_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_LUCKLA403_03238_SEQ_12<tab>","TEXT_LUCKLA403_03238_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_LUCKLA403_03238_SEQ_13<tab>","TEXT_LUCKLA403_03238_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_LUCKLA403_03238_SEQ_14<tab>","TEXT_LUCKLA403_03238_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_LUCKLA403_03238_SEQ_15<tab>","TEXT_LUCKLA403_03238_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_LUCKLA403_03238_SEQ_16<tab>","TEXT_LUCKLA403_03238_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_LUCKLA403_03238_SEQ_17<tab>","TEXT_LUCKLA403_03238_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_LUCKLA403_03238_SEQ_18<tab>","TEXT_LUCKLA403_03238_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_LUCKLA403_03238_SEQ_19<tab>","TEXT_LUCKLA403_03238_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_LUCKLA403_03238_SEQ_20<tab>","TEXT_LUCKLA403_03238_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_LUCKLA403_03238_SEQ_21<tab>","TEXT_LUCKLA403_03238_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_LUCKLA403_03238_SEQ_22<tab>","TEXT_LUCKLA403_03238_SEQ_22<tab>","","False","0x00000016","",""
