"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","Deleted Message","Deleted Message","","False","0x00000000","",""
"","Hello","Hello","","False","0x00000001","",""
"","Good Match","Good Match","","False","0x00000002","",""
"","Thank You","Thank You","","False","0x00000003","",""
"","Nice Job","Nice Job","","False","0x00000004","",""
"","Additional Action 1","Additional Action 1","","False","0x00000005","",""
"","Adrenaline Rush","Adrenaline Rush","","False","0x00000006","",""
"","Offensive Supplies","Offensive Supplies","","False","0x00000007","",""
"","Defensive Supplies","Defensive Supplies","","False","0x00000008","",""
"","Adrenaline Supplies","Adrenaline Supplies","","False","0x00000009","",""
"","Wolf's Heart","Wolf's Heart","","False","0x0000000A","",""
"","Attack Tank","Attack Tank","","False","0x0000000B","",""
"","Attack Healer","Attack Healer","","False","0x0000000C","",""
"","Attack Melee DPS","Attack Melee DPS","","False","0x0000000D","",""
"","Attack Ranged DPS","Attack Ranged DPS","","False","0x0000000E","",""
"","Stop Tank","Stop Tank","","False","0x0000000F","",""
"","Stop Healer","Stop Healer","","False","0x00000010","",""
"","Stop Melee DPS","Stop Melee DPS","","False","0x00000011","",""
"","Stop Ranged DPS","Stop Ranged DPS","","False","0x00000012","",""
"","Collecting Medals","Collecting Medals","","False","0x00000013","",""
"","Get Medals","Get Medals","","False","0x00000014","",""
"","Charge","Charge","","False","0x00000015","",""
"","Retreat","Retreat","","False","0x00000016","",""
"","MP","MP","","False","0x00000017","",""
"","TP","TP","","False","0x00000018","",""
"","Attack Target","Attack Target","","False","0x00000019","",""
"","Stop Target","Stop Target","","False","0x0000001A","",""
"","Additional Action 2","Additional Action 2","","False","0x0000001B","",""
"","Focus Attack","Focus Attack","","False","0x0000001C","",""
"","End Focused Attack","End Focused Attack","","False","0x0000001D","",""
