"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_GAIUSE607_00419_SEQ_00<tab>Ser Marcelain wishes to prepare you for the siege of Ishgard.","TEXT_GAIUSE607_00419_SEQ_00<tab>大審門のマルスランは、皇都防衛に協力してほしいようだ。","","False","0x00000000","",""
"","TEXT_GAIUSE607_00419_SEQ_01<tab>Ser Marcelain explains that the damage Iceheart inflicted on Ishgard's arcane barrier has allowed the dragons to land directly upon the Steps of Faith─the bridge which spans the Sea of Clouds between the Gates of Judgement and the city proper. You are to take up position on the Steps of Faith, and aid the Temple Knights in defending the vital structure against the Dravanian Horde.<br><br>※The Steps of Faith can be accessed via the Duty Finder.","TEXT_GAIUSE607_00419_SEQ_01<tab>「氷の巫女」たちの攻撃により、大審門の魔法障壁が破られたことで、大審門とイシュガルドを結ぶ石橋「雲廊」にまで、ドラゴン族が飛来してきているらしい。冒険者部隊にも「雲廊」防衛の任務が与えられた。「皇都イシュガルド防衛戦」に参加し、雲廊に降り立つドラゴン族を排除しよう。<br><br>※コンテンツファインダーから攻略に参加できます。","","False","0x00000001","",""
"","TEXT_GAIUSE607_00419_SEQ_02<tab>You have succeeded in driving the Dravanian Horde from the Steps of Faith. Return in triumph to the Gates of Judgement.","TEXT_GAIUSE607_00419_SEQ_02<tab>「皇都イシュガルド防衛戦」を攻略した。冒険者たちの奮闘により、ドラゴン族は引き上げていった。大審門に戻ろう。","","False","0x00000002","",""
"","TEXT_GAIUSE607_00419_SEQ_03<tab>As the remnants of the Dravanian Horde take to the skies in disarray, Ishgard's weary defenders breathe a sigh of relief. The siege is ended. Speak with Alphinaud at the Gates of Judgement and find out how your allies fared in the battle at the Steel Vigil.","TEXT_GAIUSE607_00419_SEQ_03<tab>大審門に戻った。無事に「雲廊」を守りぬき、イシュガルドの防衛に成功したようだ。大審門に到着した「アルフィノ」と話そう。","","False","0x00000003","",""
"","TEXT_GAIUSE607_00419_SEQ_04<tab>Moments after greeting Alphinaud, you are joined by a grateful Ser Aymeric, who humbly thanks you for your service. When the lord commander subsequently takes his leave, Alphinaud triumphantly declares that the stage has been set for Ishgard's return to the Eorzean Alliance. Make your way back to Revenant's Toll, and report your success to Minfilia.","TEXT_GAIUSE607_00419_SEQ_04<tab>皇都の防衛を果たしたことで、アイメリクからも謝辞を述べられた。アルフィノも、イシュガルドが他国と手を取り合うきっかけを生み出せたことを喜び、冒険者を賞賛した。レヴナンツトールの石の家に戻り、「ミンフィリア」と話そう。","","False","0x00000004","",""
"","TEXT_GAIUSE607_00419_SEQ_05<tab>Minfilia greets your return with a mixture of triumph and relief. Having snuffed out the Dravanian threat, it is time to enjoy a well-earned rest.","TEXT_GAIUSE607_00419_SEQ_05<tab>ミンフィリアは、冒険者が無事に戻ったことに安堵したようだ。しばらくは、冒険者も身体を休めよう。","","False","0x00000005","",""
"","TEXT_GAIUSE607_00419_SEQ_06<tab>","TEXT_GAIUSE607_00419_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_GAIUSE607_00419_SEQ_07<tab>","TEXT_GAIUSE607_00419_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_GAIUSE607_00419_SEQ_08<tab>","TEXT_GAIUSE607_00419_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_GAIUSE607_00419_SEQ_09<tab>","TEXT_GAIUSE607_00419_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_GAIUSE607_00419_SEQ_10<tab>","TEXT_GAIUSE607_00419_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_GAIUSE607_00419_SEQ_11<tab>","TEXT_GAIUSE607_00419_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_GAIUSE607_00419_SEQ_12<tab>","TEXT_GAIUSE607_00419_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_GAIUSE607_00419_SEQ_13<tab>","TEXT_GAIUSE607_00419_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_GAIUSE607_00419_SEQ_14<tab>","TEXT_GAIUSE607_00419_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_GAIUSE607_00419_SEQ_15<tab>","TEXT_GAIUSE607_00419_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_GAIUSE607_00419_SEQ_16<tab>","TEXT_GAIUSE607_00419_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_GAIUSE607_00419_SEQ_17<tab>","TEXT_GAIUSE607_00419_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_GAIUSE607_00419_SEQ_18<tab>","TEXT_GAIUSE607_00419_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_GAIUSE607_00419_SEQ_19<tab>","TEXT_GAIUSE607_00419_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_GAIUSE607_00419_SEQ_20<tab>","TEXT_GAIUSE607_00419_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_GAIUSE607_00419_SEQ_21<tab>","TEXT_GAIUSE607_00419_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_GAIUSE607_00419_SEQ_22<tab>","TEXT_GAIUSE607_00419_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_GAIUSE607_00419_SEQ_23<tab>","TEXT_GAIUSE607_00419_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_GAIUSE607_00419_TODO_00<tab>Stand against the Dravanian Horde on the Steps of Faith.","TEXT_GAIUSE607_00419_TODO_00<tab>「皇都イシュガルド防衛戦」を攻略","","False","0x00000018","",""
"","TEXT_GAIUSE607_00419_TODO_01<tab>Stand against the Dravanian Horde on the Steps of Faith.","TEXT_GAIUSE607_00419_TODO_01<tab>「皇都イシュガルド防衛戦」を攻略","","False","0x00000019","",""
