"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_GAIUSA405_00747_SEQ_00<tab>Minfilia would have you investigate the mysterious Lahabrea.","TEXT_GAIUSA405_00747_SEQ_00<tab>砂の家のミンフィリアは、冒険者に依頼したい調査があるようだ。","","False","0x00000000","",""
"","TEXT_GAIUSA405_00747_SEQ_01<tab>The Immortal Flames reportedly have information regarding Lahabrea. Make your way to the Hall of Flames in Ul'dah, and speak with Commander Swift.","TEXT_GAIUSA405_00747_SEQ_01<tab>不滅隊から仮面の男の目撃情報が入ったらしい。ウルダハの不滅隊：作戦本部にいる「スウィフト大闘佐」と話そう。","","False","0x00000001","",""
"","TEXT_GAIUSA405_00747_SEQ_02<tab>According to Commander Swift, a Brass Blade stationed at Highbridge has reported seeing a suspicious masked man, but the sentry has since died in the line of duty. Even so, you may still be able to learn something of use from the people in the area. Take yourself to Highbridge in eastern Thanalan, and speak with a merchant named Hihibaru.","TEXT_GAIUSA405_00747_SEQ_02<tab>目撃者はハイブリッジに駐留する銅刃団の傭兵らしい。東ザナラーンのハイブリッジにいる「ヒヒバル」と話そう。","","False","0x00000002","",""
"","TEXT_GAIUSA405_00747_SEQ_03<tab>Hihibaru hints at knowing of the masked man, but his mannerisms do not instill you with much confidence. Nonetheless, your investigation must begin somewhere...","TEXT_GAIUSA405_00747_SEQ_03<tab>ヒヒバルと話をすることができた。彼は仮面の男に関する噂を聞いたことがあるようだが……。","","False","0x00000003","",""
"","TEXT_GAIUSA405_00747_SEQ_04<tab>","TEXT_GAIUSA405_00747_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_GAIUSA405_00747_SEQ_05<tab>","TEXT_GAIUSA405_00747_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_GAIUSA405_00747_SEQ_06<tab>","TEXT_GAIUSA405_00747_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_GAIUSA405_00747_SEQ_07<tab>","TEXT_GAIUSA405_00747_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_GAIUSA405_00747_SEQ_08<tab>","TEXT_GAIUSA405_00747_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_GAIUSA405_00747_SEQ_09<tab>","TEXT_GAIUSA405_00747_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_GAIUSA405_00747_SEQ_10<tab>","TEXT_GAIUSA405_00747_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_GAIUSA405_00747_SEQ_11<tab>","TEXT_GAIUSA405_00747_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_GAIUSA405_00747_SEQ_12<tab>","TEXT_GAIUSA405_00747_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_GAIUSA405_00747_SEQ_13<tab>","TEXT_GAIUSA405_00747_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_GAIUSA405_00747_SEQ_14<tab>","TEXT_GAIUSA405_00747_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_GAIUSA405_00747_SEQ_15<tab>","TEXT_GAIUSA405_00747_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_GAIUSA405_00747_SEQ_16<tab>","TEXT_GAIUSA405_00747_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_GAIUSA405_00747_SEQ_17<tab>","TEXT_GAIUSA405_00747_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_GAIUSA405_00747_SEQ_18<tab>","TEXT_GAIUSA405_00747_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_GAIUSA405_00747_SEQ_19<tab>","TEXT_GAIUSA405_00747_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_GAIUSA405_00747_SEQ_20<tab>","TEXT_GAIUSA405_00747_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_GAIUSA405_00747_SEQ_21<tab>","TEXT_GAIUSA405_00747_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_GAIUSA405_00747_SEQ_22<tab>","TEXT_GAIUSA405_00747_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_GAIUSA405_00747_SEQ_23<tab>","TEXT_GAIUSA405_00747_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_GAIUSA405_00747_TODO_00<tab>Speak with Swift at the Hall of Flames.","TEXT_GAIUSA405_00747_TODO_00<tab>不滅隊：作戦本部のスウィフト大闘佐と話す","","False","0x00000018","",""
"","TEXT_GAIUSA405_00747_TODO_01<tab>Speak with Hihibaru at Highbridge.","TEXT_GAIUSA405_00747_TODO_01<tab>ハイブリッジのヒヒバルと話す","","False","0x00000019","",""
"","TEXT_GAIUSA405_00747_TODO_02<tab>","TEXT_GAIUSA405_00747_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_GAIUSA405_00747_TODO_03<tab>","TEXT_GAIUSA405_00747_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_GAIUSA405_00747_TODO_04<tab>","TEXT_GAIUSA405_00747_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_GAIUSA405_00747_TODO_05<tab>","TEXT_GAIUSA405_00747_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_GAIUSA405_00747_TODO_06<tab>","TEXT_GAIUSA405_00747_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_GAIUSA405_00747_TODO_07<tab>","TEXT_GAIUSA405_00747_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_GAIUSA405_00747_TODO_08<tab>","TEXT_GAIUSA405_00747_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_GAIUSA405_00747_TODO_09<tab>","TEXT_GAIUSA405_00747_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_GAIUSA405_00747_TODO_10<tab>","TEXT_GAIUSA405_00747_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_GAIUSA405_00747_TODO_11<tab>","TEXT_GAIUSA405_00747_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_GAIUSA405_00747_TODO_12<tab>","TEXT_GAIUSA405_00747_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_GAIUSA405_00747_TODO_13<tab>","TEXT_GAIUSA405_00747_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_GAIUSA405_00747_TODO_14<tab>","TEXT_GAIUSA405_00747_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_GAIUSA405_00747_TODO_15<tab>","TEXT_GAIUSA405_00747_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_GAIUSA405_00747_TODO_16<tab>","TEXT_GAIUSA405_00747_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_GAIUSA405_00747_TODO_17<tab>","TEXT_GAIUSA405_00747_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_GAIUSA405_00747_TODO_18<tab>","TEXT_GAIUSA405_00747_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_GAIUSA405_00747_TODO_19<tab>","TEXT_GAIUSA405_00747_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_GAIUSA405_00747_TODO_20<tab>","TEXT_GAIUSA405_00747_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_GAIUSA405_00747_TODO_21<tab>","TEXT_GAIUSA405_00747_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_GAIUSA405_00747_TODO_22<tab>","TEXT_GAIUSA405_00747_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_GAIUSA405_00747_TODO_23<tab>","TEXT_GAIUSA405_00747_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_GAIUSA405_00747_MINFILIA_000_000<tab>I am afraid there is no rest for the weary, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>. We must delve further into the motivations of the masked man─the Ascian known as Lahabrea. This is an ideal moment to do so, while our hands are not bound dealing with another primal.","TEXT_GAIUSA405_00747_MINFILIA_000_000<tab>立て続けで悪いのだけど……
次の依頼が入る前に、調査を進めておきたい案件があるわ。","","False","0x00000030","",""
"","TEXT_GAIUSA405_00747_MINFILIA_000_001<tab>At present, we know little and less about the Ascians─only that destruction follows in their wake.","TEXT_GAIUSA405_00747_MINFILIA_000_001<tab>そう、あなたが「トトラクの千獄」で出会ったという、
「仮面の男」……アシエン・ラハブレア。
彼について情報を集めたいの。","","False","0x00000031","",""
"","TEXT_GAIUSA405_00747_MINFILIA_000_002<tab>I should not be surprised if these beings are behind the chaos that racks the realm. If my fears prove to be reality, we must do all in our power to stop them.","TEXT_GAIUSA405_00747_MINFILIA_000_002<tab>アシエンについて、わかっていることは少ないわ。
……確実なのは、アシエンと呼ばれる存在は、
混沌と戦乱を招くということ。","","False","0x00000032","",""
