"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CLSROG200_00146_SEQ_00<tab>Jacke appears eager to hunt down the Maelstrom's stolen treasures.","","","False","0x00000000","",""
"","TEXT_CLSROG200_00146_SEQ_01<tab>Jacke has accepted the challenge put to him by Captain Milala, and sent his rogues out to gather information on the daring theft. As Perimu sheds some light on the nature of the three treasures, however, V'kebbe suddenly appears with urgent news─it would seem that the Yellowjackets have uncovered some of the Maelstrom's stolen goods during a routine checkpoint inspection. Wishing to confirm the veracity of her tale, the guildmaster sends you and Underfoot to investigate the commotion in middle La Noscea. Head out to the La Thagran Checkpoint and rendezvous with Perimu Haurimu.","","","False","0x00000001","",""
"","TEXT_CLSROG200_00146_SEQ_02<tab>Perimu confirms that a peddler has indeed been apprehended for carrying merchandise stolen from the Maelstrom transport. Use your Hide ability to approach the Yellowjackets inspecting the cargo, and listen in on their progress.","","","False","0x00000002","",""
"","TEXT_CLSROG200_00146_SEQ_03<tab>You have learned that the seized cargo contained nothing of real value. Report to Perimu Haurimu near the La Thagran Checkpoint.","","","False","0x00000003","",""
"","TEXT_CLSROG200_00146_SEQ_04<tab>Perimu is relieved to hear that the treasures have yet to be found, but seems confused by the smuggler's intent. Find the black marketeer at Tiller's Rest, and uncover the truth behind the peddler's reasons for not avoiding the checkpoint.","","","False","0x00000004","",""
"","TEXT_CLSROG200_00146_SEQ_05<tab>You find Underfoot's underworld acquaintance and are forced to subdue his Qiqirn bodyguards. Approach the black marketeer at Tiller's Rest once more.","","","False","0x00000005","",""
"","TEXT_CLSROG200_00146_SEQ_06<tab>After questioning the shadowy deal broker, you realize that the hapless peddler was almost certainly intended to be caught. Much to Perimu's surprise, you also learn that the perpetrators of the raid─the Grinning Curs─have concealed themselves within the dreaded mists of the Doxy's Pull. Hurry back to the Rogues' Guild and report your discoveries to Jacke.","","","False","0x00000006","",""
"","TEXT_CLSROG200_00146_SEQ_07<tab>Upon hearing the revelations you uncovered at Tiller's Rest, Jacke immediately organizes an expedition into the Doxy's Pull. Travel to the Moraby Drydocks in lower La Noscea and join V'kebbe and the guildmaster in the hunt for the Grinning Curs.","","","False","0x00000007","",""
"","TEXT_CLSROG200_00146_SEQ_08<tab>You have defeated the Grinning Curs aboard their own ship, and reclaimed the extraordinary blue diamond known as the Cerulean Star. Speak with Jacke back at the Moraby Drydocks.","","","False","0x00000008","",""
"","TEXT_CLSROG200_00146_SEQ_09<tab>Though his musings for a suitable punishment are interrupted by the arrival of Captain Milala, Jacke is nevertheless content to release the Grinning Curs into Yellowjacket custody. Return to the Rogues' Guild and speak with Jacke concerning the future of what has apparently become a far more complicated job...","","","False","0x00000009","",""
"","TEXT_CLSROG200_00146_SEQ_10<tab>According to the Grinning Cur captain, the remaining treasures are to be found in the hands of a mysterious group called the “Executioners.” Though not entirely certain of this new enemy's identity, Jacke appears sufficiently concerned to reiterate his desire to see you master your rogue skills. Continue with your training until your abilities have improved to the guildmaster's satisfaction.

※The next rogue quest will be available from Jacke upon reaching level 25.","","","False","0x0000000A","",""
"","TEXT_CLSROG200_00146_SEQ_11<tab>","","","False","0x0000000B","",""
"","TEXT_CLSROG200_00146_SEQ_12<tab>","","","False","0x0000000C","",""
"","TEXT_CLSROG200_00146_SEQ_13<tab>","","","False","0x0000000D","",""
"","TEXT_CLSROG200_00146_SEQ_14<tab>","","","False","0x0000000E","",""
"","TEXT_CLSROG200_00146_SEQ_15<tab>","","","False","0x0000000F","",""
"","TEXT_CLSROG200_00146_SEQ_16<tab>","","","False","0x00000010","",""
"","TEXT_CLSROG200_00146_SEQ_17<tab>","","","False","0x00000011","",""
