"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_STMBDA419_02518_SEQ_00<tab>The time has come for Lord Hien to return to Doma.","TEXT_STMBDA419_02518_SEQ_00<tab>Лорду Хиену пришло время вернуться домой.","","False","0x00000000","",""
"","TEXT_STMBDA419_02518_SEQ_01<tab>","","","False","0x00000001","",""
"","TEXT_STMBDA419_02518_SEQ_02<tab>","","","False","0x00000002","",""
"","TEXT_STMBDA419_02518_SEQ_03<tab>","","","False","0x00000003","",""
"","TEXT_STMBDA419_02518_SEQ_04<tab>","","","False","0x00000004","",""
"","TEXT_STMBDA419_02518_SEQ_05<tab>","","","False","0x00000005","",""
"","TEXT_STMBDA419_02518_SEQ_06<tab>","","","False","0x00000006","",""
"","TEXT_STMBDA419_02518_SEQ_07<tab>","","","False","0x00000007","",""
"","TEXT_STMBDA419_02518_SEQ_08<tab>","","","False","0x00000008","",""
"","TEXT_STMBDA419_02518_SEQ_09<tab>","","","False","0x00000009","",""
"","TEXT_STMBDA419_02518_SEQ_10<tab>","","","False","0x0000000A","",""
"","TEXT_STMBDA419_02518_SEQ_11<tab>","","","False","0x0000000B","",""
"","TEXT_STMBDA419_02518_SEQ_12<tab>","","","False","0x0000000C","",""
"","TEXT_STMBDA419_02518_SEQ_13<tab>","","","False","0x0000000D","",""
"","TEXT_STMBDA419_02518_SEQ_14<tab>","","","False","0x0000000E","",""
"","TEXT_STMBDA419_02518_SEQ_15<tab>","","","False","0x0000000F","",""
"","TEXT_STMBDA419_02518_SEQ_16<tab>","","","False","0x00000010","",""
"","TEXT_STMBDA419_02518_SEQ_17<tab>","","","False","0x00000011","",""
"","TEXT_STMBDA419_02518_SEQ_18<tab>","","","False","0x00000012","",""
"","TEXT_STMBDA419_02518_SEQ_19<tab>","","","False","0x00000013","",""
"","TEXT_STMBDA419_02518_SEQ_20<tab>","","","False","0x00000014","",""
"","TEXT_STMBDA419_02518_SEQ_21<tab>","","","False","0x00000015","",""
"","TEXT_STMBDA419_02518_SEQ_22<tab>","","","False","0x00000016","",""
"","TEXT_STMBDA419_02518_SEQ_23<tab>","","","False","0x00000017","",""
"","TEXT_STMBDA419_02518_TODO_00<tab>Speak with Gosetsu.","TEXT_STMBDA419_02518_TODO_00<tab>Поговорите с Госэцу.","","False","0x00000018","",""
"","TEXT_STMBDA419_02518_TODO_01<tab>Speak with Hien.","TEXT_STMBDA419_02518_TODO_01<tab>Поговорите с Хиеном.","","False","0x00000019","",""
"","TEXT_STMBDA419_02518_TODO_02<tab>Speak with Alphinaud.","TEXT_STMBDA419_02518_TODO_02<tab>Поговорите с Альфино.","","False","0x0000001A","",""
"","TEXT_STMBDA419_02518_TODO_03<tab>","","","False","0x0000001B","",""
"","TEXT_STMBDA419_02518_TODO_04<tab>","","","False","0x0000001C","",""
"","TEXT_STMBDA419_02518_TODO_05<tab>","","","False","0x0000001D","",""
"","TEXT_STMBDA419_02518_TODO_06<tab>","","","False","0x0000001E","",""
"","TEXT_STMBDA419_02518_TODO_07<tab>","","","False","0x0000001F","",""
"","TEXT_STMBDA419_02518_TODO_08<tab>","","","False","0x00000020","",""
"","TEXT_STMBDA419_02518_TODO_09<tab>","","","False","0x00000021","",""
"","TEXT_STMBDA419_02518_TODO_10<tab>","","","False","0x00000022","",""
"","TEXT_STMBDA419_02518_TODO_11<tab>","","","False","0x00000023","",""
