"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKMD108_03613_SEQ_00<tab>Minfilia remains adrift in the turbulent sea of thought.","TEXT_LUCKMD108_03613_SEQ_00<tab>トゥワインのミンフィリアは、思い詰めている様子だ。","","False","0x00000000","",""
"","TEXT_LUCKMD108_03613_SEQ_01<tab>","TEXT_LUCKMD108_03613_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_LUCKMD108_03613_SEQ_02<tab>","TEXT_LUCKMD108_03613_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_LUCKMD108_03613_SEQ_03<tab>","TEXT_LUCKMD108_03613_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_LUCKMD108_03613_SEQ_04<tab>","TEXT_LUCKMD108_03613_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_LUCKMD108_03613_SEQ_05<tab>","TEXT_LUCKMD108_03613_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_LUCKMD108_03613_SEQ_06<tab>","TEXT_LUCKMD108_03613_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_LUCKMD108_03613_SEQ_07<tab>","TEXT_LUCKMD108_03613_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_LUCKMD108_03613_SEQ_08<tab>","TEXT_LUCKMD108_03613_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_LUCKMD108_03613_SEQ_09<tab>","TEXT_LUCKMD108_03613_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_LUCKMD108_03613_SEQ_10<tab>","TEXT_LUCKMD108_03613_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_LUCKMD108_03613_SEQ_11<tab>","TEXT_LUCKMD108_03613_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_LUCKMD108_03613_SEQ_12<tab>","TEXT_LUCKMD108_03613_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_LUCKMD108_03613_SEQ_13<tab>","TEXT_LUCKMD108_03613_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_LUCKMD108_03613_SEQ_14<tab>","TEXT_LUCKMD108_03613_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_LUCKMD108_03613_SEQ_15<tab>","TEXT_LUCKMD108_03613_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_LUCKMD108_03613_SEQ_16<tab>","TEXT_LUCKMD108_03613_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_LUCKMD108_03613_SEQ_17<tab>","TEXT_LUCKMD108_03613_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_LUCKMD108_03613_SEQ_18<tab>","TEXT_LUCKMD108_03613_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_LUCKMD108_03613_SEQ_19<tab>","TEXT_LUCKMD108_03613_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_LUCKMD108_03613_SEQ_20<tab>","TEXT_LUCKMD108_03613_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_LUCKMD108_03613_SEQ_21<tab>","TEXT_LUCKMD108_03613_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_LUCKMD108_03613_SEQ_22<tab>","TEXT_LUCKMD108_03613_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_LUCKMD108_03613_SEQ_23<tab>","TEXT_LUCKMD108_03613_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_LUCKMD108_03613_TODO_00<tab>Seek out a talkative resident of Twine.","TEXT_LUCKMD108_03613_TODO_00<tab>トゥワインで知人を探す","","False","0x00000018","",""
"","TEXT_LUCKMD108_03613_TODO_01<tab>Open the toolbox next to Jeryk.","TEXT_LUCKMD108_03613_TODO_01<tab>ジェリックの近くで<var 28 ((EventItem)) F61E8E7F01 /var>を使う","","False","0x00000019","",""
"","TEXT_LUCKMD108_03613_TODO_02<tab>Open the toolbox next to Jeryk.","TEXT_LUCKMD108_03613_TODO_02<tab>ジェリックの近くで<var 28 ((EventItem)) F61E8E7F01 /var>を再度使う","","False","0x0000001A","",""
"","TEXT_LUCKMD108_03613_TODO_03<tab>Remove nests and slay any desert vultures that appear.","TEXT_LUCKMD108_03613_TODO_03<tab><var 28 ((EObj)) F61EAB3601 /var>を除去しデザート・ヴァルチャーを討伐","","False","0x0000001B","",""
"","TEXT_LUCKMD108_03613_TODO_04<tab>Speak with Jeryk.","TEXT_LUCKMD108_03613_TODO_04<tab>ジェリックと話す","","False","0x0000001C","",""
"","TEXT_LUCKMD108_03613_TODO_05<tab>Speak with Jeryk again.","TEXT_LUCKMD108_03613_TODO_05<tab>ジェリックと再度話す","","False","0x0000001D","",""
