"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_STMBDA502_02520_SEQ_00<tab>If you seek further employment, Alphinaud can point you in the right direction.","TEXT_STMBDA502_02520_SEQ_00<tab>Quelque chose semble préoccuper Alphinaud.","","False","0x00000000","",""
"","TEXT_STMBDA502_02520_SEQ_01<tab>","TEXT_STMBDA502_02520_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_STMBDA502_02520_SEQ_02<tab>","TEXT_STMBDA502_02520_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_STMBDA502_02520_SEQ_03<tab>","TEXT_STMBDA502_02520_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_STMBDA502_02520_SEQ_04<tab>","TEXT_STMBDA502_02520_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_STMBDA502_02520_SEQ_05<tab>","TEXT_STMBDA502_02520_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_STMBDA502_02520_SEQ_06<tab>","TEXT_STMBDA502_02520_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_STMBDA502_02520_SEQ_07<tab>","TEXT_STMBDA502_02520_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_STMBDA502_02520_SEQ_08<tab>","TEXT_STMBDA502_02520_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_STMBDA502_02520_SEQ_09<tab>","TEXT_STMBDA502_02520_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_STMBDA502_02520_SEQ_10<tab>","TEXT_STMBDA502_02520_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_STMBDA502_02520_SEQ_11<tab>","TEXT_STMBDA502_02520_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_STMBDA502_02520_SEQ_12<tab>","TEXT_STMBDA502_02520_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_STMBDA502_02520_SEQ_13<tab>","TEXT_STMBDA502_02520_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_STMBDA502_02520_SEQ_14<tab>","TEXT_STMBDA502_02520_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_STMBDA502_02520_SEQ_15<tab>","TEXT_STMBDA502_02520_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_STMBDA502_02520_SEQ_16<tab>","TEXT_STMBDA502_02520_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_STMBDA502_02520_SEQ_17<tab>","TEXT_STMBDA502_02520_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_STMBDA502_02520_SEQ_18<tab>","TEXT_STMBDA502_02520_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_STMBDA502_02520_SEQ_19<tab>","TEXT_STMBDA502_02520_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_STMBDA502_02520_SEQ_20<tab>","TEXT_STMBDA502_02520_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_STMBDA502_02520_SEQ_21<tab>","TEXT_STMBDA502_02520_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_STMBDA502_02520_SEQ_22<tab>","TEXT_STMBDA502_02520_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_STMBDA502_02520_SEQ_23<tab>","TEXT_STMBDA502_02520_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_STMBDA502_02520_TODO_00<tab>Speak with Alisaie.","TEXT_STMBDA502_02520_TODO_00<tab>Parler à Alisaie","","False","0x00000018","",""
"","TEXT_STMBDA502_02520_TODO_01<tab>Search for imperial patrols south of Prism Lake.","TEXT_STMBDA502_02520_TODO_01<tab>Faire le guet à l'endroit indiqué","","False","0x00000019","",""
"","TEXT_STMBDA502_02520_TODO_02<tab>Search Prism Lake for imperial patrols.","TEXT_STMBDA502_02520_TODO_02<tab>Faire le guet à l'endroit indiqué","","False","0x0000001A","",""
"","TEXT_STMBDA502_02520_TODO_03<tab>Follow Alisaie.","TEXT_STMBDA502_02520_TODO_03<tab>Parler à Alisaie","","False","0x0000001B","",""
"","TEXT_STMBDA502_02520_TODO_04<tab>Search the Ribbons for suspicious villagers.","TEXT_STMBDA502_02520_TODO_04<tab>Chercher d'éventuels individus suspects","","False","0x0000001C","",""
"","TEXT_STMBDA502_02520_TODO_05<tab>Defeat the imperial impostors.","TEXT_STMBDA502_02520_TODO_05<tab>Neutraliser <var 33 ((BNpcName)) 03F216CD0302 /var>","","False","0x0000001D","",""
"","TEXT_STMBDA502_02520_TODO_06<tab>Rendezvous with Alisaie.","TEXT_STMBDA502_02520_TODO_06<tab>Parler à Alisaie","","False","0x0000001E","",""
"","TEXT_STMBDA502_02520_TODO_07<tab>Speak with Alisaie.","TEXT_STMBDA502_02520_TODO_07<tab>Reparler à Alisaie","","False","0x0000001F","",""
"","TEXT_STMBDA502_02520_TODO_08<tab>","TEXT_STMBDA502_02520_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_STMBDA502_02520_TODO_09<tab>","TEXT_STMBDA502_02520_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_STMBDA502_02520_TODO_10<tab>","TEXT_STMBDA502_02520_TODO_10<tab>","","False","0x00000022","",""
