"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANIXA403_01500_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>Tazel Meyean the Lettered has a mind to test his latest brainchild.<br>※The crafting portion of this quest is recommended for Disciples of the Hand level 10 and above, and the battle portion for Disciples of War or Magic level 47 and above.","TEXT_BANIXA403_01500_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>Tazel Meyean the Lettered has a mind to test his latest brainchild.<br>※The crafting portion of this quest is recommended for Disciples of the Hand level 10 and above, and the battle portion for Disciples of War or Magic level 47 and above.","","False","0x00000000","",""
"","TEXT_BANIXA403_01500_SEQ_01<tab>Tazel Meyean has asked you to craft for him a high-quality starboard wing control component, that he might test the revolutionary mechanism he has conceived. The requisite materials can be obtained from treasure pots found within the Ixali logging grounds.<br><br>※Please note that the difficulty of this quest has been synced to your current level.","TEXT_BANIXA403_01500_SEQ_01<tab>Tazel Meyean has asked you to craft for him a high-quality starboard wing control component, that he might test the revolutionary mechanism he has conceived. The requisite materials can be obtained from treasure pots found within the Ixali logging grounds.<br><br>※Please note that the difficulty of this quest has been synced to your current level.","","False","0x00000001","",""
"","TEXT_BANIXA403_01500_SEQ_02<tab>You have obtained several sets of starboard wing control component materials. Present them to Hildeyerd at the Bobbing Cork in order to gain access to the crafting facility under her care.","TEXT_BANIXA403_01500_SEQ_02<tab>You have obtained several sets of starboard wing control component materials. Present them to Hildeyerd at the Bobbing Cork in order to gain access to the crafting facility under her care.","","False","0x00000002","",""
"","TEXT_BANIXA403_01500_SEQ_03<tab>Hildeyerd has prepared the crafting facility for your use. With the materials you have obtained, synthesize a high-quality starboard wing control component, and deliver it to Tazel Meyean at Ehcatl.<br><br>※In the event that the status <var 48 F201F4 /var><var 49 F201F5 /var>Facility Access: Detailing<var 49 01 /var><var 48 01 /var> wears off or the synthesis ends in failure, you may try again by speaking with Hildeyerd.","TEXT_BANIXA403_01500_SEQ_03<tab>Hildeyerd has prepared the crafting facility for your use. With the materials you have obtained, synthesize a high-quality starboard wing control component, and deliver it to Tazel Meyean at Ehcatl.<br><br>※In the event that the status <var 48 F201F4 /var><var 49 F201F5 /var>Facility Access: Detailing<var 49 01 /var><var 48 01 /var> wears off or the synthesis ends in failure, you may try again by speaking with Hildeyerd.","","False","0x00000003","",""
"","TEXT_BANIXA403_01500_SEQ_04<tab>You have delivered the starboard wing control component to Tazel Meyean, who squawks in sheer delight. The Ixal is most impressed by your ability to craft precisely to specification, and will doubtless request your services again as he conceives exciting new ideas.","TEXT_BANIXA403_01500_SEQ_04<tab>You have delivered the starboard wing control component to Tazel Meyean, who squawks in sheer delight. The Ixal is most impressed by your ability to craft precisely to specification, and will doubtless request your services again as he conceives exciting new ideas.","","False","0x00000004","",""
"","TEXT_BANIXA403_01500_SEQ_05<tab>","TEXT_BANIXA403_01500_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANIXA403_01500_SEQ_06<tab>","TEXT_BANIXA403_01500_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANIXA403_01500_SEQ_07<tab>","TEXT_BANIXA403_01500_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANIXA403_01500_SEQ_08<tab>","TEXT_BANIXA403_01500_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANIXA403_01500_SEQ_09<tab>","TEXT_BANIXA403_01500_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_BANIXA403_01500_SEQ_10<tab>","TEXT_BANIXA403_01500_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANIXA403_01500_SEQ_11<tab>","TEXT_BANIXA403_01500_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_BANIXA403_01500_SEQ_12<tab>","TEXT_BANIXA403_01500_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_BANIXA403_01500_SEQ_13<tab>","TEXT_BANIXA403_01500_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_BANIXA403_01500_SEQ_14<tab>","TEXT_BANIXA403_01500_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_BANIXA403_01500_SEQ_15<tab>","TEXT_BANIXA403_01500_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_BANIXA403_01500_SEQ_16<tab>","TEXT_BANIXA403_01500_SEQ_16<tab>","","False","0x00000010","",""
