"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANQIQ042_03805_SEQ_00<tab>Chaqurl Qhotl would persuade you of the truth of his theory regarding the fate of the mysterious race of catfish people.<br>※The difficulty of this quest will be synced to your current level.","TEXT_BANQIQ042_03805_SEQ_00<tab>Chaqurl Qhotl would persuade you of the truth of his theory regarding the fate of the mysterious race of catfish people.<br>※The difficulty of this quest will be synced to your current level.","","False","0x00000000","",""
"","TEXT_BANQIQ042_03805_SEQ_01<tab>Convinced of the merits of Chaqurl Qhotl's argument, you express your support for his theory that the Qitari sought to share their food supply with the suffering catfish people, before the latter tribe's unfortunate disappearance from the forest. Grudgingly agreeing that his son may have a point, the stubborn Qitari agrees to assist in the restoration of the third stela.<br><br>※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","TEXT_BANQIQ042_03805_SEQ_01<tab>Convinced of the merits of Chaqurl Qhotl's argument, you express your support for his theory that the Qitari sought to share their food supply with the suffering catfish people, before the latter tribe's unfortunate disappearance from the forest. Grudgingly agreeing that his son may have a point, the stubborn Qitari agrees to assist in the restoration of the third stela.<br><br>※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","","False","0x00000001","",""
"","TEXT_BANQIQ042_03805_SEQ_02<tab>Under your watchful eye, the Qitari artisans restore the third stela to Chaqurl Qhotl's best interpretation of its former glory. Encouraged and heartened by reclaiming yet another vital piece of their legacy, the Stewards now pursue their excavation efforts with newfound zeal. Continue to lend them your aid in their efforts should you so desire.","TEXT_BANQIQ042_03805_SEQ_02<tab>Under your watchful eye, the Qitari artisans restore the third stela to Chaqurl Qhotl's best interpretation of its former glory. Encouraged and heartened by reclaiming yet another vital piece of their legacy, the Stewards now pursue their excavation efforts with newfound zeal. Continue to lend them your aid in their efforts should you so desire.","","False","0x00000002","",""
"","TEXT_BANQIQ042_03805_SEQ_03<tab>","TEXT_BANQIQ042_03805_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_BANQIQ042_03805_SEQ_04<tab>","TEXT_BANQIQ042_03805_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_BANQIQ042_03805_SEQ_05<tab>","TEXT_BANQIQ042_03805_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANQIQ042_03805_SEQ_06<tab>","TEXT_BANQIQ042_03805_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANQIQ042_03805_SEQ_07<tab>","TEXT_BANQIQ042_03805_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANQIQ042_03805_SEQ_08<tab>","TEXT_BANQIQ042_03805_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANQIQ042_03805_SEQ_09<tab>","TEXT_BANQIQ042_03805_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_BANQIQ042_03805_SEQ_10<tab>","TEXT_BANQIQ042_03805_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANQIQ042_03805_SEQ_11<tab>","TEXT_BANQIQ042_03805_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_BANQIQ042_03805_SEQ_12<tab>","TEXT_BANQIQ042_03805_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_BANQIQ042_03805_SEQ_13<tab>","TEXT_BANQIQ042_03805_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_BANQIQ042_03805_SEQ_14<tab>","TEXT_BANQIQ042_03805_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_BANQIQ042_03805_SEQ_15<tab>","TEXT_BANQIQ042_03805_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_BANQIQ042_03805_SEQ_16<tab>","TEXT_BANQIQ042_03805_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_BANQIQ042_03805_SEQ_17<tab>","TEXT_BANQIQ042_03805_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_BANQIQ042_03805_SEQ_18<tab>","TEXT_BANQIQ042_03805_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_BANQIQ042_03805_SEQ_19<tab>","TEXT_BANQIQ042_03805_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_BANQIQ042_03805_SEQ_20<tab>","TEXT_BANQIQ042_03805_SEQ_20<tab>","","False","0x00000014","",""
