"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKZC009_04218_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>The commissary officer would seek out the opinions of the refugees.","TEXT_AKTKZC009_04218_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>特殊ルール： レベルアジャスト<var 49 01 /var><var 48 01 /var><br>タッパーズデンの金髪の補給隊員は、属州民に確認をとりたいようだ。","","True","0x00000000","",""
"","TEXT_AKTKZC009_04218_SEQ_01<tab>","TEXT_AKTKZC009_04218_SEQ_01<tab>","","True","0x00000001","",""
"","TEXT_AKTKZC009_04218_SEQ_02<tab>","TEXT_AKTKZC009_04218_SEQ_02<tab>","","True","0x00000002","",""
"","TEXT_AKTKZC009_04218_SEQ_03<tab>","TEXT_AKTKZC009_04218_SEQ_03<tab>","","True","0x00000003","",""
"","TEXT_AKTKZC009_04218_SEQ_04<tab>","TEXT_AKTKZC009_04218_SEQ_04<tab>","","True","0x00000004","",""
"","TEXT_AKTKZC009_04218_SEQ_05<tab>","TEXT_AKTKZC009_04218_SEQ_05<tab>","","True","0x00000005","",""
"","TEXT_AKTKZC009_04218_SEQ_06<tab>","TEXT_AKTKZC009_04218_SEQ_06<tab>","","True","0x00000006","",""
"","TEXT_AKTKZC009_04218_SEQ_07<tab>","TEXT_AKTKZC009_04218_SEQ_07<tab>","","True","0x00000007","",""
"","TEXT_AKTKZC009_04218_SEQ_08<tab>","TEXT_AKTKZC009_04218_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_AKTKZC009_04218_SEQ_09<tab>","TEXT_AKTKZC009_04218_SEQ_09<tab>","","True","0x00000009","",""
"","TEXT_AKTKZC009_04218_SEQ_10<tab>","TEXT_AKTKZC009_04218_SEQ_10<tab>","","True","0x0000000A","",""
"","TEXT_AKTKZC009_04218_SEQ_11<tab>","TEXT_AKTKZC009_04218_SEQ_11<tab>","","True","0x0000000B","",""
"","TEXT_AKTKZC009_04218_SEQ_12<tab>","TEXT_AKTKZC009_04218_SEQ_12<tab>","","True","0x0000000C","",""
"","TEXT_AKTKZC009_04218_SEQ_13<tab>","TEXT_AKTKZC009_04218_SEQ_13<tab>","","True","0x0000000D","",""
"","TEXT_AKTKZC009_04218_SEQ_14<tab>","TEXT_AKTKZC009_04218_SEQ_14<tab>","","True","0x0000000E","",""
"","TEXT_AKTKZC009_04218_SEQ_15<tab>","TEXT_AKTKZC009_04218_SEQ_15<tab>","","True","0x0000000F","",""
"","TEXT_AKTKZC009_04218_SEQ_16<tab>","TEXT_AKTKZC009_04218_SEQ_16<tab>","","True","0x00000010","",""
"","TEXT_AKTKZC009_04218_SEQ_17<tab>","TEXT_AKTKZC009_04218_SEQ_17<tab>","","True","0x00000011","",""
