"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANNAM304_03106_SEQ_00<tab>Seigetsu the Enlightened is trying hard to appear contemplative.

※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","TEXT_BANNAM304_03106_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>特殊ルール： レベルアジャスト受注クラス・ジョブ制限<var 49 01 /var><var 48 01 /var>
※本クエストは受注時のクラスでのみ進行します。

ドーロ・イローの光風院セイゲツは、冒険者に意見を聞きたいことがあるようだ。","","False","0x00000000","",""
"","TEXT_BANNAM304_03106_SEQ_01<tab>Speak with the willful Namazu.","TEXT_BANNAM304_03106_SEQ_01<tab>キオルエンの頑固なナマズオと話す","","False","0x00000001","",""
"","TEXT_BANNAM304_03106_SEQ_02<tab>You have spoken with the willful Namazu.
Deliver the requested supplies to Seigetsu the Enlightened.","TEXT_BANNAM304_03106_SEQ_02<tab>キオルエンの頑固なナマズオと話した
光風院セイゲツに依頼された品を納品","","False","0x00000002","",""
"","TEXT_BANNAM304_03106_SEQ_03<tab>","TEXT_BANNAM304_03106_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_BANNAM304_03106_SEQ_04<tab>","TEXT_BANNAM304_03106_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_BANNAM304_03106_SEQ_05<tab>","TEXT_BANNAM304_03106_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANNAM304_03106_SEQ_06<tab>","TEXT_BANNAM304_03106_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANNAM304_03106_SEQ_07<tab>","TEXT_BANNAM304_03106_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANNAM304_03106_SEQ_08<tab>","TEXT_BANNAM304_03106_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANNAM304_03106_SEQ_09<tab>","TEXT_BANNAM304_03106_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_BANNAM304_03106_SEQ_10<tab>","TEXT_BANNAM304_03106_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANNAM304_03106_SEQ_11<tab>","TEXT_BANNAM304_03106_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_BANNAM304_03106_SEQ_12<tab>","TEXT_BANNAM304_03106_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_BANNAM304_03106_SEQ_13<tab>","TEXT_BANNAM304_03106_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_BANNAM304_03106_SEQ_14<tab>","TEXT_BANNAM304_03106_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_BANNAM304_03106_SEQ_15<tab>","TEXT_BANNAM304_03106_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_BANNAM304_03106_SEQ_16<tab>","TEXT_BANNAM304_03106_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_BANNAM304_03106_SEQ_17<tab>","TEXT_BANNAM304_03106_SEQ_17<tab>","","False","0x00000011","",""
