"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_GAIUSE608_00420_SEQ_00<tab>Minfilia seems loath to put you to further trouble so soon after your last great exertion.","TEXT_GAIUSE608_00420_SEQ_00<tab>Minfilia pense que vous devriez prendre un peu de repos.","","False","0x00000000","",""
"","TEXT_GAIUSE608_00420_SEQ_01<tab>Though she had hoped to grant you some respite after your exertions in Ishgard, an unexpected invitation from Ul'dah compels Minfilia to beg your assistance once more. A feast is being held to celebrate Ishgard's victory, and it would seem the Scions are expected to attend. Though Tataru wastes no time making the necessary arrangements, her uncharacteristic sighs tell Minfilia that something is amiss. Look for the troubled receptionist at her desk outside the solar.","TEXT_GAIUSE608_00420_SEQ_01<tab>Minfilia et vous étiez en train de discuter quand Tataru a fait irruption dans le salon de l'Aube. Elle tenait dans sa main une lettre en provenance d'Ul'dah, qui contenait une invitation des grands pontes de la cité du désert à un banquet de célébration en l'honneur de la victoire des Ishgardais et de leurs alliés éorzéens sur les dragons de Dravania. Après vous avoir fait part de son manque d'entrain dû à la disparition tragique de Moenbryda, Minfilia vous a prié<var 08 E905 ((e)) (()) /var> de vous joindre à la fête malgré tout. Avant de quitter la pièce, Tataru a laissé échapper un soupir qui en disait long et qui n'a pas manqué d'inquiéter la chef des Héritiers... Rendez-vous à l'endroit indiqué pour vous assurer qu'il n'est rien arrivé de grave à la Lalafelle.","","False","0x00000001","",""
"","TEXT_GAIUSE608_00420_SEQ_02<tab>You search for Tataru, but find her desk unattended. Mayhap F'lhaminn knows of her whereabouts.","TEXT_GAIUSE608_00420_SEQ_02<tab>Vous avez eu beau regarder dans tous les coins, impossible de mettre la main sur Tataru. Peut-être que F'lhaminn l'a vue passer<var 1D /var>? Parlez-lui sans plus tarder.","","False","0x00000002","",""
"","TEXT_GAIUSE608_00420_SEQ_03<tab>F'lhaminn informs you that Tataru recently left through the front door of the Rising Stones, sighing as she went. Head out into Revenant's Toll and search for the receptionist.","TEXT_GAIUSE608_00420_SEQ_03<tab>Selon la Miqo'te, Tataru est partie prendre l'air mais n'avait vraiment pas l'air dans son assiette. Retrouvez-la quelque part au Glas des revenants.","","False","0x00000003","",""
"","TEXT_GAIUSE608_00420_SEQ_04<tab>You find Tataru alone, grappling with a problem she feels unable to share. After drawing encouragement from your stoic presence, however, she decides to bring the issue to the Antecedent. Return to the Rising Stones and speak with Minfilia.","TEXT_GAIUSE608_00420_SEQ_04<tab>Vous avez retrouvé Tataru. Elle ne vous a pas donné de détails sur ce qui la préoccupait, mais elle a décidé d'en parler à Minfilia. Rendez-vous à nouveau au Refuge des roches pour découvrir le fin mot de l'histoire.","","False","0x00000004","",""
"","TEXT_GAIUSE608_00420_SEQ_05<tab>Citing a need for some measure of martial prowess, Tataru requests a leave of absence to study her chosen discipline. Just as the determined Lalafell is departing, Hoary Boulder arrives to petition the Antecedent with a request of his own. It would seem that the adventurer assigned to his escort party has been seriously injured, leaving them in need of a replacement guard...","TEXT_GAIUSE608_00420_SEQ_05<tab>Après être retourné<var 08 E905 ((e)) (()) /var> au salon de l'Aube, vous avez appris que Tataru ne se sentait pas suf<var 16 /var>fi<var 16 /var>sam<var 16 /var>ment utile à son poste de réceptionniste et qu'elle avait décidé de quitter ses fonctions pendant quelque temps pour s'entraîner au combat. Au moment où elle vous laissait pour mettre son plan à exécution, Hoary Boulder est venu vous annoncer qu'il avait absolument besoin de votre aide pour sa prochaine mission. Discutez avec Minfilia pour décider de la marche à suivre.","","False","0x00000005","",""
"","TEXT_GAIUSE608_00420_SEQ_06<tab>","TEXT_GAIUSE608_00420_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_GAIUSE608_00420_SEQ_07<tab>","TEXT_GAIUSE608_00420_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_GAIUSE608_00420_SEQ_08<tab>","TEXT_GAIUSE608_00420_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_GAIUSE608_00420_SEQ_09<tab>","TEXT_GAIUSE608_00420_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_GAIUSE608_00420_SEQ_10<tab>","TEXT_GAIUSE608_00420_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_GAIUSE608_00420_SEQ_11<tab>","TEXT_GAIUSE608_00420_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_GAIUSE608_00420_SEQ_12<tab>","TEXT_GAIUSE608_00420_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_GAIUSE608_00420_SEQ_13<tab>","TEXT_GAIUSE608_00420_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_GAIUSE608_00420_SEQ_14<tab>","TEXT_GAIUSE608_00420_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_GAIUSE608_00420_SEQ_15<tab>","TEXT_GAIUSE608_00420_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_GAIUSE608_00420_SEQ_16<tab>","TEXT_GAIUSE608_00420_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_GAIUSE608_00420_SEQ_17<tab>","TEXT_GAIUSE608_00420_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_GAIUSE608_00420_SEQ_18<tab>","TEXT_GAIUSE608_00420_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_GAIUSE608_00420_SEQ_19<tab>","TEXT_GAIUSE608_00420_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_GAIUSE608_00420_SEQ_20<tab>","TEXT_GAIUSE608_00420_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_GAIUSE608_00420_SEQ_21<tab>","TEXT_GAIUSE608_00420_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_GAIUSE608_00420_SEQ_22<tab>","TEXT_GAIUSE608_00420_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_GAIUSE608_00420_SEQ_23<tab>","TEXT_GAIUSE608_00420_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_GAIUSE608_00420_TODO_00<tab>Look for Tataru at her desk.","TEXT_GAIUSE608_00420_TODO_00<tab>Retrouver Tataru à l'endroit indiqué","","False","0x00000018","",""
"","TEXT_GAIUSE608_00420_TODO_01<tab>Speak with F'lhaminn.","TEXT_GAIUSE608_00420_TODO_01<tab>Parler à F'lhaminn","","False","0x00000019","",""
"","TEXT_GAIUSE608_00420_TODO_02<tab>Search for Tataru in Revenant's Toll.","TEXT_GAIUSE608_00420_TODO_02<tab>Retrouver Tataru au Glas des revenants","","False","0x0000001A","",""
"","TEXT_GAIUSE608_00420_TODO_03<tab>Speak with Minfilia at the Rising Stones.","TEXT_GAIUSE608_00420_TODO_03<tab>Parler à Minfilia, au Refuge des roches","","False","0x0000001B","",""
