"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_GAIUSE608_00420_SEQ_00<tab>Minfilia seems loath to put you to further trouble so soon after your last great exertion.","TEXT_GAIUSE608_00420_SEQ_00<tab>Минфилия готова выдать вам ещё одно поручение, невзирая на ваше изнеможение.","","False","0x00000000","",""
"","TEXT_GAIUSE608_00420_SEQ_01<tab>Though she had hoped to grant you some respite after your exertions in Ishgard, an unexpected invitation from Ul'dah compels Minfilia to beg your assistance once more. A feast is being held to celebrate Ishgard's victory, and it would seem the Scions are expected to attend. Though Tataru wastes no time making the necessary arrangements, her uncharacteristic sighs tell Minfilia that something is amiss. Look for the troubled receptionist at her desk outside the solar.","TEXT_GAIUSE608_00420_SEQ_01<tab>Минфилия хотела предоставить вам заслуженный отдых после ваших злоключений в Ишгарде, но её неожиданно приглашают в Уль'ду, а потому она вынуждена просить вашей помощи. В часть победы в Ишгарде будет проведён пир, и Хранители тоже приглашены. И пока Татару работает, как обычно, неожиданные странности в поведении секретарши заставляют Минфилию нервничать. Отыщите секретаршу Хранителей снаружи на её обычном месте, у стола.","","False","0x00000001","",""
"","TEXT_GAIUSE608_00420_SEQ_02<tab>You search for Tataru, but find her desk unattended. Mayhap F'lhaminn knows of her whereabouts.","TEXT_GAIUSE608_00420_SEQ_02<tab>Вы ищете Татару, но на рабочем месте её нет. Разузнайте у Ф'ламинн, куда направилась лалафель.","","False","0x00000002","",""
"","TEXT_GAIUSE608_00420_SEQ_03<tab>F'lhaminn informs you that Tataru recently left through the front door of the Rising Stones, sighing as she went. Head out into Revenant's Toll and search for the receptionist.","TEXT_GAIUSE608_00420_SEQ_03<tab>По словам Ф'ламинн, Татару только что покинула «Могучие камни» через главный вход, при этом тяжело вздыхая. Выйдите в Скорбный Звон и поищите секретаршу.","","False","0x00000003","",""
"","TEXT_GAIUSE608_00420_SEQ_04<tab>You find Tataru alone, grappling with a problem she feels unable to share. After drawing encouragement from your stoic presence, however, she decides to bring the issue to the Antecedent. Return to the Rising Stones and speak with Minfilia.","TEXT_GAIUSE608_00420_SEQ_04<tab>Вы находите Татару в одиночестве, борющуюся с проблемой, которой не готова поделиться. Но, по видимому, почерпнув немного смелости от одного только вашего присутствия, она решается сообщить о своём деле старшей Хранительнице. Возвращайтесь в «Могучие камни» и поговорите с Минфилией.","","False","0x00000004","",""
"","TEXT_GAIUSE608_00420_SEQ_05<tab>Citing a need for some measure of martial prowess, Tataru requests a leave of absence to study her chosen discipline. Just as the determined Lalafell is departing, Hoary Boulder arrives to petition the Antecedent with a request of his own. It would seem that the adventurer assigned to his escort party has been seriously injured, leaving them in need of a replacement guard...","TEXT_GAIUSE608_00420_SEQ_05<tab>Заявляя, что ей тоже требуется некоторый уровень боевой подготовки, Татару просит разрешения покинуть Хранителей на время, дабы изучать дисциплину по её выбору. Как только лалафель уходит, появляется Белый Валун с прошением. Искатель приключений из его группы был серьёзно ранен, и Валун теперь ищет временную замену...","","False","0x00000005","",""
"","TEXT_GAIUSE608_00420_SEQ_06<tab>","","","False","0x00000006","",""
"","TEXT_GAIUSE608_00420_SEQ_07<tab>","","","False","0x00000007","",""
"","TEXT_GAIUSE608_00420_SEQ_08<tab>","","","False","0x00000008","",""
"","TEXT_GAIUSE608_00420_SEQ_09<tab>","","","False","0x00000009","",""
"","TEXT_GAIUSE608_00420_SEQ_10<tab>","","","False","0x0000000A","",""
"","TEXT_GAIUSE608_00420_SEQ_11<tab>","","","False","0x0000000B","",""
"","TEXT_GAIUSE608_00420_SEQ_12<tab>","","","False","0x0000000C","",""
"","TEXT_GAIUSE608_00420_SEQ_13<tab>","","","False","0x0000000D","",""
"","TEXT_GAIUSE608_00420_SEQ_14<tab>","","","False","0x0000000E","",""
"","TEXT_GAIUSE608_00420_SEQ_15<tab>","","","False","0x0000000F","",""
"","TEXT_GAIUSE608_00420_SEQ_16<tab>","","","False","0x00000010","",""
"","TEXT_GAIUSE608_00420_SEQ_17<tab>","","","False","0x00000011","",""
"","TEXT_GAIUSE608_00420_SEQ_18<tab>","","","False","0x00000012","",""
