"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANNAM405_03113_SEQ_00<tab>Seigetsu the Enlightened is frustrated by the workers' inability to function without food or sleep.<br><br>※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","TEXT_BANNAM405_03113_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>Règle spéciale<var 1D /var>:  synchronisation de quête avec limitation de job ou de classe<var 49 01 /var><var 48 01 /var><br><var 1A 02 /var>* Il n'est possible de progresser dans cette quête qu'avec la classe qui a servi à la commencer.<var 1A 01 /var><br><br>Quelque chose irrite Seigetsu... ","","False","0x00000000","",""
"","TEXT_BANNAM405_03113_SEQ_01<tab>Speak with the Namazu cook.","TEXT_BANNAM405_03113_SEQ_01<tab>Parler au Namazu cuisinier au sud-ouest du Ralliement","","False","0x00000001","",""
"","TEXT_BANNAM405_03113_SEQ_02<tab>Deliver the requested supplies to the Namazu cook.","TEXT_BANNAM405_03113_SEQ_02<tab>Livrer ce qui vous a été demandé au Namazu cuisinier","","False","0x00000002","",""
"","TEXT_BANNAM405_03113_SEQ_03<tab>Report to Seigetsu the Enlightened.","TEXT_BANNAM405_03113_SEQ_03<tab>Retourner voir Seigetsu","","False","0x00000003","",""
"","TEXT_BANNAM405_03113_SEQ_04<tab>","TEXT_BANNAM405_03113_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_BANNAM405_03113_SEQ_05<tab>","TEXT_BANNAM405_03113_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANNAM405_03113_SEQ_06<tab>","TEXT_BANNAM405_03113_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANNAM405_03113_SEQ_07<tab>","TEXT_BANNAM405_03113_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANNAM405_03113_SEQ_08<tab>","TEXT_BANNAM405_03113_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANNAM405_03113_SEQ_09<tab>","TEXT_BANNAM405_03113_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_BANNAM405_03113_SEQ_10<tab>","TEXT_BANNAM405_03113_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANNAM405_03113_SEQ_11<tab>","TEXT_BANNAM405_03113_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_BANNAM405_03113_SEQ_12<tab>","TEXT_BANNAM405_03113_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_BANNAM405_03113_SEQ_13<tab>","TEXT_BANNAM405_03113_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_BANNAM405_03113_SEQ_14<tab>","TEXT_BANNAM405_03113_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_BANNAM405_03113_SEQ_15<tab>","TEXT_BANNAM405_03113_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_BANNAM405_03113_SEQ_16<tab>","TEXT_BANNAM405_03113_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_BANNAM405_03113_SEQ_17<tab>","TEXT_BANNAM405_03113_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_BANNAM405_03113_SEQ_18<tab>","TEXT_BANNAM405_03113_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_BANNAM405_03113_SEQ_19<tab>","TEXT_BANNAM405_03113_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_BANNAM405_03113_SEQ_20<tab>","TEXT_BANNAM405_03113_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_BANNAM405_03113_SEQ_21<tab>","TEXT_BANNAM405_03113_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_BANNAM405_03113_SEQ_22<tab>","TEXT_BANNAM405_03113_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_BANNAM405_03113_SEQ_23<tab>","TEXT_BANNAM405_03113_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_BANNAM405_03113_TODO_00<tab>Speak with the Namazu cook.","TEXT_BANNAM405_03113_TODO_00<tab>Parler au Namazu cuisinier au sud-ouest du Ralliement","","False","0x00000018","",""
