"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANANA405_03054_SEQ_00<tab>Eshana needs you to be both bait and trap.<br><br>※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","TEXT_BANANA405_03054_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Schwierigkeitsanpassung (Job/Klasse darf nicht gewechselt werden)<var 49 01 /var><var 48 01 /var><br><br>Eshana möchte, dass du als Köder und Falle zugleich fungierst.","","False","0x00000000","",""
"","TEXT_BANANA405_03054_SEQ_01<tab>","TEXT_BANANA405_03054_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_BANANA405_03054_SEQ_02<tab>","TEXT_BANANA405_03054_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_BANANA405_03054_SEQ_03<tab>","TEXT_BANANA405_03054_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_BANANA405_03054_SEQ_04<tab>","TEXT_BANANA405_03054_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_BANANA405_03054_SEQ_05<tab>","TEXT_BANANA405_03054_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANANA405_03054_SEQ_06<tab>","TEXT_BANANA405_03054_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANANA405_03054_SEQ_07<tab>","TEXT_BANANA405_03054_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANANA405_03054_SEQ_08<tab>","TEXT_BANANA405_03054_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANANA405_03054_SEQ_09<tab>","TEXT_BANANA405_03054_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_BANANA405_03054_SEQ_10<tab>","TEXT_BANANA405_03054_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANANA405_03054_SEQ_11<tab>","TEXT_BANANA405_03054_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_BANANA405_03054_SEQ_12<tab>","TEXT_BANANA405_03054_SEQ_12<tab>","","False","0x0000000C","",""
