"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKZC013_04222_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>Scouts must excel in keeping themselves hidden, but when even their own comrades cannot locate them, there is surely trouble afoot.","TEXT_AKTKZC013_04222_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>Règle spéciale<var 1D /var>:  synchronisation de quête<var 49 01 /var><var 48 01 /var><br>Le sous-lieutenant Talon semble préoccupé.","","True","0x00000000","",""
"","TEXT_AKTKZC013_04222_SEQ_01<tab>","TEXT_AKTKZC013_04222_SEQ_01<tab>","","True","0x00000001","",""
"","TEXT_AKTKZC013_04222_SEQ_02<tab>","TEXT_AKTKZC013_04222_SEQ_02<tab>","","True","0x00000002","",""
"","TEXT_AKTKZC013_04222_SEQ_03<tab>","TEXT_AKTKZC013_04222_SEQ_03<tab>","","True","0x00000003","",""
"","TEXT_AKTKZC013_04222_SEQ_04<tab>","TEXT_AKTKZC013_04222_SEQ_04<tab>","","True","0x00000004","",""
"","TEXT_AKTKZC013_04222_SEQ_05<tab>","TEXT_AKTKZC013_04222_SEQ_05<tab>","","True","0x00000005","",""
"","TEXT_AKTKZC013_04222_SEQ_06<tab>","TEXT_AKTKZC013_04222_SEQ_06<tab>","","True","0x00000006","",""
"","TEXT_AKTKZC013_04222_SEQ_07<tab>","TEXT_AKTKZC013_04222_SEQ_07<tab>","","True","0x00000007","",""
"","TEXT_AKTKZC013_04222_SEQ_08<tab>","TEXT_AKTKZC013_04222_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_AKTKZC013_04222_SEQ_09<tab>","TEXT_AKTKZC013_04222_SEQ_09<tab>","","True","0x00000009","",""
"","TEXT_AKTKZC013_04222_SEQ_10<tab>","TEXT_AKTKZC013_04222_SEQ_10<tab>","","True","0x0000000A","",""
"","TEXT_AKTKZC013_04222_SEQ_11<tab>","TEXT_AKTKZC013_04222_SEQ_11<tab>","","True","0x0000000B","",""
"","TEXT_AKTKZC013_04222_SEQ_12<tab>","TEXT_AKTKZC013_04222_SEQ_12<tab>","","True","0x0000000C","",""
"","TEXT_AKTKZC013_04222_SEQ_13<tab>","TEXT_AKTKZC013_04222_SEQ_13<tab>","","True","0x0000000D","",""
"","TEXT_AKTKZC013_04222_SEQ_14<tab>","TEXT_AKTKZC013_04222_SEQ_14<tab>","","True","0x0000000E","",""
"","TEXT_AKTKZC013_04222_SEQ_15<tab>","TEXT_AKTKZC013_04222_SEQ_15<tab>","","True","0x0000000F","",""
"","TEXT_AKTKZC013_04222_SEQ_16<tab>","TEXT_AKTKZC013_04222_SEQ_16<tab>","","True","0x00000010","",""
"","TEXT_AKTKZC013_04222_SEQ_17<tab>","TEXT_AKTKZC013_04222_SEQ_17<tab>","","True","0x00000011","",""
"","TEXT_AKTKZC013_04222_SEQ_18<tab>","TEXT_AKTKZC013_04222_SEQ_18<tab>","","True","0x00000012","",""
"","TEXT_AKTKZC013_04222_SEQ_19<tab>","TEXT_AKTKZC013_04222_SEQ_19<tab>","","True","0x00000013","",""
"","TEXT_AKTKZC013_04222_SEQ_20<tab>","TEXT_AKTKZC013_04222_SEQ_20<tab>","","True","0x00000014","",""
"","TEXT_AKTKZC013_04222_SEQ_21<tab>","TEXT_AKTKZC013_04222_SEQ_21<tab>","","True","0x00000015","",""
"","TEXT_AKTKZC013_04222_SEQ_22<tab>","TEXT_AKTKZC013_04222_SEQ_22<tab>","","True","0x00000016","",""
"","TEXT_AKTKZC013_04222_SEQ_23<tab>","TEXT_AKTKZC013_04222_SEQ_23<tab>","","True","0x00000017","",""
"","TEXT_AKTKZC013_04222_TODO_00<tab>Search for the wounded contingent scout.","TEXT_AKTKZC013_04222_TODO_00<tab>Trouver l'espionne de la délégation","","True","0x00000018","",""
"","TEXT_AKTKZC013_04222_TODO_01<tab>Speak with the wounded contingent scout.","TEXT_AKTKZC013_04222_TODO_01<tab>Parler à l'espionne","","True","0x00000019","",""
"","TEXT_AKTKZC013_04222_TODO_02<tab>Aid the injured civilian.","TEXT_AKTKZC013_04222_TODO_02<tab>Aider le civil blessé","","True","0x0000001A","",""
"","TEXT_AKTKZC013_04222_TODO_03<tab>Report to Talon.","TEXT_AKTKZC013_04222_TODO_03<tab>Faire un rapport à Talon","","True","0x0000001B","",""
"","TEXT_AKTKZC013_04222_TODO_04<tab>","TEXT_AKTKZC013_04222_TODO_04<tab>","","True","0x0000001C","",""
"","TEXT_AKTKZC013_04222_TODO_05<tab>","TEXT_AKTKZC013_04222_TODO_05<tab>","","True","0x0000001D","",""
"","TEXT_AKTKZC013_04222_TODO_06<tab>","TEXT_AKTKZC013_04222_TODO_06<tab>","","True","0x0000001E","",""
"","TEXT_AKTKZC013_04222_TODO_07<tab>","TEXT_AKTKZC013_04222_TODO_07<tab>","","True","0x0000001F","",""
"","TEXT_AKTKZC013_04222_TODO_08<tab>","TEXT_AKTKZC013_04222_TODO_08<tab>","","True","0x00000020","",""
"","TEXT_AKTKZC013_04222_TODO_09<tab>","TEXT_AKTKZC013_04222_TODO_09<tab>","","True","0x00000021","",""
"","TEXT_AKTKZC013_04222_TODO_10<tab>","TEXT_AKTKZC013_04222_TODO_10<tab>","","True","0x00000022","",""
"","TEXT_AKTKZC013_04222_TODO_11<tab>","TEXT_AKTKZC013_04222_TODO_11<tab>","","True","0x00000023","",""
"","TEXT_AKTKZC013_04222_TODO_12<tab>","TEXT_AKTKZC013_04222_TODO_12<tab>","","True","0x00000024","",""
"","TEXT_AKTKZC013_04222_TODO_13<tab>","TEXT_AKTKZC013_04222_TODO_13<tab>","","True","0x00000025","",""
"","TEXT_AKTKZC013_04222_TODO_14<tab>","TEXT_AKTKZC013_04222_TODO_14<tab>","","True","0x00000026","",""
"","TEXT_AKTKZC013_04222_TODO_15<tab>","TEXT_AKTKZC013_04222_TODO_15<tab>","","True","0x00000027","",""
"","TEXT_AKTKZC013_04222_TODO_16<tab>","TEXT_AKTKZC013_04222_TODO_16<tab>","","True","0x00000028","",""
"","TEXT_AKTKZC013_04222_TODO_17<tab>","TEXT_AKTKZC013_04222_TODO_17<tab>","","True","0x00000029","",""
"","TEXT_AKTKZC013_04222_TODO_18<tab>","TEXT_AKTKZC013_04222_TODO_18<tab>","","True","0x0000002A","",""
"","TEXT_AKTKZC013_04222_TODO_19<tab>","TEXT_AKTKZC013_04222_TODO_19<tab>","","True","0x0000002B","",""
"","TEXT_AKTKZC013_04222_TODO_20<tab>","TEXT_AKTKZC013_04222_TODO_20<tab>","","True","0x0000002C","",""
