"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKZA024_03366_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>A flyer for attracting prospective employees catches your eye.","TEXT_LUCKZA024_03366_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>特殊ルール： レベルアジャスト<var 49 01 /var><var 48 01 /var><br>モルド・スークの人材募集の張り紙に、お手伝いさん募集と書かれている。","","False","0x00000000","",""
"","TEXT_LUCKZA024_03366_SEQ_01<tab>","TEXT_LUCKZA024_03366_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_LUCKZA024_03366_SEQ_02<tab>","TEXT_LUCKZA024_03366_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_LUCKZA024_03366_SEQ_03<tab>","TEXT_LUCKZA024_03366_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_LUCKZA024_03366_SEQ_04<tab>","TEXT_LUCKZA024_03366_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_LUCKZA024_03366_SEQ_05<tab>","TEXT_LUCKZA024_03366_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_LUCKZA024_03366_SEQ_06<tab>","TEXT_LUCKZA024_03366_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_LUCKZA024_03366_SEQ_07<tab>","TEXT_LUCKZA024_03366_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_LUCKZA024_03366_SEQ_08<tab>","TEXT_LUCKZA024_03366_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_LUCKZA024_03366_SEQ_09<tab>","TEXT_LUCKZA024_03366_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_LUCKZA024_03366_SEQ_10<tab>","TEXT_LUCKZA024_03366_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_LUCKZA024_03366_SEQ_11<tab>","TEXT_LUCKZA024_03366_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_LUCKZA024_03366_SEQ_12<tab>","TEXT_LUCKZA024_03366_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_LUCKZA024_03366_SEQ_13<tab>","TEXT_LUCKZA024_03366_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_LUCKZA024_03366_SEQ_14<tab>","TEXT_LUCKZA024_03366_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_LUCKZA024_03366_SEQ_15<tab>","TEXT_LUCKZA024_03366_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_LUCKZA024_03366_SEQ_16<tab>","TEXT_LUCKZA024_03366_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_LUCKZA024_03366_SEQ_17<tab>","TEXT_LUCKZA024_03366_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_LUCKZA024_03366_SEQ_18<tab>","TEXT_LUCKZA024_03366_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_LUCKZA024_03366_SEQ_19<tab>","TEXT_LUCKZA024_03366_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_LUCKZA024_03366_SEQ_20<tab>","TEXT_LUCKZA024_03366_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_LUCKZA024_03366_SEQ_21<tab>","TEXT_LUCKZA024_03366_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_LUCKZA024_03366_SEQ_22<tab>","TEXT_LUCKZA024_03366_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_LUCKZA024_03366_SEQ_23<tab>","TEXT_LUCKZA024_03366_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_LUCKZA024_03366_TODO_00<tab>Speak with the Mord taskmaster.","TEXT_LUCKZA024_03366_TODO_00<tab>雇用主のモルド族と話す","","False","0x00000018","",""
"","TEXT_LUCKZA024_03366_TODO_01<tab>Search for the client.","TEXT_LUCKZA024_03366_TODO_01<tab>取引相手を探す","","False","0x00000019","",""
"","TEXT_LUCKZA024_03366_TODO_02<tab>Speak with the unsavory Mord.","TEXT_LUCKZA024_03366_TODO_02<tab>怪しいモルド族と話す","","False","0x0000001A","",""
"","TEXT_LUCKZA024_03366_TODO_03<tab>Express your /doubt to the Mord taskmaster.","TEXT_LUCKZA024_03366_TODO_03<tab>雇用主のモルド族に「問い詰める」をする","","False","0x0000001B","",""
"","TEXT_LUCKZA024_03366_TODO_04<tab>","TEXT_LUCKZA024_03366_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_LUCKZA024_03366_TODO_05<tab>","TEXT_LUCKZA024_03366_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_LUCKZA024_03366_TODO_06<tab>","TEXT_LUCKZA024_03366_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_LUCKZA024_03366_TODO_07<tab>","TEXT_LUCKZA024_03366_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_LUCKZA024_03366_TODO_08<tab>","TEXT_LUCKZA024_03366_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_LUCKZA024_03366_TODO_09<tab>","TEXT_LUCKZA024_03366_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_LUCKZA024_03366_TODO_10<tab>","TEXT_LUCKZA024_03366_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_LUCKZA024_03366_TODO_11<tab>","TEXT_LUCKZA024_03366_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_LUCKZA024_03366_TODO_12<tab>","TEXT_LUCKZA024_03366_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_LUCKZA024_03366_TODO_13<tab>","TEXT_LUCKZA024_03366_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_LUCKZA024_03366_TODO_14<tab>","TEXT_LUCKZA024_03366_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_LUCKZA024_03366_TODO_15<tab>","TEXT_LUCKZA024_03366_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_LUCKZA024_03366_TODO_16<tab>","TEXT_LUCKZA024_03366_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_LUCKZA024_03366_TODO_17<tab>","TEXT_LUCKZA024_03366_TODO_17<tab>","","False","0x00000029","",""
