"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKZJ013_03576_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>The Ondo visionary dreams of sharing his passion with his people.","TEXT_LUCKZJ013_03576_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>特殊ルール： レベルアジャスト<var 49 01 /var><var 48 01 /var><br>オンドの潮溜まりのひたむきなオンド族は、熱意に燃えているようだ。","","False","0x00000000","",""
"","TEXT_LUCKZJ013_03576_SEQ_01<tab>","TEXT_LUCKZJ013_03576_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_LUCKZJ013_03576_SEQ_02<tab>","TEXT_LUCKZJ013_03576_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_LUCKZJ013_03576_SEQ_03<tab>","TEXT_LUCKZJ013_03576_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_LUCKZJ013_03576_SEQ_04<tab>","TEXT_LUCKZJ013_03576_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_LUCKZJ013_03576_SEQ_05<tab>","TEXT_LUCKZJ013_03576_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_LUCKZJ013_03576_SEQ_06<tab>","TEXT_LUCKZJ013_03576_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_LUCKZJ013_03576_SEQ_07<tab>","TEXT_LUCKZJ013_03576_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_LUCKZJ013_03576_SEQ_08<tab>","TEXT_LUCKZJ013_03576_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_LUCKZJ013_03576_SEQ_09<tab>","TEXT_LUCKZJ013_03576_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_LUCKZJ013_03576_SEQ_10<tab>","TEXT_LUCKZJ013_03576_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_LUCKZJ013_03576_SEQ_11<tab>","TEXT_LUCKZJ013_03576_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_LUCKZJ013_03576_SEQ_12<tab>","TEXT_LUCKZJ013_03576_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_LUCKZJ013_03576_SEQ_13<tab>","TEXT_LUCKZJ013_03576_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_LUCKZJ013_03576_SEQ_14<tab>","TEXT_LUCKZJ013_03576_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_LUCKZJ013_03576_SEQ_15<tab>","TEXT_LUCKZJ013_03576_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_LUCKZJ013_03576_SEQ_16<tab>","TEXT_LUCKZJ013_03576_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_LUCKZJ013_03576_SEQ_17<tab>","TEXT_LUCKZJ013_03576_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_LUCKZJ013_03576_SEQ_18<tab>","TEXT_LUCKZJ013_03576_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_LUCKZJ013_03576_SEQ_19<tab>","TEXT_LUCKZJ013_03576_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_LUCKZJ013_03576_SEQ_20<tab>","TEXT_LUCKZJ013_03576_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_LUCKZJ013_03576_SEQ_21<tab>","TEXT_LUCKZJ013_03576_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_LUCKZJ013_03576_SEQ_22<tab>","TEXT_LUCKZJ013_03576_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_LUCKZJ013_03576_SEQ_23<tab>","TEXT_LUCKZJ013_03576_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_LUCKZJ013_03576_TODO_00<tab>Speak with the Ondo visionary outside the Cups.","TEXT_LUCKZJ013_03576_TODO_00<tab>オンドの潮溜まり東のひたむきなオンド族と話す","","False","0x00000018","",""
"","TEXT_LUCKZJ013_03576_TODO_01<tab>Follow the Ondo visionary to the Norvrandt Slope.","TEXT_LUCKZJ013_03576_TODO_01<tab>ノルヴラント大陸斜面のひたむきなオンド族と話す","","False","0x00000019","",""
"","TEXT_LUCKZJ013_03576_TODO_02<tab>Follow the Ondo visionary to the Cups.","TEXT_LUCKZJ013_03576_TODO_02<tab>オンドの潮溜まりのひたむきなオンド族と話す","","False","0x0000001A","",""
"","TEXT_LUCKZJ013_03576_TODO_03<tab>Follow the Ondo visionary into the caverns below the Cups.","TEXT_LUCKZJ013_03576_TODO_03<tab>オンドの潮溜まり地下のひたむきなオンド族と話す","","False","0x0000001B","",""
"","TEXT_LUCKZJ013_03576_TODO_04<tab>Return with the Ondo visionary to the Cups.","TEXT_LUCKZJ013_03576_TODO_04<tab>オンドの潮溜まりのひたむきなオンド族と話す","","False","0x0000001C","",""
"","TEXT_LUCKZJ013_03576_TODO_05<tab>","TEXT_LUCKZJ013_03576_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_LUCKZJ013_03576_TODO_06<tab>","TEXT_LUCKZJ013_03576_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_LUCKZJ013_03576_TODO_07<tab>","TEXT_LUCKZJ013_03576_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_LUCKZJ013_03576_TODO_08<tab>","TEXT_LUCKZJ013_03576_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_LUCKZJ013_03576_TODO_09<tab>","TEXT_LUCKZJ013_03576_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_LUCKZJ013_03576_TODO_10<tab>","TEXT_LUCKZJ013_03576_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_LUCKZJ013_03576_TODO_11<tab>","TEXT_LUCKZJ013_03576_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_LUCKZJ013_03576_TODO_12<tab>","TEXT_LUCKZJ013_03576_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_LUCKZJ013_03576_TODO_13<tab>","TEXT_LUCKZJ013_03576_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_LUCKZJ013_03576_TODO_14<tab>","TEXT_LUCKZJ013_03576_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_LUCKZJ013_03576_TODO_15<tab>","TEXT_LUCKZJ013_03576_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_LUCKZJ013_03576_TODO_16<tab>","TEXT_LUCKZJ013_03576_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_LUCKZJ013_03576_TODO_17<tab>","TEXT_LUCKZJ013_03576_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_LUCKZJ013_03576_TODO_18<tab>","TEXT_LUCKZJ013_03576_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_LUCKZJ013_03576_TODO_19<tab>","TEXT_LUCKZJ013_03576_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_LUCKZJ013_03576_TODO_20<tab>","TEXT_LUCKZJ013_03576_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_LUCKZJ013_03576_TODO_21<tab>","TEXT_LUCKZJ013_03576_TODO_21<tab>","","False","0x0000002D","",""
