"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANLOP105_04691_SEQ_00<tab>Managingway would like to add your personal touch to a new capitalistic enterprise.

※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","TEXT_BANLOP105_04691_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>特殊ルール： レベルアジャスト受注クラス・ジョブ制限<var 49 01 /var><var 48 01 /var>
※本クエストは受注時のクラスでのみ進行します。

ホーパーズ・ホールドのマネージングウェイは、新商品の開発を依頼したいようだ。","","False","0x00000000","",""
"","TEXT_BANLOP105_04691_SEQ_01<tab>Speak with the excitable Loporrit in Greatest Endsvale.","TEXT_BANLOP105_04691_SEQ_01<tab>グレーテスト・エンズヴィルのせかせかレポリットと話す","","False","0x00000001","",""
"","TEXT_BANLOP105_04691_SEQ_02<tab>Deliver the requested items to the excitable Loporrit.","TEXT_BANLOP105_04691_SEQ_02<tab>せかせかレポリットに依頼の品を納品","","False","0x00000002","",""
"","TEXT_BANLOP105_04691_SEQ_03<tab>Report back to Managingway.","TEXT_BANLOP105_04691_SEQ_03<tab>マネージングウェイに報告","","False","0x00000003","",""
"","TEXT_BANLOP105_04691_SEQ_04<tab>","TEXT_BANLOP105_04691_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_BANLOP105_04691_SEQ_05<tab>","TEXT_BANLOP105_04691_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANLOP105_04691_SEQ_06<tab>","TEXT_BANLOP105_04691_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANLOP105_04691_SEQ_07<tab>","TEXT_BANLOP105_04691_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANLOP105_04691_SEQ_08<tab>","TEXT_BANLOP105_04691_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANLOP105_04691_SEQ_09<tab>","TEXT_BANLOP105_04691_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_BANLOP105_04691_SEQ_10<tab>","TEXT_BANLOP105_04691_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANLOP105_04691_SEQ_11<tab>","TEXT_BANLOP105_04691_SEQ_11<tab>","","False","0x0000000B","",""
