"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKMH108_04533_SEQ_00<tab>Montichaigne is waiting to offer you further instructions.","TEXT_AKTKMH108_04533_SEQ_00<tab>Монтише ждёт вас для дальнейших инструкций.","","False","0x00000000","",""
"","TEXT_AKTKMH108_04533_SEQ_01<tab>","","","False","0x00000001","",""
"","TEXT_AKTKMH108_04533_SEQ_02<tab>","","","False","0x00000002","",""
"","TEXT_AKTKMH108_04533_SEQ_03<tab>","","","False","0x00000003","",""
"","TEXT_AKTKMH108_04533_SEQ_04<tab>","","","False","0x00000004","",""
"","TEXT_AKTKMH108_04533_SEQ_05<tab>","","","False","0x00000005","",""
"","TEXT_AKTKMH108_04533_SEQ_06<tab>","","","False","0x00000006","",""
"","TEXT_AKTKMH108_04533_SEQ_07<tab>","","","False","0x00000007","",""
"","TEXT_AKTKMH108_04533_SEQ_08<tab>","","","False","0x00000008","",""
"","TEXT_AKTKMH108_04533_SEQ_09<tab>","","","False","0x00000009","",""
"","TEXT_AKTKMH108_04533_SEQ_10<tab>","","","False","0x0000000A","",""
"","TEXT_AKTKMH108_04533_SEQ_11<tab>","","","False","0x0000000B","",""
"","TEXT_AKTKMH108_04533_SEQ_12<tab>","","","False","0x0000000C","",""
"","TEXT_AKTKMH108_04533_SEQ_13<tab>","","","False","0x0000000D","",""
"","TEXT_AKTKMH108_04533_SEQ_14<tab>","","","False","0x0000000E","",""
"","TEXT_AKTKMH108_04533_SEQ_15<tab>","","","False","0x0000000F","",""
"","TEXT_AKTKMH108_04533_SEQ_16<tab>","","","False","0x00000010","",""
"","TEXT_AKTKMH108_04533_SEQ_17<tab>","","","False","0x00000011","",""
"","TEXT_AKTKMH108_04533_SEQ_18<tab>","","","False","0x00000012","",""
"","TEXT_AKTKMH108_04533_SEQ_19<tab>","","","False","0x00000013","",""
"","TEXT_AKTKMH108_04533_SEQ_20<tab>","","","False","0x00000014","",""
"","TEXT_AKTKMH108_04533_SEQ_21<tab>","","","False","0x00000015","",""
"","TEXT_AKTKMH108_04533_SEQ_22<tab>","","","False","0x00000016","",""
"","TEXT_AKTKMH108_04533_SEQ_23<tab>","","","False","0x00000017","",""
"","TEXT_AKTKMH108_04533_TODO_00<tab>Speak with the index page while Y'shtola is accompanying you.","TEXT_AKTKMH108_04533_TODO_00<tab>Поговорите с указателем, пока Я'штола сопровождает вас.","","False","0x00000018","",""
"","TEXT_AKTKMH108_04533_TODO_01<tab>Search for House Daemir's research notes.","TEXT_AKTKMH108_04533_TODO_01<tab>Поищите исследовательские заметки дома Даэмир.","","False","0x00000019","",""
