"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKMH108_04533_SEQ_00<tab>Montichaigne is waiting to offer you further instructions.","TEXT_AKTKMH108_04533_SEQ_00<tab>Montichaigne wartet geduldig darauf, euch den nächsten Schritt zu erklären.","","False","0x00000000","",""
"","TEXT_AKTKMH108_04533_SEQ_01<tab>","TEXT_AKTKMH108_04533_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_AKTKMH108_04533_SEQ_02<tab>","TEXT_AKTKMH108_04533_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_AKTKMH108_04533_SEQ_03<tab>","TEXT_AKTKMH108_04533_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_AKTKMH108_04533_SEQ_04<tab>","TEXT_AKTKMH108_04533_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_AKTKMH108_04533_SEQ_05<tab>","TEXT_AKTKMH108_04533_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_AKTKMH108_04533_SEQ_06<tab>","TEXT_AKTKMH108_04533_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_AKTKMH108_04533_SEQ_07<tab>","TEXT_AKTKMH108_04533_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_AKTKMH108_04533_SEQ_08<tab>","TEXT_AKTKMH108_04533_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_AKTKMH108_04533_SEQ_09<tab>","TEXT_AKTKMH108_04533_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_AKTKMH108_04533_SEQ_10<tab>","TEXT_AKTKMH108_04533_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_AKTKMH108_04533_SEQ_11<tab>","TEXT_AKTKMH108_04533_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_AKTKMH108_04533_SEQ_12<tab>","TEXT_AKTKMH108_04533_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_AKTKMH108_04533_SEQ_13<tab>","TEXT_AKTKMH108_04533_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_AKTKMH108_04533_SEQ_14<tab>","TEXT_AKTKMH108_04533_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_AKTKMH108_04533_SEQ_15<tab>","TEXT_AKTKMH108_04533_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_AKTKMH108_04533_SEQ_16<tab>","TEXT_AKTKMH108_04533_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_AKTKMH108_04533_SEQ_17<tab>","TEXT_AKTKMH108_04533_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_AKTKMH108_04533_SEQ_18<tab>","TEXT_AKTKMH108_04533_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_AKTKMH108_04533_SEQ_19<tab>","TEXT_AKTKMH108_04533_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_AKTKMH108_04533_SEQ_20<tab>","TEXT_AKTKMH108_04533_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_AKTKMH108_04533_SEQ_21<tab>","TEXT_AKTKMH108_04533_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_AKTKMH108_04533_SEQ_22<tab>","TEXT_AKTKMH108_04533_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_AKTKMH108_04533_SEQ_23<tab>","TEXT_AKTKMH108_04533_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_AKTKMH108_04533_TODO_00<tab>Speak with the index page while Y'shtola is accompanying you.","TEXT_AKTKMH108_04533_TODO_00<tab>Mit dem Inhaltsverzeichnis sprechen","","False","0x00000018","",""
"","TEXT_AKTKMH108_04533_TODO_01<tab>Search for House Daemir's research notes.","TEXT_AKTKMH108_04533_TODO_01<tab>Nach dem Werk der Daemir suchen","","False","0x00000019","",""
"","TEXT_AKTKMH108_04533_TODO_02<tab>Hand the <var 1A 02 /var>Epiphanies of House Daemir<var 1A 01 /var> to Y'shtola.","TEXT_AKTKMH108_04533_TODO_02<tab>Y'shtola „Das Wunderwerk der Daemir“ überreichen","","False","0x0000001A","",""
"","TEXT_AKTKMH108_04533_TODO_03<tab>Speak with Y'shtola.","TEXT_AKTKMH108_04533_TODO_03<tab>Mit Y'shtola sprechen","","False","0x0000001B","",""
"","TEXT_AKTKMH108_04533_TODO_04<tab>Speak with Nidhana at the Great Work.","TEXT_AKTKMH108_04533_TODO_04<tab>Mit Nidhana in Daemirs Werk sprechen","","False","0x0000001C","",""
