"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKMH103_04528_SEQ_00<tab>Estinien is ready to escort Mehrahd to safety.","TEXT_AKTKMH103_04528_SEQ_00<tab>Estinien est prêt à rac<var 16 /var>com<var 16 /var>pag<var 16 /var>ner Mehrahd jusqu'à Radz-at-Han.","","False","0x00000000","",""
"","TEXT_AKTKMH103_04528_SEQ_01<tab>","TEXT_AKTKMH103_04528_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_AKTKMH103_04528_SEQ_02<tab>","TEXT_AKTKMH103_04528_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_AKTKMH103_04528_SEQ_03<tab>","TEXT_AKTKMH103_04528_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_AKTKMH103_04528_SEQ_04<tab>","TEXT_AKTKMH103_04528_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_AKTKMH103_04528_SEQ_05<tab>","TEXT_AKTKMH103_04528_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_AKTKMH103_04528_SEQ_06<tab>","TEXT_AKTKMH103_04528_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_AKTKMH103_04528_SEQ_07<tab>","TEXT_AKTKMH103_04528_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_AKTKMH103_04528_SEQ_08<tab>","TEXT_AKTKMH103_04528_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_AKTKMH103_04528_SEQ_09<tab>","TEXT_AKTKMH103_04528_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_AKTKMH103_04528_SEQ_10<tab>","TEXT_AKTKMH103_04528_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_AKTKMH103_04528_SEQ_11<tab>","TEXT_AKTKMH103_04528_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_AKTKMH103_04528_SEQ_12<tab>","TEXT_AKTKMH103_04528_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_AKTKMH103_04528_SEQ_13<tab>","TEXT_AKTKMH103_04528_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_AKTKMH103_04528_SEQ_14<tab>","TEXT_AKTKMH103_04528_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_AKTKMH103_04528_SEQ_15<tab>","TEXT_AKTKMH103_04528_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_AKTKMH103_04528_SEQ_16<tab>","TEXT_AKTKMH103_04528_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_AKTKMH103_04528_SEQ_17<tab>","TEXT_AKTKMH103_04528_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_AKTKMH103_04528_SEQ_18<tab>","TEXT_AKTKMH103_04528_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_AKTKMH103_04528_SEQ_19<tab>","TEXT_AKTKMH103_04528_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_AKTKMH103_04528_SEQ_20<tab>","TEXT_AKTKMH103_04528_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_AKTKMH103_04528_SEQ_21<tab>","TEXT_AKTKMH103_04528_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_AKTKMH103_04528_SEQ_22<tab>","TEXT_AKTKMH103_04528_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_AKTKMH103_04528_SEQ_23<tab>","TEXT_AKTKMH103_04528_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_AKTKMH103_04528_TODO_00<tab>Speak with Ojika Tsunjika at the Baldesion Annex.","TEXT_AKTKMH103_04528_TODO_00<tab>Parler à Ojika Tsunjika, à l'annexe des Élèves de Baldesion","","False","0x00000018","",""
