"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_STMBDY107_02938_SEQ_00<tab>Estrild of the Shiokaze Hostelry persists in keeping a close, enlisting eye on passersby.","TEXT_STMBDY107_02938_SEQ_00<tab>Estrild lässt sich nicht davon abbringen, Passanten zu mustern.","","False","0x00000000","",""
"","TEXT_STMBDY107_02938_SEQ_01<tab>","TEXT_STMBDY107_02938_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_STMBDY107_02938_SEQ_02<tab>","TEXT_STMBDY107_02938_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_STMBDY107_02938_SEQ_03<tab>","TEXT_STMBDY107_02938_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_STMBDY107_02938_SEQ_04<tab>","TEXT_STMBDY107_02938_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_STMBDY107_02938_SEQ_05<tab>","TEXT_STMBDY107_02938_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_STMBDY107_02938_SEQ_06<tab>","TEXT_STMBDY107_02938_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_STMBDY107_02938_SEQ_07<tab>","TEXT_STMBDY107_02938_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_STMBDY107_02938_SEQ_08<tab>","TEXT_STMBDY107_02938_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_STMBDY107_02938_SEQ_09<tab>","TEXT_STMBDY107_02938_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_STMBDY107_02938_SEQ_10<tab>","TEXT_STMBDY107_02938_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_STMBDY107_02938_SEQ_11<tab>","TEXT_STMBDY107_02938_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_STMBDY107_02938_SEQ_12<tab>","TEXT_STMBDY107_02938_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_STMBDY107_02938_SEQ_13<tab>","TEXT_STMBDY107_02938_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_STMBDY107_02938_SEQ_14<tab>","TEXT_STMBDY107_02938_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_STMBDY107_02938_SEQ_15<tab>","TEXT_STMBDY107_02938_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_STMBDY107_02938_SEQ_16<tab>","TEXT_STMBDY107_02938_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_STMBDY107_02938_SEQ_17<tab>","TEXT_STMBDY107_02938_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_STMBDY107_02938_SEQ_18<tab>","TEXT_STMBDY107_02938_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_STMBDY107_02938_SEQ_19<tab>","TEXT_STMBDY107_02938_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_STMBDY107_02938_SEQ_20<tab>","TEXT_STMBDY107_02938_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_STMBDY107_02938_SEQ_21<tab>","TEXT_STMBDY107_02938_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_STMBDY107_02938_SEQ_22<tab>","TEXT_STMBDY107_02938_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_STMBDY107_02938_SEQ_23<tab>","TEXT_STMBDY107_02938_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_STMBDY107_02938_TODO_00<tab>Speak with Wlveva.","TEXT_STMBDY107_02938_TODO_00<tab>Mit Wlveva sprechen","","False","0x00000018","",""
"","TEXT_STMBDY107_02938_TODO_01<tab>","TEXT_STMBDY107_02938_TODO_01<tab>","","False","0x00000019","",""
"","TEXT_STMBDY107_02938_TODO_02<tab>","TEXT_STMBDY107_02938_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_STMBDY107_02938_TODO_03<tab>","TEXT_STMBDY107_02938_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_STMBDY107_02938_TODO_04<tab>","TEXT_STMBDY107_02938_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_STMBDY107_02938_TODO_05<tab>","TEXT_STMBDY107_02938_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_STMBDY107_02938_TODO_06<tab>","TEXT_STMBDY107_02938_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_STMBDY107_02938_TODO_07<tab>","TEXT_STMBDY107_02938_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_STMBDY107_02938_TODO_08<tab>","TEXT_STMBDY107_02938_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_STMBDY107_02938_TODO_09<tab>","TEXT_STMBDY107_02938_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_STMBDY107_02938_TODO_10<tab>","TEXT_STMBDY107_02938_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_STMBDY107_02938_TODO_11<tab>","TEXT_STMBDY107_02938_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_STMBDY107_02938_TODO_12<tab>","TEXT_STMBDY107_02938_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_STMBDY107_02938_TODO_13<tab>","TEXT_STMBDY107_02938_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_STMBDY107_02938_TODO_14<tab>","TEXT_STMBDY107_02938_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_STMBDY107_02938_TODO_15<tab>","TEXT_STMBDY107_02938_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_STMBDY107_02938_TODO_16<tab>","TEXT_STMBDY107_02938_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_STMBDY107_02938_TODO_17<tab>","TEXT_STMBDY107_02938_TODO_17<tab>","","False","0x00000029","",""
