"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANDWA104_03905_SEQ_00<tab>Regitt is eyeing the distance nervously.<br><br>※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","TEXT_BANDWA104_03905_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Schwierigkeitsanpassung (Job/Klasse darf nicht gewechselt werden)<var 49 01 /var><var 48 01 /var><br><br>Regitt will den Gremlins Saures geben.","","True","0x00000000","",""
"","TEXT_BANDWA104_03905_SEQ_01<tab>","TEXT_BANDWA104_03905_SEQ_01<tab>","","True","0x00000001","",""
"","TEXT_BANDWA104_03905_SEQ_02<tab>","TEXT_BANDWA104_03905_SEQ_02<tab>","","True","0x00000002","",""
"","TEXT_BANDWA104_03905_SEQ_03<tab>","TEXT_BANDWA104_03905_SEQ_03<tab>","","True","0x00000003","",""
"","TEXT_BANDWA104_03905_SEQ_04<tab>","TEXT_BANDWA104_03905_SEQ_04<tab>","","True","0x00000004","",""
"","TEXT_BANDWA104_03905_SEQ_05<tab>","TEXT_BANDWA104_03905_SEQ_05<tab>","","True","0x00000005","",""
"","TEXT_BANDWA104_03905_SEQ_06<tab>","TEXT_BANDWA104_03905_SEQ_06<tab>","","True","0x00000006","",""
"","TEXT_BANDWA104_03905_SEQ_07<tab>","TEXT_BANDWA104_03905_SEQ_07<tab>","","True","0x00000007","",""
"","TEXT_BANDWA104_03905_SEQ_08<tab>","TEXT_BANDWA104_03905_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_BANDWA104_03905_SEQ_09<tab>","TEXT_BANDWA104_03905_SEQ_09<tab>","","True","0x00000009","",""
"","TEXT_BANDWA104_03905_SEQ_10<tab>","TEXT_BANDWA104_03905_SEQ_10<tab>","","True","0x0000000A","",""
"","TEXT_BANDWA104_03905_SEQ_11<tab>","TEXT_BANDWA104_03905_SEQ_11<tab>","","True","0x0000000B","",""
"","TEXT_BANDWA104_03905_SEQ_12<tab>","TEXT_BANDWA104_03905_SEQ_12<tab>","","True","0x0000000C","",""
"","TEXT_BANDWA104_03905_SEQ_13<tab>","TEXT_BANDWA104_03905_SEQ_13<tab>","","True","0x0000000D","",""
"","TEXT_BANDWA104_03905_SEQ_14<tab>","TEXT_BANDWA104_03905_SEQ_14<tab>","","True","0x0000000E","",""
"","TEXT_BANDWA104_03905_SEQ_15<tab>","TEXT_BANDWA104_03905_SEQ_15<tab>","","True","0x0000000F","",""
"","TEXT_BANDWA104_03905_SEQ_16<tab>","TEXT_BANDWA104_03905_SEQ_16<tab>","","True","0x00000010","",""
"","TEXT_BANDWA104_03905_SEQ_17<tab>","TEXT_BANDWA104_03905_SEQ_17<tab>","","True","0x00000011","",""
"","TEXT_BANDWA104_03905_SEQ_18<tab>","TEXT_BANDWA104_03905_SEQ_18<tab>","","True","0x00000012","",""
"","TEXT_BANDWA104_03905_SEQ_19<tab>","TEXT_BANDWA104_03905_SEQ_19<tab>","","True","0x00000013","",""
"","TEXT_BANDWA104_03905_SEQ_20<tab>","TEXT_BANDWA104_03905_SEQ_20<tab>","","True","0x00000014","",""
"","TEXT_BANDWA104_03905_SEQ_21<tab>","TEXT_BANDWA104_03905_SEQ_21<tab>","","True","0x00000015","",""
"","TEXT_BANDWA104_03905_SEQ_22<tab>","TEXT_BANDWA104_03905_SEQ_22<tab>","","True","0x00000016","",""
"","TEXT_BANDWA104_03905_SEQ_23<tab>","TEXT_BANDWA104_03905_SEQ_23<tab>","","True","0x00000017","",""
"","TEXT_BANDWA104_03905_TODO_00<tab>Lay traps in the Forest of the Lost Shepherd.","TEXT_BANDWA104_03905_TODO_00<tab>Gremlinscheuchen im Wald des Verirrten Hirten auslegen","","True","0x00000018","",""
"","TEXT_BANDWA104_03905_TODO_01<tab>Report to Regitt.","TEXT_BANDWA104_03905_TODO_01<tab>Regitt berichten","","True","0x00000019","",""
"","TEXT_BANDWA104_03905_TODO_02<tab>","TEXT_BANDWA104_03905_TODO_02<tab>","","True","0x0000001A","",""
"","TEXT_BANDWA104_03905_TODO_03<tab>","TEXT_BANDWA104_03905_TODO_03<tab>","","True","0x0000001B","",""
"","TEXT_BANDWA104_03905_TODO_04<tab>","TEXT_BANDWA104_03905_TODO_04<tab>","","True","0x0000001C","",""
"","TEXT_BANDWA104_03905_TODO_05<tab>","TEXT_BANDWA104_03905_TODO_05<tab>","","True","0x0000001D","",""
"","TEXT_BANDWA104_03905_TODO_06<tab>","TEXT_BANDWA104_03905_TODO_06<tab>","","True","0x0000001E","",""
"","TEXT_BANDWA104_03905_TODO_07<tab>","TEXT_BANDWA104_03905_TODO_07<tab>","","True","0x0000001F","",""
"","TEXT_BANDWA104_03905_TODO_08<tab>","TEXT_BANDWA104_03905_TODO_08<tab>","","True","0x00000020","",""
"","TEXT_BANDWA104_03905_TODO_09<tab>","TEXT_BANDWA104_03905_TODO_09<tab>","","True","0x00000021","",""
"","TEXT_BANDWA104_03905_TODO_10<tab>","TEXT_BANDWA104_03905_TODO_10<tab>","","True","0x00000022","",""
"","TEXT_BANDWA104_03905_TODO_11<tab>","TEXT_BANDWA104_03905_TODO_11<tab>","","True","0x00000023","",""
"","TEXT_BANDWA104_03905_TODO_12<tab>","TEXT_BANDWA104_03905_TODO_12<tab>","","True","0x00000024","",""
"","TEXT_BANDWA104_03905_TODO_13<tab>","TEXT_BANDWA104_03905_TODO_13<tab>","","True","0x00000025","",""
"","TEXT_BANDWA104_03905_TODO_14<tab>","TEXT_BANDWA104_03905_TODO_14<tab>","","True","0x00000026","",""
"","TEXT_BANDWA104_03905_TODO_15<tab>","TEXT_BANDWA104_03905_TODO_15<tab>","","True","0x00000027","",""
"","TEXT_BANDWA104_03905_TODO_16<tab>","TEXT_BANDWA104_03905_TODO_16<tab>","","True","0x00000028","",""
"","TEXT_BANDWA104_03905_TODO_17<tab>","TEXT_BANDWA104_03905_TODO_17<tab>","","True","0x00000029","",""
"","TEXT_BANDWA104_03905_TODO_18<tab>","TEXT_BANDWA104_03905_TODO_18<tab>","","True","0x0000002A","",""
"","TEXT_BANDWA104_03905_TODO_19<tab>","TEXT_BANDWA104_03905_TODO_19<tab>","","True","0x0000002B","",""
"","TEXT_BANDWA104_03905_TODO_20<tab>","TEXT_BANDWA104_03905_TODO_20<tab>","","True","0x0000002C","",""
