"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKZA005_04184_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>The Outer Circuit researcher's brow is creased in consternation.","TEXT_AKTKZA005_04184_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>特殊ルール： レベルアジャスト<var 49 01 /var><var 48 01 /var><br>アッパー・アクリンソスのアウターサーキットの研究員は、気がかりなことがあるようだ。","","True","0x00000000","",""
"","TEXT_AKTKZA005_04184_SEQ_01<tab>","TEXT_AKTKZA005_04184_SEQ_01<tab>","","True","0x00000001","",""
"","TEXT_AKTKZA005_04184_SEQ_02<tab>","TEXT_AKTKZA005_04184_SEQ_02<tab>","","True","0x00000002","",""
"","TEXT_AKTKZA005_04184_SEQ_03<tab>","TEXT_AKTKZA005_04184_SEQ_03<tab>","","True","0x00000003","",""
"","TEXT_AKTKZA005_04184_SEQ_04<tab>","TEXT_AKTKZA005_04184_SEQ_04<tab>","","True","0x00000004","",""
"","TEXT_AKTKZA005_04184_SEQ_05<tab>","TEXT_AKTKZA005_04184_SEQ_05<tab>","","True","0x00000005","",""
"","TEXT_AKTKZA005_04184_SEQ_06<tab>","TEXT_AKTKZA005_04184_SEQ_06<tab>","","True","0x00000006","",""
"","TEXT_AKTKZA005_04184_SEQ_07<tab>","TEXT_AKTKZA005_04184_SEQ_07<tab>","","True","0x00000007","",""
"","TEXT_AKTKZA005_04184_SEQ_08<tab>","TEXT_AKTKZA005_04184_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_AKTKZA005_04184_SEQ_09<tab>","TEXT_AKTKZA005_04184_SEQ_09<tab>","","True","0x00000009","",""
"","TEXT_AKTKZA005_04184_SEQ_10<tab>","TEXT_AKTKZA005_04184_SEQ_10<tab>","","True","0x0000000A","",""
"","TEXT_AKTKZA005_04184_SEQ_11<tab>","TEXT_AKTKZA005_04184_SEQ_11<tab>","","True","0x0000000B","",""
"","TEXT_AKTKZA005_04184_SEQ_12<tab>","TEXT_AKTKZA005_04184_SEQ_12<tab>","","True","0x0000000C","",""
"","TEXT_AKTKZA005_04184_SEQ_13<tab>","TEXT_AKTKZA005_04184_SEQ_13<tab>","","True","0x0000000D","",""
"","TEXT_AKTKZA005_04184_SEQ_14<tab>","TEXT_AKTKZA005_04184_SEQ_14<tab>","","True","0x0000000E","",""
"","TEXT_AKTKZA005_04184_SEQ_15<tab>","TEXT_AKTKZA005_04184_SEQ_15<tab>","","True","0x0000000F","",""
"","TEXT_AKTKZA005_04184_SEQ_16<tab>","TEXT_AKTKZA005_04184_SEQ_16<tab>","","True","0x00000010","",""
"","TEXT_AKTKZA005_04184_SEQ_17<tab>","TEXT_AKTKZA005_04184_SEQ_17<tab>","","True","0x00000011","",""
"","TEXT_AKTKZA005_04184_SEQ_18<tab>","TEXT_AKTKZA005_04184_SEQ_18<tab>","","True","0x00000012","",""
"","TEXT_AKTKZA005_04184_SEQ_19<tab>","TEXT_AKTKZA005_04184_SEQ_19<tab>","","True","0x00000013","",""
"","TEXT_AKTKZA005_04184_SEQ_20<tab>","TEXT_AKTKZA005_04184_SEQ_20<tab>","","True","0x00000014","",""
"","TEXT_AKTKZA005_04184_SEQ_21<tab>","TEXT_AKTKZA005_04184_SEQ_21<tab>","","True","0x00000015","",""
"","TEXT_AKTKZA005_04184_SEQ_22<tab>","TEXT_AKTKZA005_04184_SEQ_22<tab>","","True","0x00000016","",""
"","TEXT_AKTKZA005_04184_SEQ_23<tab>","TEXT_AKTKZA005_04184_SEQ_23<tab>","","True","0x00000017","",""
"","TEXT_AKTKZA005_04184_TODO_00<tab>Speak with the Outer Circuit researcher.","TEXT_AKTKZA005_04184_TODO_00<tab>アウターサーキットの研究員と話す","","True","0x00000018","",""
"","TEXT_AKTKZA005_04184_TODO_01<tab>Investigate the mist sprayers.","TEXT_AKTKZA005_04184_TODO_01<tab>噴霧装置を調べる","","True","0x00000019","",""
"","TEXT_AKTKZA005_04184_TODO_02<tab>Speak with the Outer Circuit researcher.","TEXT_AKTKZA005_04184_TODO_02<tab>アウターサーキットの研究員と話す","","True","0x0000001A","",""
"","TEXT_AKTKZA005_04184_TODO_03<tab>Speak with the Outer Circuit researcher once more.","TEXT_AKTKZA005_04184_TODO_03<tab>アウターサーキットの研究員と再度話す","","True","0x0000001B","",""
