"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_XXAUSB208_03866_SEQ_00<tab>Wheiskaet would like to congratulate you on a job well done.","TEXT_XXAUSB208_03866_SEQ_00<tab>コスタ・デル・ソルのヴェイスケートは、冒険者に最高の酒を用意してほしいようだ。","","False","0x00000000","",""
"","TEXT_XXAUSB208_03866_SEQ_01<tab>Wheiskaet applauds your performance, but still refuses to tell you of Titan's secrets. Before you can face the Lord of Crags in battle, you must procure a bottle of the very finest wine from Shamani Lohmani, a former member of the Company. Wheiskaet hands you a note to explain the details of the order, which should save you the trouble of remembering any difficult-to-pronounce wine names.","TEXT_XXAUSB208_03866_SEQ_01<tab>ヴェイスケートと話した。次は最高のワインを調達することになった。東ラノシアのワインポートにいる「シャマニ・ローマニ」に、「<var 28 ((EventItem)) F61E904301 /var>」を渡そう。","","False","0x00000001","",""
"","TEXT_XXAUSB208_03866_SEQ_02<tab>Shamani Lohmani immediately deduces your intent with his impressive sense of smell. Having explained why he did so, he is now ready to discuss business.","TEXT_XXAUSB208_03866_SEQ_02<tab>シャマニ・ローマニは、視覚以外の感覚を研ぎ澄ますことで、注文票の内容を理解した。もう一度シャマニ・ローマニに話しかけてみよう。","","False","0x00000002","",""
"","TEXT_XXAUSB208_03866_SEQ_03<tab>","TEXT_XXAUSB208_03866_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_XXAUSB208_03866_SEQ_04<tab>","TEXT_XXAUSB208_03866_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_XXAUSB208_03866_SEQ_05<tab>","TEXT_XXAUSB208_03866_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_XXAUSB208_03866_SEQ_06<tab>","TEXT_XXAUSB208_03866_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_XXAUSB208_03866_SEQ_07<tab>","TEXT_XXAUSB208_03866_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_XXAUSB208_03866_SEQ_08<tab>","TEXT_XXAUSB208_03866_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_XXAUSB208_03866_SEQ_09<tab>","TEXT_XXAUSB208_03866_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_XXAUSB208_03866_SEQ_10<tab>","TEXT_XXAUSB208_03866_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_XXAUSB208_03866_SEQ_11<tab>","TEXT_XXAUSB208_03866_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_XXAUSB208_03866_SEQ_12<tab>","TEXT_XXAUSB208_03866_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_XXAUSB208_03866_SEQ_13<tab>","TEXT_XXAUSB208_03866_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_XXAUSB208_03866_SEQ_14<tab>","TEXT_XXAUSB208_03866_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_XXAUSB208_03866_SEQ_15<tab>","TEXT_XXAUSB208_03866_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_XXAUSB208_03866_SEQ_16<tab>","TEXT_XXAUSB208_03866_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_XXAUSB208_03866_SEQ_17<tab>","TEXT_XXAUSB208_03866_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_XXAUSB208_03866_SEQ_18<tab>","TEXT_XXAUSB208_03866_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_XXAUSB208_03866_SEQ_19<tab>","TEXT_XXAUSB208_03866_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_XXAUSB208_03866_SEQ_20<tab>","TEXT_XXAUSB208_03866_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_XXAUSB208_03866_SEQ_21<tab>","TEXT_XXAUSB208_03866_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_XXAUSB208_03866_SEQ_22<tab>","TEXT_XXAUSB208_03866_SEQ_22<tab>","","False","0x00000016","",""
