"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANKOB204_01338_SEQ_00<tab>They say there is as much destroying as creating in a craftsman's life, and Bo Gu is certainly diligent about one of those duties.","TEXT_BANKOB204_01338_SEQ_00<tab>They say there is as much destroying as creating in a craftsman's life, and Bo Gu is certainly diligent about one of those duties.","","False","0x00000000","",""
"","TEXT_BANKOB204_01338_SEQ_01<tab>13th Order Fugleman Zo Ga continues to rile Bo Gu with his foresight and acumen, and the craftsman instructs you to destroy Zo Ga's bomb incubators. The fugleman's sagacity bothers you far less than his penchant for brutally oppressing every living creature under him, but why quibble? Wreck two incubators and be done with it.","TEXT_BANKOB204_01338_SEQ_01<tab>13th Order Fugleman Zo Ga continues to rile Bo Gu with his foresight and acumen, and the craftsman instructs you to destroy Zo Ga's bomb incubators. The fugleman's sagacity bothers you far less than his penchant for brutally oppressing every living creature under him, but why quibble? Wreck two incubators and be done with it.","","False","0x00000001","",""
"","TEXT_BANKOB204_01338_SEQ_02<tab>The bomb incubators are good and dead, thanks to you. Report the destruction to Bo Gu at the 789th Order Dig.","TEXT_BANKOB204_01338_SEQ_02<tab>The bomb incubators are good and dead, thanks to you. Report the destruction to Bo Gu at the 789th Order Dig.","","False","0x00000002","",""
"","TEXT_BANKOB204_01338_SEQ_03<tab>Bo Gu is delighted to hear that your mission has succeeded, though you are slightly unsettled by his cheery musings about Zo Ga's preferred fate for you should you ever be captured. Know, adventurer, that this too is the price of the life you have chosen.","TEXT_BANKOB204_01338_SEQ_03<tab>Bo Gu is delighted to hear that your mission has succeeded, though you are slightly unsettled by his cheery musings about Zo Ga's preferred fate for you should you ever be captured. Know, adventurer, that this too is the price of the life you have chosen.","","False","0x00000003","",""
"","TEXT_BANKOB204_01338_SEQ_04<tab>","TEXT_BANKOB204_01338_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_BANKOB204_01338_SEQ_05<tab>","TEXT_BANKOB204_01338_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANKOB204_01338_SEQ_06<tab>","TEXT_BANKOB204_01338_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANKOB204_01338_SEQ_07<tab>","TEXT_BANKOB204_01338_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANKOB204_01338_SEQ_08<tab>","TEXT_BANKOB204_01338_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANKOB204_01338_SEQ_09<tab>","TEXT_BANKOB204_01338_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_BANKOB204_01338_SEQ_10<tab>","TEXT_BANKOB204_01338_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANKOB204_01338_SEQ_11<tab>","TEXT_BANKOB204_01338_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_BANKOB204_01338_SEQ_12<tab>","TEXT_BANKOB204_01338_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_BANKOB204_01338_SEQ_13<tab>","TEXT_BANKOB204_01338_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_BANKOB204_01338_SEQ_14<tab>","TEXT_BANKOB204_01338_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_BANKOB204_01338_SEQ_15<tab>","TEXT_BANKOB204_01338_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_BANKOB204_01338_SEQ_16<tab>","TEXT_BANKOB204_01338_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_BANKOB204_01338_SEQ_17<tab>","TEXT_BANKOB204_01338_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_BANKOB204_01338_SEQ_18<tab>","TEXT_BANKOB204_01338_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_BANKOB204_01338_SEQ_19<tab>","TEXT_BANKOB204_01338_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_BANKOB204_01338_SEQ_20<tab>","TEXT_BANKOB204_01338_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_BANKOB204_01338_SEQ_21<tab>","TEXT_BANKOB204_01338_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_BANKOB204_01338_SEQ_22<tab>","TEXT_BANKOB204_01338_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_BANKOB204_01338_SEQ_23<tab>","TEXT_BANKOB204_01338_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_BANKOB204_01338_TODO_00<tab>Destroy bomb incubators at Iron Lake.","TEXT_BANKOB204_01338_TODO_00<tab>Destroy bomb incubators at Iron Lake.","","False","0x00000018","",""
"","TEXT_BANKOB204_01338_TODO_01<tab>Report to 789th Order Craftsman Bo Gu.","TEXT_BANKOB204_01338_TODO_01<tab>Report to 789th Order Craftsman Bo Gu.","","False","0x00000019","",""
"","TEXT_BANKOB204_01338_TODO_02<tab>","TEXT_BANKOB204_01338_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_BANKOB204_01338_TODO_03<tab>","TEXT_BANKOB204_01338_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_BANKOB204_01338_TODO_04<tab>","TEXT_BANKOB204_01338_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_BANKOB204_01338_TODO_05<tab>","TEXT_BANKOB204_01338_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_BANKOB204_01338_TODO_06<tab>","TEXT_BANKOB204_01338_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_BANKOB204_01338_TODO_07<tab>","TEXT_BANKOB204_01338_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_BANKOB204_01338_TODO_08<tab>","TEXT_BANKOB204_01338_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_BANKOB204_01338_TODO_09<tab>","TEXT_BANKOB204_01338_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_BANKOB204_01338_TODO_10<tab>","TEXT_BANKOB204_01338_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_BANKOB204_01338_TODO_11<tab>","TEXT_BANKOB204_01338_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_BANKOB204_01338_TODO_12<tab>","TEXT_BANKOB204_01338_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_BANKOB204_01338_TODO_13<tab>","TEXT_BANKOB204_01338_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_BANKOB204_01338_TODO_14<tab>","TEXT_BANKOB204_01338_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_BANKOB204_01338_TODO_15<tab>","TEXT_BANKOB204_01338_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_BANKOB204_01338_TODO_16<tab>","TEXT_BANKOB204_01338_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_BANKOB204_01338_TODO_17<tab>","TEXT_BANKOB204_01338_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_BANKOB204_01338_TODO_18<tab>","TEXT_BANKOB204_01338_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_BANKOB204_01338_TODO_19<tab>","TEXT_BANKOB204_01338_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_BANKOB204_01338_TODO_20<tab>","TEXT_BANKOB204_01338_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_BANKOB204_01338_TODO_21<tab>","TEXT_BANKOB204_01338_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_BANKOB204_01338_TODO_22<tab>","TEXT_BANKOB204_01338_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_BANKOB204_01338_TODO_23<tab>","TEXT_BANKOB204_01338_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_BANKOB204_01338_BOGU_000_000<tab>That Zo Ga, he is up to his usual tricks again, always innovating is Zo Ga. His dig will begin using two new bomb incubators, yes, yes, new─latest, shiny, new.","TEXT_BANKOB204_01338_BOGU_000_000<tab>That Zo Ga, he is up to his usual tricks again, always innovating is Zo Ga. His dig will begin using two new bomb incubators, yes, yes, new─latest, shiny, new.","","False","0x00000030","",""
"","TEXT_BANKOB204_01338_BOGU_000_001<tab>An incubator is oh-so-convenient, an iron goose laying bomb after bomb, yes, yes. Zo Ga has all the glory, Zo Ga has all the long-thumbed sows, but will Zo Ga have all the bombs? No, no!","TEXT_BANKOB204_01338_BOGU_000_001<tab>An incubator is oh-so-convenient, an iron goose laying bomb after bomb, yes, yes. Zo Ga has all the glory, Zo Ga has all the long-thumbed sows, but will Zo Ga have all the bombs? No, no!","","False","0x00000031","",""
"","TEXT_BANKOB204_01338_BOGU_000_002<tab>The furnaces are at Iron Lake, but not for long! The adventurer will destroy them─wreck, ruin, destroy! Down with Zo Ga, down with progress, yes, yes!","TEXT_BANKOB204_01338_BOGU_000_002<tab>The furnaces are at Iron Lake, but not for long! The adventurer will destroy them─wreck, ruin, destroy! Down with Zo Ga, down with progress, yes, yes!","","False","0x00000032","",""
"","TEXT_BANKOB204_01338_BOGU_000_003<tab>The adventurer will wreck the incubators, to Iron Lake <var 08 E905 ((she)) ((he)) /var> will go to strangle the iron geese, yes, yes!","TEXT_BANKOB204_01338_BOGU_000_003<tab>The adventurer will wreck the incubators, to Iron Lake <var 08 E905 ((she)) ((he)) /var> will go to strangle the iron geese, yes, yes!","","False","0x00000033","",""
