"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CLSMIN600_02084_SEQ_00<tab>Haimirich has a look of gratitude on his face.","TEXT_CLSMIN600_02084_SEQ_00<tab>Vous reconnaissez une expression de gratitude sur le visage d'Haimirich.","","False","0x00000000","",""
"","TEXT_CLSMIN600_02084_SEQ_01<tab>You and Haimirich are joined by a knight of House Fortemps and Hatchling. The former tells you that the Holy See itself has expressed interest in further surveying the Dravanian hinterlands for mineral wealth, and has asked for Oschon's Raiders by name. However, the knight continues, House Fortemps cannot provide any aid. Haimirich accepts these conditions, but Hatchling does not, and tells his captain so in no uncertain terms after the knight leaves. With a weary sigh, Haimirich enjoins you to come to Idyllshire, whence to begin your survey.","TEXT_CLSMIN600_02084_SEQ_01<tab>Le Saint-Siège a décidé de commencer l'ex<var 16 /var>ploi<var 16 /var>ta<var 16 /var>tion minière de l'Arrière-pays dravanien, et les Compagnons d'Oschon ont été choisis pour une nouvelle mission. Allez retrouver Haimirich à Idyllée.","","False","0x00000001","",""
"","TEXT_CLSMIN600_02084_SEQ_02<tab>You arrive in Idyllshire to find only Haimirich and Muscles. It seems the company was attacked while you were traveling, leaving two Raiders badly wounded. Hatchling chased after the monsters, and has not been seen since. As you cannot possibly cover the entire area in time, Haimirich asks that you speak with Midnight Dew to see if any of the inhabitants of Idyllshire saw where Hatchling went.","TEXT_CLSMIN600_02084_SEQ_02<tab>En arrivant à Idyllée, vous avez appris que des Compagnons d'Oschon ont été gravement blessés et que la mission est annulée. Pire, Poussinet a disparu... Manquant d'hommes, Haimirich vous a demandé de l'aider à retrouver le jeune mercenaire. Demandez à Midnight Dew, la chef du hameau, si elle a une idée de l'endroit où il pourrait se trouver.","","False","0x00000002","",""
"","TEXT_CLSMIN600_02084_SEQ_03<tab>Midnight Dew is willing but unable to help, as Hatchling went missing in an area of the Ruling Quarter untraveled by Idyllshire's inhabitants. However, a wandering goblin trader has been known to pass through there. He can be persuaded to help should you deliver to him three chunks of adamantite ore. This, Midnight Dew informs you, can be mined in Azys Lla─though she herself has never heard of it, and doubts it exists at all.","TEXT_CLSMIN600_02084_SEQ_03<tab>Midnight Dew n'a pas su vous dire où chercher Poussinet, mais elle vous a recommandé de vous adresser à un colporteur gobelin qui l'aurait peut-être aperçu. Seulement, il semble être plutôt dur en affaires... Il ne vous dira rien tant que vous ne lui aurez pas offert de l'adamant, un minerai mythique. Allez à Azys Lla pour extraire trois <var 33 ((Item)) 0DF230FA0302 /var> puis offrez-les au Gobelin.","","False","0x00000003","",""
"","TEXT_CLSMIN600_02084_SEQ_04<tab>The goblin trader is overjoyed to have his adamantite ore, and promises to not only tell you and Haimirich where Hatchling has vanished, but guide you there as well. Return to Haimirich with the glad tidings.","TEXT_CLSMIN600_02084_SEQ_04<tab>Le colporteur gobelin était aux anges lorsque vous lui avez fait don du minerai d'adamant. Pour vous remercier, il a accepté de vous emmener là où il a vu Poussinet pour la dernière fois. Allez annoncer la bonne nouvelle à Haimirich.","","False","0x00000004","",""
"","TEXT_CLSMIN600_02084_SEQ_05<tab>Haimirich thanks you for dealing with the goblin trader, and races off to find Hatchling in the Ruling Quarter. Follow him and help find the boy.","TEXT_CLSMIN600_02084_SEQ_05<tab>Haimirich vous a remercié<var 08 E905 ((e)) (()) /var> d'avoir su convaincre le colporteur gobelin. Lui et Muscle sont désormais prêts à partir à la recherche de Poussinet. Allez les rejoindre à l'entrée du quartier des Sages.","","False","0x00000005","",""
"","TEXT_CLSMIN600_02084_SEQ_06<tab>You find Hatchling at the bottom of a cliff. Thankfully, the boy is none the worse for the tumble, save a potentially broken leg. Having rescued him, Haimirich finally explains in full why he has been so tough on Hatchling. His own brother, Gevehard, put Oschon's Raiders in a terrible position through his rashness years before. Unable to save both his company and his brother, Haimirich chose the former, and left his brother to die. The decision has haunted him since, though he believes it was the right one. He is glad that he was able to save Hatchling. As you all turn to leave, the captain gives you a heavy sack of loot to give to Midnight Dew for her help. Return to Idyllshire, and deliver it to her in person.","TEXT_CLSMIN600_02084_SEQ_06<tab>Vous avez retrouvé Poussinet, qui n'était que légèrement blessé. Haimirich, soulagé que le jeune garçon n'ait pas connu le même destin que son petit frère, vous a confié une sacoche remplie de présents en guise de re<var 16 /var>mer<var 16 /var>cie<var 16 /var>ment pour Midnight Dew. Retournez à Idyllée pour la lui apporter.","","False","0x00000006","",""
"","TEXT_CLSMIN600_02084_SEQ_07<tab>Midnight Dew accepts the heavy sack with thanks, and listens as you tell her what has transpired. However, she is shocked to learn Gevehard's name, for it seems he lived after Haimirich left him to die. Indeed, the younger brother was given succor by the goblins, and valiantly served Idyllshire until dying a hero's death. Return now to Ishgard's Forgotten Knight, and tell Haimirich what really happened to his brother.","TEXT_CLSMIN600_02084_SEQ_07<tab>Quand vous lui avez remis la sacoche, Midnight Dew vous a révélé avoir connu Gevehard, le défunt frère d'Haimirich. Celui-ci a beaucoup fait pour le hameau, avant de mourir en héros... Retournez au Chevalier oublié pour apprendre la vérité au chef des Compagnons d'Oschon.","","False","0x00000007","",""
"","TEXT_CLSMIN600_02084_SEQ_08<tab>Haimirich is understandably amazed to learn his brother survived being left in the wilderness. Though the captain must forever live with the terrible decision he made that day, he is glad to learn that Gevehard became a man in his own right. He informs you that Oschon's Raiders will move on from Ishgard before long to spread their name and fame throughout the realm. But they will always remember you, the miner who did so much good for them.

※The next miner quest will be available from Adalberta once you have completed the main scenario quest “The Far Edge of Fate.”","TEXT_CLSMIN600_02084_SEQ_08<tab>Vous avez révélé à Haimirich que Gevehard n'était pas mort après qu'il l'a abandonné mais avait au contraire accompli de bonnes choses avant de mourir en héros. Le capitaine, qui s'est quelque part toujours senti coupable d'avoir abandonné son petit frère, peut maintenant être fier de lui et en paix avec lui-même. Il vous a remercié<var 08 E905 ((e)) (()) /var> de tous les exploits que vous avez accomplis en compagnie des Compagnons d'Oschon et d'être une inspiration pour ses hommes, qui ne vous oublieront jamais.

* Il est nécessaire de terminer la quête de l'épopée “Aux confins du destin” pour commencer une nouvelle quête de mineur auprès d'Adalberta.","","False","0x00000008","",""
"","TEXT_CLSMIN600_02084_SEQ_09<tab>","TEXT_CLSMIN600_02084_SEQ_09<tab>","","False","0x00000009","",""
