"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANDWA122_03923_SEQ_00<tab>Regitt needs a pilot to demonstrate the Rolling Tankard's firepower.<br><br>※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","TEXT_BANDWA122_03923_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Schwierigkeitsanpassung (Job/Klasse darf nicht gewechselt werden)<var 49 01 /var><var 48 01 /var><br><br>Regitt braucht jemanden, der interessierten Händlern die treffsicheren Vorzüge des Zwergenpanzers präsentiert.","","True","0x00000000","",""
"","TEXT_BANDWA122_03923_SEQ_01<tab>","TEXT_BANDWA122_03923_SEQ_01<tab>","","True","0x00000001","",""
"","TEXT_BANDWA122_03923_SEQ_02<tab>","TEXT_BANDWA122_03923_SEQ_02<tab>","","True","0x00000002","",""
"","TEXT_BANDWA122_03923_SEQ_03<tab>","TEXT_BANDWA122_03923_SEQ_03<tab>","","True","0x00000003","",""
"","TEXT_BANDWA122_03923_SEQ_04<tab>","TEXT_BANDWA122_03923_SEQ_04<tab>","","True","0x00000004","",""
"","TEXT_BANDWA122_03923_SEQ_05<tab>","TEXT_BANDWA122_03923_SEQ_05<tab>","","True","0x00000005","",""
"","TEXT_BANDWA122_03923_SEQ_06<tab>","TEXT_BANDWA122_03923_SEQ_06<tab>","","True","0x00000006","",""
"","TEXT_BANDWA122_03923_SEQ_07<tab>","TEXT_BANDWA122_03923_SEQ_07<tab>","","True","0x00000007","",""
"","TEXT_BANDWA122_03923_SEQ_08<tab>","TEXT_BANDWA122_03923_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_BANDWA122_03923_SEQ_09<tab>","TEXT_BANDWA122_03923_SEQ_09<tab>","","True","0x00000009","",""
"","TEXT_BANDWA122_03923_SEQ_10<tab>","TEXT_BANDWA122_03923_SEQ_10<tab>","","True","0x0000000A","",""
"","TEXT_BANDWA122_03923_SEQ_11<tab>","TEXT_BANDWA122_03923_SEQ_11<tab>","","True","0x0000000B","",""
"","TEXT_BANDWA122_03923_SEQ_12<tab>","TEXT_BANDWA122_03923_SEQ_12<tab>","","True","0x0000000C","",""
"","TEXT_BANDWA122_03923_SEQ_13<tab>","TEXT_BANDWA122_03923_SEQ_13<tab>","","True","0x0000000D","",""
"","TEXT_BANDWA122_03923_SEQ_14<tab>","TEXT_BANDWA122_03923_SEQ_14<tab>","","True","0x0000000E","",""
"","TEXT_BANDWA122_03923_SEQ_15<tab>","TEXT_BANDWA122_03923_SEQ_15<tab>","","True","0x0000000F","",""
"","TEXT_BANDWA122_03923_SEQ_16<tab>","TEXT_BANDWA122_03923_SEQ_16<tab>","","True","0x00000010","",""
"","TEXT_BANDWA122_03923_SEQ_17<tab>","TEXT_BANDWA122_03923_SEQ_17<tab>","","True","0x00000011","",""
