"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKZH016_04311_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>The frazzled researcher seeks help in chasing down a missing creature.","TEXT_AKTKZH016_04311_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>特殊ルール： レベルアジャスト<var 49 01 /var><var 48 01 /var><br>ポイエテーン・オイコスの慌てた様子の観察者は、至急捜索の人手を求めているようだ。","","True","0x00000000","",""
"","TEXT_AKTKZH016_04311_SEQ_01<tab>","TEXT_AKTKZH016_04311_SEQ_01<tab>","","True","0x00000001","",""
"","TEXT_AKTKZH016_04311_SEQ_02<tab>","TEXT_AKTKZH016_04311_SEQ_02<tab>","","True","0x00000002","",""
"","TEXT_AKTKZH016_04311_SEQ_03<tab>","TEXT_AKTKZH016_04311_SEQ_03<tab>","","True","0x00000003","",""
"","TEXT_AKTKZH016_04311_SEQ_04<tab>","TEXT_AKTKZH016_04311_SEQ_04<tab>","","True","0x00000004","",""
"","TEXT_AKTKZH016_04311_SEQ_05<tab>","TEXT_AKTKZH016_04311_SEQ_05<tab>","","True","0x00000005","",""
"","TEXT_AKTKZH016_04311_SEQ_06<tab>","TEXT_AKTKZH016_04311_SEQ_06<tab>","","True","0x00000006","",""
"","TEXT_AKTKZH016_04311_SEQ_07<tab>","TEXT_AKTKZH016_04311_SEQ_07<tab>","","True","0x00000007","",""
"","TEXT_AKTKZH016_04311_SEQ_08<tab>","TEXT_AKTKZH016_04311_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_AKTKZH016_04311_SEQ_09<tab>","TEXT_AKTKZH016_04311_SEQ_09<tab>","","True","0x00000009","",""
"","TEXT_AKTKZH016_04311_SEQ_10<tab>","TEXT_AKTKZH016_04311_SEQ_10<tab>","","True","0x0000000A","",""
"","TEXT_AKTKZH016_04311_SEQ_11<tab>","TEXT_AKTKZH016_04311_SEQ_11<tab>","","True","0x0000000B","",""
"","TEXT_AKTKZH016_04311_SEQ_12<tab>","TEXT_AKTKZH016_04311_SEQ_12<tab>","","True","0x0000000C","",""
"","TEXT_AKTKZH016_04311_SEQ_13<tab>","TEXT_AKTKZH016_04311_SEQ_13<tab>","","True","0x0000000D","",""
"","TEXT_AKTKZH016_04311_SEQ_14<tab>","TEXT_AKTKZH016_04311_SEQ_14<tab>","","True","0x0000000E","",""
"","TEXT_AKTKZH016_04311_SEQ_15<tab>","TEXT_AKTKZH016_04311_SEQ_15<tab>","","True","0x0000000F","",""
"","TEXT_AKTKZH016_04311_SEQ_16<tab>","TEXT_AKTKZH016_04311_SEQ_16<tab>","","True","0x00000010","",""
"","TEXT_AKTKZH016_04311_SEQ_17<tab>","TEXT_AKTKZH016_04311_SEQ_17<tab>","","True","0x00000011","",""
