"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_STMBDZ004_02638_SEQ_00<tab>The swarthy Resistance fighter is at wit's end.","TEXT_STMBDZ004_02638_SEQ_00<tab>Смуглый боец Сопротивления сходит с ума.","","False","0x00000000","",""
"","TEXT_STMBDZ004_02638_SEQ_01<tab>","","","False","0x00000001","",""
"","TEXT_STMBDZ004_02638_SEQ_02<tab>","","","False","0x00000002","",""
"","TEXT_STMBDZ004_02638_SEQ_03<tab>","","","False","0x00000003","",""
"","TEXT_STMBDZ004_02638_SEQ_04<tab>","","","False","0x00000004","",""
"","TEXT_STMBDZ004_02638_SEQ_05<tab>","","","False","0x00000005","",""
"","TEXT_STMBDZ004_02638_SEQ_06<tab>","","","False","0x00000006","",""
"","TEXT_STMBDZ004_02638_SEQ_07<tab>","","","False","0x00000007","",""
"","TEXT_STMBDZ004_02638_SEQ_08<tab>","","","False","0x00000008","",""
"","TEXT_STMBDZ004_02638_SEQ_09<tab>","","","False","0x00000009","",""
"","TEXT_STMBDZ004_02638_SEQ_10<tab>","","","False","0x0000000A","",""
"","TEXT_STMBDZ004_02638_SEQ_11<tab>","","","False","0x0000000B","",""
"","TEXT_STMBDZ004_02638_SEQ_12<tab>","","","False","0x0000000C","",""
"","TEXT_STMBDZ004_02638_SEQ_13<tab>","","","False","0x0000000D","",""
"","TEXT_STMBDZ004_02638_SEQ_14<tab>","","","False","0x0000000E","",""
"","TEXT_STMBDZ004_02638_SEQ_15<tab>","","","False","0x0000000F","",""
"","TEXT_STMBDZ004_02638_SEQ_16<tab>","","","False","0x00000010","",""
"","TEXT_STMBDZ004_02638_SEQ_17<tab>","","","False","0x00000011","",""
"","TEXT_STMBDZ004_02638_SEQ_18<tab>","","","False","0x00000012","",""
"","TEXT_STMBDZ004_02638_SEQ_19<tab>","","","False","0x00000013","",""
"","TEXT_STMBDZ004_02638_SEQ_20<tab>","","","False","0x00000014","",""
"","TEXT_STMBDZ004_02638_SEQ_21<tab>","","","False","0x00000015","",""
"","TEXT_STMBDZ004_02638_SEQ_22<tab>","","","False","0x00000016","",""
"","TEXT_STMBDZ004_02638_SEQ_23<tab>","","","False","0x00000017","",""
"","TEXT_STMBDZ004_02638_TODO_00<tab>Search for the swarthy Resistance fighter's ward.","TEXT_STMBDZ004_02638_TODO_00<tab>Поищите оберег смуглого бойца Сопротивления.","","False","0x00000018","",""
"","TEXT_STMBDZ004_02638_TODO_01<tab>Deliver the ward to the swarthy Resistance fighter.","TEXT_STMBDZ004_02638_TODO_01<tab>Отнесите оберег смуглому бойцу Сопротивления.","","False","0x00000019","",""
"","TEXT_STMBDZ004_02638_TODO_02<tab>","","","False","0x0000001A","",""
"","TEXT_STMBDZ004_02638_TODO_03<tab>","","","False","0x0000001B","",""
"","TEXT_STMBDZ004_02638_TODO_04<tab>","","","False","0x0000001C","",""
"","TEXT_STMBDZ004_02638_TODO_05<tab>","","","False","0x0000001D","",""
"","TEXT_STMBDZ004_02638_TODO_06<tab>","","","False","0x0000001E","",""
"","TEXT_STMBDZ004_02638_TODO_07<tab>","","","False","0x0000001F","",""
"","TEXT_STMBDZ004_02638_TODO_08<tab>","","","False","0x00000020","",""
"","TEXT_STMBDZ004_02638_TODO_09<tab>","","","False","0x00000021","",""
"","TEXT_STMBDZ004_02638_TODO_10<tab>","","","False","0x00000022","",""
"","TEXT_STMBDZ004_02638_TODO_11<tab>","","","False","0x00000023","",""
"","TEXT_STMBDZ004_02638_TODO_12<tab>","","","False","0x00000024","",""
"","TEXT_STMBDZ004_02638_TODO_13<tab>","","","False","0x00000025","",""
"","TEXT_STMBDZ004_02638_TODO_14<tab>","","","False","0x00000026","",""
"","TEXT_STMBDZ004_02638_TODO_15<tab>","","","False","0x00000027","",""
"","TEXT_STMBDZ004_02638_TODO_16<tab>","","","False","0x00000028","",""
"","TEXT_STMBDZ004_02638_TODO_17<tab>","","","False","0x00000029","",""
"","TEXT_STMBDZ004_02638_TODO_18<tab>","","","False","0x0000002A","",""
"","TEXT_STMBDZ004_02638_TODO_19<tab>","","","False","0x0000002B","",""
"","TEXT_STMBDZ004_02638_TODO_20<tab>","","","False","0x0000002C","",""
"","TEXT_STMBDZ004_02638_TODO_21<tab>","","","False","0x0000002D","",""
"","TEXT_STMBDZ004_02638_TODO_22<tab>","","","False","0x0000002E","",""
"","TEXT_STMBDZ004_02638_TODO_23<tab>","","","False","0x0000002F","",""
"","TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_000<tab>Damn it all! Where could it have got to!?","","","False","0x00000030","",""
"","TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_001<tab>Oh! Um, pardon me, fellow lover of freedom and justice. You haven't seen a ward of the Destroyer anywhere, have you? Maybe on the ground, as if a certain bloody fool had dropped it?","","","False","0x00000031","",""
"","TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_002<tab>Aye, I'd been him. I had it this morning, that much I know for certain, and I've not left the Reach since, so it's got to be around here somewhere.","","","False","0x00000032","",""
"","TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_003<tab>Hmm... If you've got a moment to spare, would you be willing to help me search? I spent some time near the Temple of the Fist earlier, so it might be there. As for me, I'll look around near the officer's pavilion.","","","False","0x00000033","",""
"","TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_004<tab>They're hardly rare, I know, and I could just as easily buy another, but even so... Please, help me find it...","","","False","0x00000034","",""
"","TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_005<tab>If it's not here, then it's got to be somewhere near the Temple of the Fist. At least, I think it's got to be one of these two locations...","","","False","0x00000035","",""
"","TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_010<tab>I swear, I've searched high and low, but it just won't turn up...","","","False","0x00000036","",""
"","TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_011<tab>Seven hells, that's the one! That's my lucky ward! You're a godssend, <var 08 E905 ((sister)) ((brother)) /var>!","","","False","0x00000037","",""
"","TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_012<tab>Before I was born, my mother made a pilgrimage to the Temple of the Fist, where she, like many others, received the blessings of the monks.","","","False","0x00000038","",""
"","TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_013<tab>And then Theodoric came and burned it all to the ground, the mad bastard. And after him came the Garleans, who cared even less for our beliefs.","","","False","0x00000039","",""
"","TEXT_STMBDZ004_02638_BURLYPRIVATE02638_000_014<tab>But I still keep to the old ways, as do many others. And when my son is born, I'll teach him the stories and the scripture, as my mother taught me...","","","False","0x0000003A","",""
"","TEXT_STMBDZ004_02638_ALPHINAUD_000_020<tab>Assisting one of your fellow freedom fighters? I will leave you to it, then.","","","False","0x0000003B","",""
