"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKZC015_03398_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>At the sight of you, the exuberant pixie's eyes light up with recognition.","TEXT_LUCKZC015_03398_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>Règle spéciale<var 1D /var>:  synchronisation de quête<var 49 01 /var><var 48 01 /var><br>Cette Pixie tapageuse semble plongée dans ses pensées.","","False","0x00000000","",""
"","TEXT_LUCKZC015_03398_SEQ_01<tab>","TEXT_LUCKZC015_03398_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_LUCKZC015_03398_SEQ_02<tab>","TEXT_LUCKZC015_03398_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_LUCKZC015_03398_SEQ_03<tab>","TEXT_LUCKZC015_03398_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_LUCKZC015_03398_SEQ_04<tab>","TEXT_LUCKZC015_03398_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_LUCKZC015_03398_SEQ_05<tab>","TEXT_LUCKZC015_03398_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_LUCKZC015_03398_SEQ_06<tab>","TEXT_LUCKZC015_03398_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_LUCKZC015_03398_SEQ_07<tab>","TEXT_LUCKZC015_03398_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_LUCKZC015_03398_SEQ_08<tab>","TEXT_LUCKZC015_03398_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_LUCKZC015_03398_SEQ_09<tab>","TEXT_LUCKZC015_03398_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_LUCKZC015_03398_SEQ_10<tab>","TEXT_LUCKZC015_03398_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_LUCKZC015_03398_SEQ_11<tab>","TEXT_LUCKZC015_03398_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_LUCKZC015_03398_SEQ_12<tab>","TEXT_LUCKZC015_03398_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_LUCKZC015_03398_SEQ_13<tab>","TEXT_LUCKZC015_03398_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_LUCKZC015_03398_SEQ_14<tab>","TEXT_LUCKZC015_03398_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_LUCKZC015_03398_SEQ_15<tab>","TEXT_LUCKZC015_03398_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_LUCKZC015_03398_SEQ_16<tab>","TEXT_LUCKZC015_03398_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_LUCKZC015_03398_SEQ_17<tab>","TEXT_LUCKZC015_03398_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_LUCKZC015_03398_SEQ_18<tab>","TEXT_LUCKZC015_03398_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_LUCKZC015_03398_SEQ_19<tab>","TEXT_LUCKZC015_03398_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_LUCKZC015_03398_SEQ_20<tab>","TEXT_LUCKZC015_03398_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_LUCKZC015_03398_SEQ_21<tab>","TEXT_LUCKZC015_03398_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_LUCKZC015_03398_SEQ_22<tab>","TEXT_LUCKZC015_03398_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_LUCKZC015_03398_SEQ_23<tab>","TEXT_LUCKZC015_03398_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_LUCKZC015_03398_TODO_00<tab>Gather whirlweeds in the lake.","TEXT_LUCKZC015_03398_TODO_00<tab>Plonger pour cueillir des <var 33 ((EventItem)) 0DF61E8ECC0302 /var>, près de l'Abbaye de l'Aurore","","False","0x00000018","",""
"","TEXT_LUCKZC015_03398_TODO_01<tab>Deliver the whirlweeds to the exuberant pixie.","TEXT_LUCKZC015_03398_TODO_01<tab>Remettre les <var 33 ((EventItem)) 0DF61E8ECC0302 /var> à la Pixie tapageuse, à la villégiature du Lettré","","False","0x00000019","",""
"","TEXT_LUCKZC015_03398_TODO_02<tab>Decorate the stairs with snugblooms.","TEXT_LUCKZC015_03398_TODO_02<tab>Déposer les <var 33 ((EventItem)) 0DF61E8ECD0302 /var> aux endroits indiqués","","False","0x0000001A","",""
"","TEXT_LUCKZC015_03398_TODO_03<tab>Report to the exuberant pixie.","TEXT_LUCKZC015_03398_TODO_03<tab>Parler à la Pixie tapageuse","","False","0x0000001B","",""
"","TEXT_LUCKZC015_03398_TODO_04<tab>","TEXT_LUCKZC015_03398_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_LUCKZC015_03398_TODO_05<tab>","TEXT_LUCKZC015_03398_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_LUCKZC015_03398_TODO_06<tab>","TEXT_LUCKZC015_03398_TODO_06<tab>","","False","0x0000001E","",""
