"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_STMBDZ013_02647_SEQ_00<tab>Gelen's house is somewhat breezier than usual.","TEXT_STMBDZ013_02647_SEQ_00<tab>Gelen s'inquiète pour sa maison.","","False","0x00000000","",""
"","TEXT_STMBDZ013_02647_SEQ_01<tab>","TEXT_STMBDZ013_02647_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_STMBDZ013_02647_SEQ_02<tab>","TEXT_STMBDZ013_02647_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_STMBDZ013_02647_SEQ_03<tab>","TEXT_STMBDZ013_02647_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_STMBDZ013_02647_SEQ_04<tab>","TEXT_STMBDZ013_02647_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_STMBDZ013_02647_SEQ_05<tab>","TEXT_STMBDZ013_02647_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_STMBDZ013_02647_SEQ_06<tab>","TEXT_STMBDZ013_02647_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_STMBDZ013_02647_SEQ_07<tab>","TEXT_STMBDZ013_02647_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_STMBDZ013_02647_SEQ_08<tab>","TEXT_STMBDZ013_02647_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_STMBDZ013_02647_SEQ_09<tab>","TEXT_STMBDZ013_02647_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_STMBDZ013_02647_SEQ_10<tab>","TEXT_STMBDZ013_02647_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_STMBDZ013_02647_SEQ_11<tab>","TEXT_STMBDZ013_02647_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_STMBDZ013_02647_SEQ_12<tab>","TEXT_STMBDZ013_02647_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_STMBDZ013_02647_SEQ_13<tab>","TEXT_STMBDZ013_02647_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_STMBDZ013_02647_SEQ_14<tab>","TEXT_STMBDZ013_02647_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_STMBDZ013_02647_SEQ_15<tab>","TEXT_STMBDZ013_02647_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_STMBDZ013_02647_SEQ_16<tab>","TEXT_STMBDZ013_02647_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_STMBDZ013_02647_SEQ_17<tab>","TEXT_STMBDZ013_02647_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_STMBDZ013_02647_SEQ_18<tab>","TEXT_STMBDZ013_02647_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_STMBDZ013_02647_SEQ_19<tab>","TEXT_STMBDZ013_02647_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_STMBDZ013_02647_SEQ_20<tab>","TEXT_STMBDZ013_02647_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_STMBDZ013_02647_SEQ_21<tab>","TEXT_STMBDZ013_02647_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_STMBDZ013_02647_SEQ_22<tab>","TEXT_STMBDZ013_02647_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_STMBDZ013_02647_SEQ_23<tab>","TEXT_STMBDZ013_02647_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_STMBDZ013_02647_TODO_00<tab>Slay earth sprites and obtain their cores.","TEXT_STMBDZ013_02647_TODO_00<tab>Chasser <var 33 ((BNpcName)) 02720302 /var> pour obtenir leurs noyaux","","False","0x00000018","",""
"","TEXT_STMBDZ013_02647_TODO_01<tab>Deliver the earth sprite cores to Gelen.","TEXT_STMBDZ013_02647_TODO_01<tab>Apporter les noyaux à Gelen","","False","0x00000019","",""
"","TEXT_STMBDZ013_02647_TODO_02<tab>","TEXT_STMBDZ013_02647_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_STMBDZ013_02647_TODO_03<tab>","TEXT_STMBDZ013_02647_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_STMBDZ013_02647_TODO_04<tab>","TEXT_STMBDZ013_02647_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_STMBDZ013_02647_TODO_05<tab>","TEXT_STMBDZ013_02647_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_STMBDZ013_02647_TODO_06<tab>","TEXT_STMBDZ013_02647_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_STMBDZ013_02647_TODO_07<tab>","TEXT_STMBDZ013_02647_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_STMBDZ013_02647_TODO_08<tab>","TEXT_STMBDZ013_02647_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_STMBDZ013_02647_TODO_09<tab>","TEXT_STMBDZ013_02647_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_STMBDZ013_02647_TODO_10<tab>","TEXT_STMBDZ013_02647_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_STMBDZ013_02647_TODO_11<tab>","TEXT_STMBDZ013_02647_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_STMBDZ013_02647_TODO_12<tab>","TEXT_STMBDZ013_02647_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_STMBDZ013_02647_TODO_13<tab>","TEXT_STMBDZ013_02647_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_STMBDZ013_02647_TODO_14<tab>","TEXT_STMBDZ013_02647_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_STMBDZ013_02647_TODO_15<tab>","TEXT_STMBDZ013_02647_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_STMBDZ013_02647_TODO_16<tab>","TEXT_STMBDZ013_02647_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_STMBDZ013_02647_TODO_17<tab>","TEXT_STMBDZ013_02647_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_STMBDZ013_02647_TODO_18<tab>","TEXT_STMBDZ013_02647_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_STMBDZ013_02647_TODO_19<tab>","TEXT_STMBDZ013_02647_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_STMBDZ013_02647_TODO_20<tab>","TEXT_STMBDZ013_02647_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_STMBDZ013_02647_TODO_21<tab>","TEXT_STMBDZ013_02647_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_STMBDZ013_02647_TODO_22<tab>","TEXT_STMBDZ013_02647_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_STMBDZ013_02647_TODO_23<tab>","TEXT_STMBDZ013_02647_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_STMBDZ013_02647_GELEN_000_000<tab>Would you mind givin' me a hand? I've not got long left. It's the least you could do.","TEXT_STMBDZ013_02647_GELEN_000_000<tab>Dites donc, jeune <var 08 E905 ((fille)) ((homme)) /var><var 1D /var>! Ne voudriez-vous pas donner un petit coup de main à une vieille dame fatiguée<var 1D /var>?","","False","0x00000030","",""
"","TEXT_STMBDZ013_02647_GELEN_000_001<tab>I've been livin' in this house ever since I got married. It was never in what I would call good nick, but it is mine. However, recently a huge crack appeared in the wall.","TEXT_STMBDZ013_02647_GELEN_000_001<tab>J'ai vécu dans cette maison toute ma vie depuis mon mariage. Ça n'a jamais été un palais, mais j'y suis attachée. Or, récemment, une énorme fissure est apparue dans le mur du salon<var 1D /var>!","","False","0x00000031","",""
"","TEXT_STMBDZ013_02647_GELEN_000_002<tab>I'd repair it myself, but I don't have the necessary materials. Do an old woman a favor and slay three earth sprites. You'll find some by the Ziggurat. Bring back their cores and we'll see if this house can't be fixed.","TEXT_STMBDZ013_02647_GELEN_000_002<tab>Je la réparerais bien moi-même, mais je n'ai pas les matériaux nécessaires. Pourriez-vous me faire une faveur et aller près de la Ziggourat chasser quelques <var 33 ((BNpcName)) 0D720302 /var> pour leurs noyaux<var 1D /var>?","","False","0x00000032","",""
"","TEXT_STMBDZ013_02647_GELEN_000_10<tab>Do an old woman a favor and slay three earth sprites. Bring back their cores and we'll see if this house can't be fixed.","TEXT_STMBDZ013_02647_GELEN_000_10<tab>Pourriez-vous aller près de la Ziggourat chasser quelques <var 33 ((BNpcName)) 0D720302 /var> pour leurs noyaux<var 1D /var>? Avec ça, je devrais pouvoir réparer le mur de mon salon.","","False","0x00000033","",""
"","TEXT_STMBDZ013_02647_GELEN_000_020<tab>You best not have come back without those cores.","TEXT_STMBDZ013_02647_GELEN_000_020<tab>Alors, montrez-moi donc <var 33 ((EventItem)) 07F61E8CA70302 /var>.","","False","0x00000034","",""
"","TEXT_STMBDZ013_02647_GELEN_000_021<tab>Lovely! I'll get to work breakin' these up right away. Then I just need mix them into a paste that I can apply to the crack.","TEXT_STMBDZ013_02647_GELEN_000_021<tab>Comme c'est charmant<var 1D /var>! Il ne me reste plus qu'à les réduire en poudre et mélanger le tout à du mortier que j'étalerai sur la fissure.","","False","0x00000035","",""
"","TEXT_STMBDZ013_02647_GELEN_000_022<tab>That should stop it from reappearin' for a few years yet. With any luck, I won't even be around to see it crack again!","TEXT_STMBDZ013_02647_GELEN_000_022<tab>Avec ça, je serai sûrement tranquille pour quelques années. Qui sait, avec de la chance, je ne serai plus de ce monde quand le mur se lézardera à nouveau<var 1D /var>!","","False","0x00000036","",""
"","TEXT_STMBDZ013_02647_GELEN_000_023<tab>Apparently the very ground we stand on used to be part of the quarry. Then, one day someone decided to start using it as a rest area. Eventually a house was built here─one thing led to another─and, before anyone knew it, a whole settlement had popped up.","TEXT_STMBDZ013_02647_GELEN_000_023<tab>La terrasse sur laquelle nous nous trouvons faisait partie de la carrière, autrefois. Un jour, quelqu'un a décidé d'y passer la nuit, puis d'y bâtir un abri. Et de fil en aiguille, de nombreuses personnes s'y sont installées.","","False","0x00000037","",""
"","TEXT_STMBDZ013_02647_GELEN_000_024<tab>Anyway, that's enough stories for one day. Thank you, <var 08 E905 ((lass)) ((lad)) /var>.","TEXT_STMBDZ013_02647_GELEN_000_024<tab>Saviez-vous que mon père et mon grand-père ont vécu dans cette maison, avant moi<var 1D /var>? C'est la raison pour laquelle j'y suis autant attachée, et j'espère que quelqu'un en prendra soin, après moi. Encore merci, jeune <var 08 E905 ((fille)) ((homme)) /var>.","","False","0x00000038","",""
