"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_STMBDB107_02968_SEQ_00<tab>Nanamo seems lost in thoughts of the past.","TEXT_STMBDB107_02968_SEQ_00<tab>Sultana Nanamo schwelgt in Erinnerungen.","","False","0x00000000","",""
"","TEXT_STMBDB107_02968_SEQ_01<tab>","TEXT_STMBDB107_02968_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_STMBDB107_02968_SEQ_02<tab>","TEXT_STMBDB107_02968_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_STMBDB107_02968_SEQ_03<tab>","TEXT_STMBDB107_02968_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_STMBDB107_02968_SEQ_04<tab>","TEXT_STMBDB107_02968_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_STMBDB107_02968_SEQ_05<tab>","TEXT_STMBDB107_02968_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_STMBDB107_02968_SEQ_06<tab>","TEXT_STMBDB107_02968_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_STMBDB107_02968_SEQ_07<tab>","TEXT_STMBDB107_02968_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_STMBDB107_02968_SEQ_08<tab>","TEXT_STMBDB107_02968_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_STMBDB107_02968_SEQ_09<tab>","TEXT_STMBDB107_02968_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_STMBDB107_02968_SEQ_10<tab>","TEXT_STMBDB107_02968_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_STMBDB107_02968_SEQ_11<tab>","TEXT_STMBDB107_02968_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_STMBDB107_02968_SEQ_12<tab>","TEXT_STMBDB107_02968_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_STMBDB107_02968_SEQ_13<tab>","TEXT_STMBDB107_02968_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_STMBDB107_02968_SEQ_14<tab>","TEXT_STMBDB107_02968_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_STMBDB107_02968_SEQ_15<tab>","TEXT_STMBDB107_02968_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_STMBDB107_02968_SEQ_16<tab>","TEXT_STMBDB107_02968_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_STMBDB107_02968_SEQ_17<tab>","TEXT_STMBDB107_02968_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_STMBDB107_02968_SEQ_18<tab>","TEXT_STMBDB107_02968_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_STMBDB107_02968_SEQ_19<tab>","TEXT_STMBDB107_02968_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_STMBDB107_02968_SEQ_20<tab>","TEXT_STMBDB107_02968_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_STMBDB107_02968_SEQ_21<tab>","TEXT_STMBDB107_02968_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_STMBDB107_02968_SEQ_22<tab>","TEXT_STMBDB107_02968_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_STMBDB107_02968_SEQ_23<tab>","TEXT_STMBDB107_02968_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_STMBDB107_02968_TODO_00<tab>Speak with Nanamo at Arrzaneth Ossuary.","TEXT_STMBDB107_02968_TODO_00<tab>Nanamo Ul Namo im Arr<var 16 /var>za<var 16 /var>neth-Os<var 16 /var>sari<var 16 /var>um treffen","","False","0x00000018","",""
"","TEXT_STMBDB107_02968_TODO_01<tab>Speak with Nanamo at the airship landing.","TEXT_STMBDB107_02968_TODO_01<tab>Nanamo Ul Namo am Luftschiff-Landeplatz treffen","","False","0x00000019","",""
"","TEXT_STMBDB107_02968_TODO_02<tab>Speak with Nanamo at the Gold Saucer.","TEXT_STMBDB107_02968_TODO_02<tab>Mit Nanamo Ul Namo im Gold Saucer sprechen","","False","0x0000001A","",""
"","TEXT_STMBDB107_02968_TODO_03<tab>Speak with Nanamo.","TEXT_STMBDB107_02968_TODO_03<tab>Mit Nanamo Ul Namo sprechen","","False","0x0000001B","",""
"","TEXT_STMBDB107_02968_TODO_04<tab>","TEXT_STMBDB107_02968_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_STMBDB107_02968_TODO_05<tab>","TEXT_STMBDB107_02968_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_STMBDB107_02968_TODO_06<tab>","TEXT_STMBDB107_02968_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_STMBDB107_02968_TODO_07<tab>","TEXT_STMBDB107_02968_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_STMBDB107_02968_TODO_08<tab>","TEXT_STMBDB107_02968_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_STMBDB107_02968_TODO_09<tab>","TEXT_STMBDB107_02968_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_STMBDB107_02968_TODO_10<tab>","TEXT_STMBDB107_02968_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_STMBDB107_02968_TODO_11<tab>","TEXT_STMBDB107_02968_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_STMBDB107_02968_TODO_12<tab>","TEXT_STMBDB107_02968_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_STMBDB107_02968_TODO_13<tab>","TEXT_STMBDB107_02968_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_STMBDB107_02968_TODO_14<tab>","TEXT_STMBDB107_02968_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_STMBDB107_02968_TODO_15<tab>","TEXT_STMBDB107_02968_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_STMBDB107_02968_TODO_16<tab>","TEXT_STMBDB107_02968_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_STMBDB107_02968_TODO_17<tab>","TEXT_STMBDB107_02968_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_STMBDB107_02968_TODO_18<tab>","TEXT_STMBDB107_02968_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_STMBDB107_02968_TODO_19<tab>","TEXT_STMBDB107_02968_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_STMBDB107_02968_TODO_20<tab>","TEXT_STMBDB107_02968_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_STMBDB107_02968_TODO_21<tab>","TEXT_STMBDB107_02968_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_STMBDB107_02968_TODO_22<tab>","TEXT_STMBDB107_02968_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_STMBDB107_02968_TODO_23<tab>","TEXT_STMBDB107_02968_TODO_23<tab>","","False","0x0000002F","",""
