"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKZG005_04280_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>The earnest observer casts his gaze hither and yon, as if searching for something.","TEXT_AKTKZG005_04280_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>The earnest observer casts his gaze hither and yon, as if searching for something.","","True","0x00000000","",""
"","TEXT_AKTKZG005_04280_SEQ_01<tab>","TEXT_AKTKZG005_04280_SEQ_01<tab>","","True","0x00000001","",""
"","TEXT_AKTKZG005_04280_SEQ_02<tab>","TEXT_AKTKZG005_04280_SEQ_02<tab>","","True","0x00000002","",""
"","TEXT_AKTKZG005_04280_SEQ_03<tab>","TEXT_AKTKZG005_04280_SEQ_03<tab>","","True","0x00000003","",""
"","TEXT_AKTKZG005_04280_SEQ_04<tab>","TEXT_AKTKZG005_04280_SEQ_04<tab>","","True","0x00000004","",""
"","TEXT_AKTKZG005_04280_SEQ_05<tab>","TEXT_AKTKZG005_04280_SEQ_05<tab>","","True","0x00000005","",""
"","TEXT_AKTKZG005_04280_SEQ_06<tab>","TEXT_AKTKZG005_04280_SEQ_06<tab>","","True","0x00000006","",""
"","TEXT_AKTKZG005_04280_SEQ_07<tab>","TEXT_AKTKZG005_04280_SEQ_07<tab>","","True","0x00000007","",""
"","TEXT_AKTKZG005_04280_SEQ_08<tab>","TEXT_AKTKZG005_04280_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_AKTKZG005_04280_SEQ_09<tab>","TEXT_AKTKZG005_04280_SEQ_09<tab>","","True","0x00000009","",""
"","TEXT_AKTKZG005_04280_SEQ_10<tab>","TEXT_AKTKZG005_04280_SEQ_10<tab>","","True","0x0000000A","",""
"","TEXT_AKTKZG005_04280_SEQ_11<tab>","TEXT_AKTKZG005_04280_SEQ_11<tab>","","True","0x0000000B","",""
"","TEXT_AKTKZG005_04280_SEQ_12<tab>","TEXT_AKTKZG005_04280_SEQ_12<tab>","","True","0x0000000C","",""
"","TEXT_AKTKZG005_04280_SEQ_13<tab>","TEXT_AKTKZG005_04280_SEQ_13<tab>","","True","0x0000000D","",""
"","TEXT_AKTKZG005_04280_SEQ_14<tab>","TEXT_AKTKZG005_04280_SEQ_14<tab>","","True","0x0000000E","",""
"","TEXT_AKTKZG005_04280_SEQ_15<tab>","TEXT_AKTKZG005_04280_SEQ_15<tab>","","True","0x0000000F","",""
