"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANKJN405_02989_SEQ_00<tab>Rampaging analas threaten the lives of shellfish gatherers at Hells' Lid.<br><br>※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","TEXT_BANKJN405_02989_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Schwierigkeitsanpassung (Job/Klasse darf nicht gewechselt werden)<var 49 01 /var><var 48 01 /var><br><br>Wütende Analas bedrohen die Krebssammler am Höllenspund.","","False","0x00000000","",""
"","TEXT_BANKJN405_02989_SEQ_01<tab>","TEXT_BANKJN405_02989_SEQ_01<tab>","","False","0x00000001","",""
"","TEXT_BANKJN405_02989_SEQ_02<tab>","TEXT_BANKJN405_02989_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_BANKJN405_02989_SEQ_03<tab>","TEXT_BANKJN405_02989_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_BANKJN405_02989_SEQ_04<tab>","TEXT_BANKJN405_02989_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_BANKJN405_02989_SEQ_05<tab>","TEXT_BANKJN405_02989_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANKJN405_02989_SEQ_06<tab>","TEXT_BANKJN405_02989_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANKJN405_02989_SEQ_07<tab>","TEXT_BANKJN405_02989_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANKJN405_02989_SEQ_08<tab>","TEXT_BANKJN405_02989_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANKJN405_02989_SEQ_09<tab>","TEXT_BANKJN405_02989_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_BANKJN405_02989_SEQ_10<tab>","TEXT_BANKJN405_02989_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANKJN405_02989_SEQ_11<tab>","TEXT_BANKJN405_02989_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_BANKJN405_02989_SEQ_12<tab>","TEXT_BANKJN405_02989_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_BANKJN405_02989_SEQ_13<tab>","TEXT_BANKJN405_02989_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_BANKJN405_02989_SEQ_14<tab>","TEXT_BANKJN405_02989_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_BANKJN405_02989_SEQ_15<tab>","TEXT_BANKJN405_02989_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_BANKJN405_02989_SEQ_16<tab>","TEXT_BANKJN405_02989_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_BANKJN405_02989_SEQ_17<tab>","TEXT_BANKJN405_02989_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_BANKJN405_02989_SEQ_18<tab>","TEXT_BANKJN405_02989_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_BANKJN405_02989_SEQ_19<tab>","TEXT_BANKJN405_02989_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_BANKJN405_02989_SEQ_20<tab>","TEXT_BANKJN405_02989_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_BANKJN405_02989_SEQ_21<tab>","TEXT_BANKJN405_02989_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_BANKJN405_02989_SEQ_22<tab>","TEXT_BANKJN405_02989_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_BANKJN405_02989_SEQ_23<tab>","TEXT_BANKJN405_02989_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_BANKJN405_02989_TODO_00<tab>Slay the kaen analas and goen anala.","TEXT_BANKJN405_02989_TODO_00<tab>Am Höllenspund umsehen und alle Analas erlegen","","False","0x00000018","",""
"","TEXT_BANKJN405_02989_TODO_01<tab>Report to Zukin.","TEXT_BANKJN405_02989_TODO_01<tab>Zukin Bericht erstatten","","False","0x00000019","",""
"","TEXT_BANKJN405_02989_TODO_02<tab>","TEXT_BANKJN405_02989_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_BANKJN405_02989_TODO_03<tab>","TEXT_BANKJN405_02989_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_BANKJN405_02989_TODO_04<tab>","TEXT_BANKJN405_02989_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_BANKJN405_02989_TODO_05<tab>","TEXT_BANKJN405_02989_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_BANKJN405_02989_TODO_06<tab>","TEXT_BANKJN405_02989_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_BANKJN405_02989_TODO_07<tab>","TEXT_BANKJN405_02989_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_BANKJN405_02989_TODO_08<tab>","TEXT_BANKJN405_02989_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_BANKJN405_02989_TODO_09<tab>","TEXT_BANKJN405_02989_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_BANKJN405_02989_TODO_10<tab>","TEXT_BANKJN405_02989_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_BANKJN405_02989_TODO_11<tab>","TEXT_BANKJN405_02989_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_BANKJN405_02989_TODO_12<tab>","TEXT_BANKJN405_02989_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_BANKJN405_02989_TODO_13<tab>","TEXT_BANKJN405_02989_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_BANKJN405_02989_TODO_14<tab>","TEXT_BANKJN405_02989_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_BANKJN405_02989_TODO_15<tab>","TEXT_BANKJN405_02989_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_BANKJN405_02989_TODO_16<tab>","TEXT_BANKJN405_02989_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_BANKJN405_02989_TODO_17<tab>","TEXT_BANKJN405_02989_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_BANKJN405_02989_TODO_18<tab>","TEXT_BANKJN405_02989_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_BANKJN405_02989_TODO_19<tab>","TEXT_BANKJN405_02989_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_BANKJN405_02989_TODO_20<tab>","TEXT_BANKJN405_02989_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_BANKJN405_02989_TODO_21<tab>","TEXT_BANKJN405_02989_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_BANKJN405_02989_TODO_22<tab>","TEXT_BANKJN405_02989_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_BANKJN405_02989_TODO_23<tab>","TEXT_BANKJN405_02989_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_BANKJN405_02989_ZUKIN_000_000<tab>Hells' Lid is as unwelcoming a place as you are ever likely to find. Were it not for its abundance of shellfish, we would avoid it entirely.","TEXT_BANKJN405_02989_ZUKIN_000_000<tab>Der Höllenspund ist einer der unwirtlichsten Orte, die man sich nur vorstellen kann. Würde es dort nicht Unmengen an Krebsen geben, würden wir die Gegend wohl einfach<var 1D /var>...... meiden.","","False","0x00000030","",""
"","TEXT_BANKJN405_02989_ZUKIN_000_001<tab>Most of the creatures there will only turn to attack if we draw too close. However, the analas go to great lengths to hunt us down. Their ferocity is known throughout the Ruby Sea.","TEXT_BANKJN405_02989_ZUKIN_000_001<tab>Die meisten Kreaturen dort greifen nur an, wenn man ihnen zu sehr auf die<var 1D /var>...... Pelle rückt. Die Analas jedoch scheuen keine Mühen, uns zu jagen. Ihre Wildheit ist in der ganzen Rubinsee berüchtigt.","","False","0x00000031","",""
"","TEXT_BANKJN405_02989_ZUKIN_000_002<tab>It is to you we must turn. Venture into their territory, slay any that confront you. A show of force should send the rest slinking back to their dens.","TEXT_BANKJN405_02989_ZUKIN_000_002<tab>Daher benötigen wir deine Hilfe. Halte am Höllenspund Ausschau und erschlage alle Analas, die du erspähen<var 1D /var>...... kannst. Das sollte sie dazu bringen, sich wieder in ihren Höhlen zu verkriechen.","","False","0x00000032","",""
"","TEXT_BANKJN405_02989_ZUKIN_000_019<tab>You are looking rather singed around the edges! Did the analas prove troublesome?","TEXT_BANKJN405_02989_ZUKIN_000_019<tab>Du siehst ein wenig angesengt aus! Haben die Analas dir Probleme<var 1D /var>...... bereitet?","","False","0x00000033","",""
