"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","<tab>","","","False","0x00000000","",""
"","<tab>","","","False","0x00000001","",""
"","<tab>","","","False","0x00000002","",""
"","<tab>","","","False","0x00000003","",""
"","<tab>","","","False","0x00000004","",""
"","<tab>","","","False","0x00000005","",""
"","<tab>","","","False","0x00000006","",""
"","<tab>","","","False","0x00000007","",""
"","<tab>","","","False","0x00000008","",""
"","<tab>","","","False","0x00000009","",""
"","<tab>","","","False","0x0000000A","",""
"","<tab>","","","False","0x0000000B","",""
"","<tab>","","","False","0x0000000C","",""
"","<tab>","","","False","0x0000000D","",""
"","<tab>","","","False","0x0000000E","",""
"","<tab>","","","False","0x0000000F","",""
"","<tab>","","","False","0x00000010","",""
"","<tab>","","","False","0x00000011","",""
"","<tab>","","","False","0x00000012","",""
"","<tab>","","","False","0x00000013","",""
"","<tab>","","","False","0x00000014","",""
"","<tab>","","","False","0x00000015","",""
"","<tab>","","","False","0x00000016","",""
"","<tab>","","","False","0x00000017","",""
"","<tab>","","","False","0x00000018","",""
"","<tab>","","","False","0x00000019","",""
"","<tab>","","","False","0x0000001A","",""
"","<tab>","","","False","0x0000001B","",""
"","<tab>","","","False","0x0000001C","",""
"","<tab>","","","False","0x0000001D","",""
"","<tab>","","","False","0x0000001E","",""
"","<tab>","","","False","0x0000001F","",""
"","<tab>","","","False","0x00000020","",""
"","<tab>","","","False","0x00000021","",""
"","<tab>","","","False","0x00000022","",""
"","<tab>","","","False","0x00000023","",""
"","<tab>","","","False","0x00000024","",""
"","<tab>","","","False","0x00000025","",""
"","<tab>","","","False","0x00000026","",""
"","<tab>","","","False","0x00000027","",""
"","<tab>","","","False","0x00000028","",""
"","<tab>","","","False","0x00000029","",""
"","<tab>","","","False","0x0000002A","",""
"","<tab>","","","False","0x0000002B","",""
"","<tab>","","","False","0x0000002C","",""
"","<tab>","","","False","0x0000002D","",""
"","<tab>","","","False","0x0000002E","",""
"","<tab>","","","False","0x0000002F","",""
"","<tab>","","","False","0x00000030","",""
"","<tab>","","","False","0x00000031","",""
"","<tab>","","","False","0x00000032","",""
"","<tab>","","","False","0x00000033","",""
"","<tab>","","","False","0x00000034","",""
"","<tab>","","","False","0x00000035","",""
"","<tab>","","","False","0x00000036","",""
"","<tab>","","","False","0x00000037","",""
"","<tab>","","","False","0x00000038","",""
"","<tab>","","","False","0x00000039","",""
"","<tab>","","","False","0x0000003A","",""
"","<tab>","","","False","0x0000003B","",""
"","<tab>","","","False","0x0000003C","",""
"","<tab>","","","False","0x0000003D","",""
"","<tab>","","","False","0x0000003E","",""
"","<tab>","","","False","0x0000003F","",""
"","<tab>","","","False","0x00000040","",""
"","<tab>","","","False","0x00000041","",""
"","<tab>","","","False","0x00000042","",""
"","<tab>","","","False","0x00000043","",""
"","<tab>","","","False","0x00000044","",""
"","<tab>","","","False","0x00000045","",""
"","<tab>","","","False","0x00000046","",""
"","<tab>","","","False","0x00000047","",""
"","<tab>","","","False","0x00000048","",""
"","<tab>","","","False","0x00000049","",""
"","<tab>","","","False","0x0000004A","",""
"","<tab>","","","False","0x0000004B","",""
"","<tab>","","","False","0x0000004C","",""
"","<tab>","","","False","0x0000004D","",""
"","<tab>","","","False","0x0000004E","",""
"","<tab>","","","False","0x0000004F","",""
"","<tab>","","","False","0x00000050","",""
"","<tab>","","","False","0x00000051","",""
"","<tab>","","","False","0x00000052","",""
"","<tab>","","","False","0x00000053","",""
"","<tab>","","","False","0x00000054","",""
"","<tab>","","","False","0x00000055","",""
"","<tab>","","","False","0x00000056","",""
"","<tab>","","","False","0x00000057","",""
