"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CHREND203_02209_SEQ_00<tab>Briardien is eager to continue his investigation.","TEXT_CHREND203_02209_SEQ_00<tab>Briardien is eager to continue his investigation.","","False","0x00000000","",""
"","TEXT_CHREND203_02209_SEQ_01<tab>Briardien declares that he will continue investigating your newest leads into the whereabouts of the missing Ulaa. In the meantime, he requests that you speak with some of the seminarians once more─namely his sister, Blaisie and the group she has been assisting with their own search. Though he is loath to admit it, the inspector seems to think that the youths may have noticed something you have overlooked thus far. But before you can learn what Blaisie knows, you will have to find her...","TEXT_CHREND203_02209_SEQ_01<tab>Briardien declares that he will continue investigating your newest leads into the whereabouts of the missing Ulaa. In the meantime, he requests that you speak with some of the seminarians once more─namely his sister, Blaisie and the group she has been assisting with their own search. Though he is loath to admit it, the inspector seems to think that the youths may have noticed something you have overlooked thus far. But before you can learn what Blaisie knows, you will have to find her...","","False","0x00000001","",""
"","TEXT_CHREND203_02209_SEQ_02<tab>No one at the scholasticate seems to know exactly where Blaisie can be found, but a number of seminarians suggest that if you find Theomocent, she will not be far behind. As the young man is said to be somewhere in the vicinity of the Arc of the Venerable, that would seem to be the ideal location to begin your search.","TEXT_CHREND203_02209_SEQ_02<tab>No one at the scholasticate seems to know exactly where Blaisie can be found, but a number of seminarians suggest that if you find Theomocent, she will not be far behind. As the young man is said to be somewhere in the vicinity of the Arc of the Venerable, that would seem to be the ideal location to begin your search.","","False","0x00000002","",""
"","TEXT_CHREND203_02209_SEQ_03<tab>You find Blaisie hiding behind a fountain, watching as Theomocent and his friends make their inquiries. Startled by your sudden appearance, she struggles to explain her behavior, but regains her composure upon realizing who you are. After introducing herself as Briardien's younger sister, she correctly deduces the purpose for which you have come and produces a scroll of considerable length containing countless testimonies she recently transcribed in an effort to ascertain the whereabouts of Ulaa.<br><br>Just as Blaisie is about to turn the scroll over to you, however, Theomocent, Leigh, and Crammevoix suddenly appear, and you find yourselves reviewing the many accounts together. Yet you are unable to read even half of Blaisie's accounts before Leigh grows frustrated at their apparent lack of relevant information. Whether or not they contain aught of value remains to be seen, but that is for Briardien to decide, as the seminarians are more than happy to let the inspector sift through the endless accounts in their stead.","TEXT_CHREND203_02209_SEQ_03<tab>You find Blaisie hiding behind a fountain, watching as Theomocent and his friends make their inquiries. Startled by your sudden appearance, she struggles to explain her behavior, but regains her composure upon realizing who you are. After introducing herself as Briardien's younger sister, she correctly deduces the purpose for which you have come and produces a scroll of considerable length containing countless testimonies she recently transcribed in an effort to ascertain the whereabouts of Ulaa.<br><br>Just as Blaisie is about to turn the scroll over to you, however, Theomocent, Leigh, and Crammevoix suddenly appear, and you find yourselves reviewing the many accounts together. Yet you are unable to read even half of Blaisie's accounts before Leigh grows frustrated at their apparent lack of relevant information. Whether or not they contain aught of value remains to be seen, but that is for Briardien to decide, as the seminarians are more than happy to let the inspector sift through the endless accounts in their stead.","","False","0x00000003","",""
"","TEXT_CHREND203_02209_SEQ_04<tab>Briardien's efforts have borne fruit, it would seem, as he reveals to you that the gentleman seeking cough medicine and the tavern patron who paid his debts are likely one and the same. Once a notorious thug, now ostensibly reformed, he is rumored to have come into money and now makes a living as a traveling merchant. Needless to say, the inspector has every intention of tracking this suspect down, but he requires more information─which you are more than happy to provide in the form of Blaisie's notes. Together, you review the testimonies and eventually conclude that Mestonnaux, a merchant, has been engaged in suspicious activities. Your next course of action is thus decided: you and Briardien are to spy upon Mestonnaux, and see if he leads you to your suspect.","TEXT_CHREND203_02209_SEQ_04<tab>Briardien's efforts have borne fruit, it would seem, as he reveals to you that the gentleman seeking cough medicine and the tavern patron who paid his debts are likely one and the same. Once a notorious thug, now ostensibly reformed, he is rumored to have come into money and now makes a living as a traveling merchant. Needless to say, the inspector has every intention of tracking this suspect down, but he requires more information─which you are more than happy to provide in the form of Blaisie's notes. Together, you review the testimonies and eventually conclude that Mestonnaux, a merchant, has been engaged in suspicious activities. Your next course of action is thus decided: you and Briardien are to spy upon Mestonnaux, and see if he leads you to your suspect.","","False","0x00000004","",""
"","TEXT_CHREND203_02209_SEQ_05<tab>","TEXT_CHREND203_02209_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_CHREND203_02209_SEQ_06<tab>","TEXT_CHREND203_02209_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_CHREND203_02209_SEQ_07<tab>","TEXT_CHREND203_02209_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_CHREND203_02209_SEQ_08<tab>","TEXT_CHREND203_02209_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_CHREND203_02209_SEQ_09<tab>","TEXT_CHREND203_02209_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_CHREND203_02209_SEQ_10<tab>","TEXT_CHREND203_02209_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_CHREND203_02209_SEQ_11<tab>","TEXT_CHREND203_02209_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_CHREND203_02209_SEQ_12<tab>","TEXT_CHREND203_02209_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_CHREND203_02209_SEQ_13<tab>","TEXT_CHREND203_02209_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_CHREND203_02209_SEQ_14<tab>","TEXT_CHREND203_02209_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_CHREND203_02209_SEQ_15<tab>","TEXT_CHREND203_02209_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_CHREND203_02209_SEQ_16<tab>","TEXT_CHREND203_02209_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_CHREND203_02209_SEQ_17<tab>","TEXT_CHREND203_02209_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_CHREND203_02209_SEQ_18<tab>","TEXT_CHREND203_02209_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_CHREND203_02209_SEQ_19<tab>","TEXT_CHREND203_02209_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_CHREND203_02209_SEQ_20<tab>","TEXT_CHREND203_02209_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_CHREND203_02209_SEQ_21<tab>","TEXT_CHREND203_02209_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_CHREND203_02209_SEQ_22<tab>","TEXT_CHREND203_02209_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_CHREND203_02209_SEQ_23<tab>","TEXT_CHREND203_02209_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_CHREND203_02209_TODO_00<tab>Speak with the seminarians in the scholasticate.","TEXT_CHREND203_02209_TODO_00<tab>Speak with the seminarians in the scholasticate.","","False","0x00000018","",""
"","TEXT_CHREND203_02209_TODO_01<tab>Speak with Blaisie in the Pillars.","TEXT_CHREND203_02209_TODO_01<tab>Speak with Blaisie in the Pillars.","","False","0x00000019","",""
"","TEXT_CHREND203_02209_TODO_02<tab>Deliver Blaisie's notes to Briardien at Saint Reymanaud's Cathedral.","TEXT_CHREND203_02209_TODO_02<tab>Deliver Blaisie's notes to Briardien at Saint Reymanaud's Cathedral.","","False","0x0000001A","",""
"","TEXT_CHREND203_02209_TODO_03<tab>","TEXT_CHREND203_02209_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_CHREND203_02209_TODO_04<tab>","TEXT_CHREND203_02209_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_CHREND203_02209_TODO_05<tab>","TEXT_CHREND203_02209_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_CHREND203_02209_TODO_06<tab>","TEXT_CHREND203_02209_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_CHREND203_02209_TODO_07<tab>","TEXT_CHREND203_02209_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_CHREND203_02209_TODO_08<tab>","TEXT_CHREND203_02209_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_CHREND203_02209_TODO_09<tab>","TEXT_CHREND203_02209_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_CHREND203_02209_TODO_10<tab>","TEXT_CHREND203_02209_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_CHREND203_02209_TODO_11<tab>","TEXT_CHREND203_02209_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_CHREND203_02209_TODO_12<tab>","TEXT_CHREND203_02209_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_CHREND203_02209_TODO_13<tab>","TEXT_CHREND203_02209_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_CHREND203_02209_TODO_14<tab>","TEXT_CHREND203_02209_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_CHREND203_02209_TODO_15<tab>","TEXT_CHREND203_02209_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_CHREND203_02209_TODO_16<tab>","TEXT_CHREND203_02209_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_CHREND203_02209_TODO_17<tab>","TEXT_CHREND203_02209_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_CHREND203_02209_TODO_18<tab>","TEXT_CHREND203_02209_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_CHREND203_02209_TODO_19<tab>","TEXT_CHREND203_02209_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_CHREND203_02209_TODO_20<tab>","TEXT_CHREND203_02209_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_CHREND203_02209_TODO_21<tab>","TEXT_CHREND203_02209_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_CHREND203_02209_TODO_22<tab>","TEXT_CHREND203_02209_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_CHREND203_02209_TODO_23<tab>","TEXT_CHREND203_02209_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_CHREND203_02209_BRIARDIEN_000_000<tab>Seeing how reluctant some of the citizens were to answer your questions, I believe it best for me to take over investigations in the Brume.","TEXT_CHREND203_02209_BRIARDIEN_000_000<tab>Seeing how reluctant some of the citizens were to answer your questions, I believe it best for me to take over investigations in the Brume.","","False","0x00000030","",""
"","TEXT_CHREND203_02209_BRIARDIEN_000_001<tab>As for you... Ah, yes. I am given to understand that Blaisie and her friends have been conducting their own investigation.","TEXT_CHREND203_02209_BRIARDIEN_000_001<tab>As for you... Ah, yes. I am given to understand that Blaisie and her friends have been conducting their own investigation.","","False","0x00000031","",""
"","TEXT_CHREND203_02209_BRIARDIEN_000_002<tab>Though I am loath to admit it, given the fact that they are seminarians, I should not be surprised if they have noticed something we overlooked...","TEXT_CHREND203_02209_BRIARDIEN_000_002<tab>Though I am loath to admit it, given the fact that they are seminarians, I should not be surprised if they have noticed something we overlooked...","","False","0x00000032","",""
"","TEXT_CHREND203_02209_BRIARDIEN_000_003<tab>You may as well go and see what Blaisie has learned. If you cannot find her at the scholasticate, I imagine someone can point you in the right direction.","TEXT_CHREND203_02209_BRIARDIEN_000_003<tab>You may as well go and see what Blaisie has learned. If you cannot find her at the scholasticate, I imagine someone can point you in the right direction.","","False","0x00000033","",""
"","TEXT_CHREND203_02209_BRIARDIEN_000_009<tab>Time is of the essence, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>, for we still cannot discount the possibility that the girl is in danger.","TEXT_CHREND203_02209_BRIARDIEN_000_009<tab>Time is of the essence, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>, for we still cannot discount the possibility that the girl is in danger.","","False","0x00000034","",""
"","TEXT_CHREND203_02209_ARCHOMBADIN_000_009<tab>Of course I don't know where she is. While I may be in charge of the dormitory, it is not my responsibility to hold the seminarians' hands or wipe their arses.","TEXT_CHREND203_02209_ARCHOMBADIN_000_009<tab>Of course I don't know where she is. While I may be in charge of the dormitory, it is not my responsibility to hold the seminarians' hands or wipe their arses.","","False","0x00000035","",""
"","TEXT_CHREND203_02209_LEBRASSOIR_000_009<tab>As you should well know, in light of recent events, Archombadin has not the luxury to concern himself with such trivialities.","TEXT_CHREND203_02209_LEBRASSOIR_000_009<tab>As you should well know, in light of recent events, Archombadin has not the luxury to concern himself with such trivialities.","","False","0x00000036","",""
"","TEXT_CHREND203_02209_ARCHOMBADIN_000_019<tab>If you're here to ask after another seminarian, allow me to spare you the trouble─I don't know where anyone is or what they might be doing. Good day.","TEXT_CHREND203_02209_ARCHOMBADIN_000_019<tab>If you're here to ask after another seminarian, allow me to spare you the trouble─I don't know where anyone is or what they might be doing. Good day.","","False","0x00000037","",""
"","TEXT_CHREND203_02209_LEBRASSOIR_000_019<tab>(Have you or the inspector managed to deduce anything from the book yet? Pray apprise me of your progress when you are able.)","TEXT_CHREND203_02209_LEBRASSOIR_000_019<tab>(Have you or the inspector managed to deduce anything from the book yet? Pray apprise me of your progress when you are able.)","","False","0x00000038","",""
