"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_HEAVNE105_02345_SEQ_00<tab>Shifting nervously from foot to foot, Ga Bu struggles to meet your gaze...","TEXT_HEAVNE105_02345_SEQ_00<tab>Ga Bu kann vor Anspannung kaum stillhalten.","","False","0x00000000","",""
"","TEXT_HEAVNE105_02345_SEQ_01<tab>Great minds think alike, and both Alphinaud and Ga Bu conclude that stealing the kobolds' crystals may offer the best hope of preventing Titan's summoning. The child proudly declares that he knows where the crystals are stored, and charges off towards U'Ghamaro, eager to guide you and the twins to the first cache.","TEXT_HEAVNE105_02345_SEQ_01<tab>Ga Bu kennt die Orte, an denen die Kobolde ihre Kristalle lagern, und will euch dorthin führen. Folge ihm zum ersten Lagerort in Eisensee im äußeren La Noscea und sprich dort mit ihm.","","False","0x00000001","",""
"","TEXT_HEAVNE105_02345_SEQ_02<tab>Alphinaud and Alisaie make short work of the kobold sentries, leaving you to secure the crystals while they stand guard. Though the beastmen appear to be unaware of your presence for now, there is no telling when a patrol may stumble upon you and sound the alarum.","TEXT_HEAVNE105_02345_SEQ_02<tab>Nun nimm die Kristalle aus der Kiste an dich.","","False","0x00000002","",""
"","TEXT_HEAVNE105_02345_SEQ_03<tab>You pack up the crystals and signal your readiness to move on. Ga Bu duly shouts for you to follow him deeper into U'Ghamaro, and you and the twins give chase, albeit rather more cautiously.","TEXT_HEAVNE105_02345_SEQ_03<tab>In Eisensee ist noch ein weiteres Lager. Nimm auch die Kristalle der zweiten Kiste mit.","","False","0x00000003","",""
"","TEXT_HEAVNE105_02345_SEQ_04<tab>After shoveling the contents of the second cache into your pack, you and Alisaie turn to Ga Bu and prepare to press on. Alphinaud, however, lingers for a moment, crouching over the now empty crate with a puzzled expression on his face. Rising at length, he states that the container once bore Ishgardian seals, which someone took great pains to remove. Reasoning that the kobolds would not journey to Aldenard to obtain crystals, much less bother with such precautions, he deduces that the crate must have been smuggled out of Ishgard and transported across the sea─likely at the behest of the Ascians. Alas, there is no time to dwell on the implications of this discovery as the third cache of crystals awaits.","TEXT_HEAVNE105_02345_SEQ_04<tab>Alphinaud entdeckt an der Kristallkiste Spuren des Ishgarder Wappens, das jemand offensichtlich hastig abgeschliffen hat. Höchstwahrscheinlich sind die Kristalle den weiten Weg von Ishgard bis hierher transportiert worden. Jedenfalls bleibt laut Ga Bu noch ein letzter Lagerort, an dem die weitaus meisten Kristalle aufbewahrt werden. Allerdings kannst du auf den ersten Blick nichts Kristallartiges sehen. Sieh dich am Zielort nochmals genau um.","","False","0x00000004","",""
"","TEXT_HEAVNE105_02345_SEQ_05<tab>Ga Bu leads you to what he believes to be the location of the third cache, only to find that there is nothing there. A thorough survey of the area serves to confirm your suspicions: the crystals have been moved. Alphinaud can only assume that they are now deep within O'Ghomoro, at the site of the summoning ritual. That being the case, you have no recourse but to breach the Navel once more and seize the remaining crystals by force. Before you launch your attack, however, Alphinaud insists that you hand over the crystals in your pack, reasoning that it would be reckless to take them with you into the enemy's midst.","TEXT_HEAVNE105_02345_SEQ_05<tab>So sehr ihr späht, ihr seht keine Kristalle. Alisaie vermutet, dass sie schon an den Ort des Rituals gebracht worden sind. Gib Alphinaud <var 32 ((EventItem)) 03F61E8C5C030502 /var> und lauf mit Alisaie schon voraus zu Titans Krater.","","False","0x00000005","",""
"","TEXT_HEAVNE105_02345_SEQ_06<tab>With the crystals in his possession, Alphinaud departs for Camp Overlook, promising to return after warning the Maelstrom forces to prepare for the worst. Together with Alisaie and Ga Bu, you continue onward into the U'Ghamaro Mines, towards the beastman aetheryte which will deliver you into the heart of the mountain.","TEXT_HEAVNE105_02345_SEQ_06<tab>Dring durch die U'Ghamaro-Minen bis zu dem Einstiegspunkt zu Titans Heiligtum vor und sprich dich noch einmal mit Alisaie ab.","","False","0x00000006","",""
"","TEXT_HEAVNE105_02345_SEQ_07<tab>Having been rejoined by Alphinaud, you all teleport into the Navel and order the kobold patriarch and his minions to surrender. Ga Bu duly demands to see his parents, but realizes to his horror that you have arrived too late, and that they and the other prisoners have already been executed. Even as Alphinaud makes a final attempt to reason with the patriarch, the kobold child cries out over and over again for his parents to wake up, his wailing filling the chamber, growing louder, more intense─and then, as if in answer, the gathered crystals begin to glow. Moments later, the aether begins to coalesce, dragging the rocks towards a single point, until the Lord of Crags stands before you in all his terrible fury. With a mixture of joy and confusion, the kobolds look on their Great Father, who fixes them with his burning gaze...before casting them from the platform in a fit of rage. You and Alisaie move to defend the distraught Ga Bu while Alphinaud conjures a Carbuncle to distract the raging primal, and as Titan claws at his face, the four of you make your escape.","TEXT_HEAVNE105_02345_SEQ_07<tab>Alphinaud stößt zu euch und ihr teleportiert euch über den Ätheryten der Kobolde direkt in Titans Heiligtum. Doch ihr kommt zu spät. Die Vor<var 16 /var>bereitungen sind in vollem Gange und Ga Bus Eltern bereits tot. Alphinauds Diplomatie stößt bei dem Kobold-Priester auf taube Ohren. Doch als Ga Bu die Tragödie langsam begreift, resoniert sein grenzenloser Schmerz mit den Kristallen und lässt eine verzerrte Form von Titan erscheinen, der blindwütig um sich schlägt. Ihr räumt vorerst das Feld. Sprich in den U'Ghamaro-Minen mit Alphinaud.","","False","0x00000007","",""
"","TEXT_HEAVNE105_02345_SEQ_08<tab>As Alisaie tends to Ga Bu, who remains unconscious following his ordeal, you and Alphinaud discuss how best to proceed. While summoned with far fewer crystals than intended, the Titan born of the child's anguish is nevertheless a threat which cannot be ignored, for he will only grow stronger as he draws aether from the land. And so it falls to you to return to the Navel, and there put the rampaging avatar of grief out of its misery.<br><br>※The Navel (Hard) can be accessed via the Duty Finder.","TEXT_HEAVNE105_02345_SEQ_08<tab>Alphinaud glaubt, dass diese Fehlbeschwörung einer schwachen Titan-Erscheinung nicht lange Bestand haben wird, doch um sicherzugehen, dass der Primae keinen Schaden anrichtet, sollst du ihn vernichten.<br>※ „Götterdämmerung - Titan“ kann über die Inhaltssuche betreten werden.","","False","0x00000008","",""
"","TEXT_HEAVNE105_02345_SEQ_09<tab>As the primal's form gradually fades from existence, his final despairing pleas echo in your ears. Though justifiably relieved, the shadow of the tragedy which granted him life yet looms large in your thoughts, and you know not how to feel. Nevertheless, Titan is no more, and you are free to return to Camp Overlook and the others.","TEXT_HEAVNE105_02345_SEQ_09<tab>Du hast Titan besiegt. Sprich in Camp Ausblick mit Alphinaud.","","False","0x00000009","",""
