"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_HEAVNZ009_01734_SEQ_00<tab>Sigan is reminiscing about the past.","TEXT_HEAVNZ009_01734_SEQ_00<tab>ファルコンネスト付近のシガンは、昔のことを思い出しているようだ。","","False","0x00000000","",""
"","TEXT_HEAVNZ009_01734_SEQ_01<tab>Sigan tells you that he collects antiques from the now-buried village at Falcon's Nest from the Sixth Astral Era. He explains that the villagers' belongings are all buried deep beneath the snowdrifts. He asks you to keep a keen eye out for any relics buried in the snow.","TEXT_HEAVNZ009_01734_SEQ_01<tab>シガンと話した。危険な魔物の妨害を退けて、ファルコンネスト付近にある「<var 28 ((EObj)) F61E9C1901 /var>」を探索し、「<var 28 ((EventItem)) F61E8B4801 /var>」を回収しよう。","","False","0x00000001","",""
"","TEXT_HEAVNZ009_01734_SEQ_02<tab>You have found several artifacts from the Sixth Astral Era. Return them to Sigan.","TEXT_HEAVNZ009_01734_SEQ_02<tab><var 28 ((EventItem)) F61E8B4801 /var>を回収した。ファルコンネスト付近の「シガン」に「<var 28 ((EventItem)) F61E8B4801 /var>」を渡そう。","","False","0x00000002","",""
"","TEXT_HEAVNZ009_01734_SEQ_03<tab>Sigan graciously accepts your finds. The Holy See's restoration of Falcon's Nest has completely changed the area. The old village he once called home has been left beneath the snow, while the fortress grows taller and more imposing than ever before.","TEXT_HEAVNZ009_01734_SEQ_03<tab>シガンに<var 28 ((EventItem)) F61E8B4801 /var>を渡した。ファルコンネストは再興により、様変わりしてしまったようだ。シガンは、故郷を失った同胞のためにも、山村の思い出を取り返したい、と語るのだった。","","False","0x00000003","",""
"","TEXT_HEAVNZ009_01734_SEQ_04<tab>","TEXT_HEAVNZ009_01734_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_HEAVNZ009_01734_SEQ_05<tab>","TEXT_HEAVNZ009_01734_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_HEAVNZ009_01734_SEQ_06<tab>","TEXT_HEAVNZ009_01734_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_HEAVNZ009_01734_SEQ_07<tab>","TEXT_HEAVNZ009_01734_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_HEAVNZ009_01734_SEQ_08<tab>","TEXT_HEAVNZ009_01734_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_HEAVNZ009_01734_SEQ_09<tab>","TEXT_HEAVNZ009_01734_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_HEAVNZ009_01734_SEQ_10<tab>","TEXT_HEAVNZ009_01734_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_HEAVNZ009_01734_SEQ_11<tab>","TEXT_HEAVNZ009_01734_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_HEAVNZ009_01734_SEQ_12<tab>","TEXT_HEAVNZ009_01734_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_HEAVNZ009_01734_SEQ_13<tab>","TEXT_HEAVNZ009_01734_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_HEAVNZ009_01734_SEQ_14<tab>","TEXT_HEAVNZ009_01734_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_HEAVNZ009_01734_SEQ_15<tab>","TEXT_HEAVNZ009_01734_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_HEAVNZ009_01734_SEQ_16<tab>","TEXT_HEAVNZ009_01734_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_HEAVNZ009_01734_SEQ_17<tab>","TEXT_HEAVNZ009_01734_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_HEAVNZ009_01734_SEQ_18<tab>","TEXT_HEAVNZ009_01734_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_HEAVNZ009_01734_SEQ_19<tab>","TEXT_HEAVNZ009_01734_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_HEAVNZ009_01734_SEQ_20<tab>","TEXT_HEAVNZ009_01734_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_HEAVNZ009_01734_SEQ_21<tab>","TEXT_HEAVNZ009_01734_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_HEAVNZ009_01734_SEQ_22<tab>","TEXT_HEAVNZ009_01734_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_HEAVNZ009_01734_SEQ_23<tab>","TEXT_HEAVNZ009_01734_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_HEAVNZ009_01734_TODO_00<tab>Recover artifacts.","TEXT_HEAVNZ009_01734_TODO_00<tab>妨害を退け、<var 28 ((EObj)) F61E9C1901 /var>から<var 28 ((EventItem)) F61E8B4801 /var>を回収","","False","0x00000018","",""
"","TEXT_HEAVNZ009_01734_TODO_01<tab>Deliver the artifacts to Sigan.","TEXT_HEAVNZ009_01734_TODO_01<tab>シガンに<var 28 ((EventItem)) F61E8B4801 /var>を渡す","","False","0x00000019","",""
"","TEXT_HEAVNZ009_01734_TODO_02<tab>","TEXT_HEAVNZ009_01734_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_HEAVNZ009_01734_TODO_03<tab>","TEXT_HEAVNZ009_01734_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_HEAVNZ009_01734_TODO_04<tab>","TEXT_HEAVNZ009_01734_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_HEAVNZ009_01734_TODO_05<tab>","TEXT_HEAVNZ009_01734_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_HEAVNZ009_01734_TODO_06<tab>","TEXT_HEAVNZ009_01734_TODO_06<tab>","","False","0x0000001E","",""
