"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_JOBBLM501_01678_SEQ_00<tab>Lalai would entrust you with powerful spells left by Master Ququruka.","TEXT_JOBBLM501_01678_SEQ_00<tab>Lalai would entrust you with powerful spells left by Master Ququruka.","","False","0x00000000","",""
"","TEXT_JOBBLM501_01678_SEQ_01<tab>Lalai has stumbled upon an enciphered parchment among Ququruka's effects which reveals the whereabouts of tomes of magic thought to have been long lost─the Books of Nald'thal. As the <var 08 E905 ((woman)) ((man)) /var> who has inherited Ququruka's legacy, Lalai believes that these tomes and the secrets they hold rightly belong to you. She bids you meet her at Nald's Reflection in southern Thanalan, there to search for the Book of Nald.","TEXT_JOBBLM501_01678_SEQ_01<tab>Lalai has stumbled upon an enciphered parchment among Ququruka's effects which reveals the whereabouts of tomes of magic thought to have been long lost─the Books of Nald'thal. As the <var 08 E905 ((woman)) ((man)) /var> who has inherited Ququruka's legacy, Lalai believes that these tomes and the secrets they hold rightly belong to you. She bids you meet her at Nald's Reflection in southern Thanalan, there to search for the Book of Nald.","","False","0x00000001","",""
"","TEXT_JOBBLM501_01678_SEQ_02<tab>You have successfully retrieved the Book of Nald. Proceed now to Thal's Respite in eastern Thanalan and look for its twin, the Book of Thal.","TEXT_JOBBLM501_01678_SEQ_02<tab>You have successfully retrieved the Book of Nald. Proceed now to Thal's Respite in eastern Thanalan and look for its twin, the Book of Thal.","","False","0x00000002","",""
"","TEXT_JOBBLM501_01678_SEQ_03<tab>You arrive at Thal's Respite only to find that the Book of Thal is no longer there. Lalai is determined to recover the tome before the secrets it holds can be used to cause great harm. Return to Milvaneth Sacrarium and speak with Lalai to deliberate on a course of action.","TEXT_JOBBLM501_01678_SEQ_03<tab>You arrive at Thal's Respite only to find that the Book of Thal is no longer there. Lalai is determined to recover the tome before the secrets it holds can be used to cause great harm. Return to Milvaneth Sacrarium and speak with Lalai to deliberate on a course of action.","","False","0x00000003","",""
"","TEXT_JOBBLM501_01678_SEQ_04<tab>Evidence at the crime scene indicates that the Book of Thal was removed from its hiding spot but recently. As the tome is protected by an enchantment as its twin is, Lalai believes that there is still time to avert disaster. She expresses her intent to make discreet inquiries as to the location of the missing tome, and asks your permission to hold on to the Book of Nald for a thorough examination.

※The next black mage quest will be available from Lalai upon reaching level 52.","TEXT_JOBBLM501_01678_SEQ_04<tab>Evidence at the crime scene indicates that the Book of Thal was removed from its hiding spot but recently. As the tome is protected by an enchantment as its twin is, Lalai believes that there is still time to avert disaster. She expresses her intent to make discreet inquiries as to the location of the missing tome, and asks your permission to hold on to the Book of Nald for a thorough examination.

※The next black mage quest will be available from Lalai upon reaching level 52.","","False","0x00000004","",""
"","TEXT_JOBBLM501_01678_SEQ_05<tab>","TEXT_JOBBLM501_01678_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_JOBBLM501_01678_SEQ_06<tab>","TEXT_JOBBLM501_01678_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_JOBBLM501_01678_SEQ_07<tab>","TEXT_JOBBLM501_01678_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_JOBBLM501_01678_SEQ_08<tab>","TEXT_JOBBLM501_01678_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_JOBBLM501_01678_SEQ_09<tab>","TEXT_JOBBLM501_01678_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_JOBBLM501_01678_SEQ_10<tab>","TEXT_JOBBLM501_01678_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_JOBBLM501_01678_SEQ_11<tab>","TEXT_JOBBLM501_01678_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_JOBBLM501_01678_SEQ_12<tab>","TEXT_JOBBLM501_01678_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_JOBBLM501_01678_SEQ_13<tab>","TEXT_JOBBLM501_01678_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_JOBBLM501_01678_SEQ_14<tab>","TEXT_JOBBLM501_01678_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_JOBBLM501_01678_SEQ_15<tab>","TEXT_JOBBLM501_01678_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_JOBBLM501_01678_SEQ_16<tab>","TEXT_JOBBLM501_01678_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_JOBBLM501_01678_SEQ_17<tab>","TEXT_JOBBLM501_01678_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_JOBBLM501_01678_SEQ_18<tab>","TEXT_JOBBLM501_01678_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_JOBBLM501_01678_SEQ_19<tab>","TEXT_JOBBLM501_01678_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_JOBBLM501_01678_SEQ_20<tab>","TEXT_JOBBLM501_01678_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_JOBBLM501_01678_SEQ_21<tab>","TEXT_JOBBLM501_01678_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_JOBBLM501_01678_SEQ_22<tab>","TEXT_JOBBLM501_01678_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_JOBBLM501_01678_SEQ_23<tab>","TEXT_JOBBLM501_01678_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_JOBBLM501_01678_TODO_00<tab>Speak with Lalai at Nald's Reflection.","TEXT_JOBBLM501_01678_TODO_00<tab>Speak with Lalai at Nald's Reflection.","","False","0x00000018","",""
"","TEXT_JOBBLM501_01678_TODO_01<tab>Speak with Lalai at Thal's Respite.","TEXT_JOBBLM501_01678_TODO_01<tab>Speak with Lalai at Thal's Respite.","","False","0x00000019","",""
"","TEXT_JOBBLM501_01678_TODO_02<tab>Speak with Lalai at Milvaneth Sacrarium.","TEXT_JOBBLM501_01678_TODO_02<tab>Speak with Lalai at Milvaneth Sacrarium.","","False","0x0000001A","",""
"","TEXT_JOBBLM501_01678_TODO_03<tab>","TEXT_JOBBLM501_01678_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_JOBBLM501_01678_TODO_04<tab>","TEXT_JOBBLM501_01678_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_JOBBLM501_01678_TODO_05<tab>","TEXT_JOBBLM501_01678_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_JOBBLM501_01678_TODO_06<tab>","TEXT_JOBBLM501_01678_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_JOBBLM501_01678_TODO_07<tab>","TEXT_JOBBLM501_01678_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_JOBBLM501_01678_TODO_08<tab>","TEXT_JOBBLM501_01678_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_JOBBLM501_01678_TODO_09<tab>","TEXT_JOBBLM501_01678_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_JOBBLM501_01678_TODO_10<tab>","TEXT_JOBBLM501_01678_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_JOBBLM501_01678_TODO_11<tab>","TEXT_JOBBLM501_01678_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_JOBBLM501_01678_TODO_12<tab>","TEXT_JOBBLM501_01678_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_JOBBLM501_01678_TODO_13<tab>","TEXT_JOBBLM501_01678_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_JOBBLM501_01678_TODO_14<tab>","TEXT_JOBBLM501_01678_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_JOBBLM501_01678_TODO_15<tab>","TEXT_JOBBLM501_01678_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_JOBBLM501_01678_TODO_16<tab>","TEXT_JOBBLM501_01678_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_JOBBLM501_01678_TODO_17<tab>","TEXT_JOBBLM501_01678_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_JOBBLM501_01678_TODO_18<tab>","TEXT_JOBBLM501_01678_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_JOBBLM501_01678_TODO_19<tab>","TEXT_JOBBLM501_01678_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_JOBBLM501_01678_TODO_20<tab>","TEXT_JOBBLM501_01678_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_JOBBLM501_01678_TODO_21<tab>","TEXT_JOBBLM501_01678_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_JOBBLM501_01678_TODO_22<tab>","TEXT_JOBBLM501_01678_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_JOBBLM501_01678_TODO_23<tab>","TEXT_JOBBLM501_01678_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_JOBBLM501_01678_LALAI_000_000<tab>Ah, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>. You come at a good time. I have made a remarkable discovery, which I would share with you.","TEXT_JOBBLM501_01678_LALAI_000_000<tab>Ah, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>. You come at a good time. I have made a remarkable discovery, which I would share with you.","","False","0x00000030","",""
"","TEXT_JOBBLM501_01678_LALAI_000_001<tab>After Master Ququruka passed away, I went to his cell in the Marasaja Pit─the cell in which he spent a hundred years locked away.","TEXT_JOBBLM501_01678_LALAI_000_001<tab>After Master Ququruka passed away, I went to his cell in the Marasaja Pit─the cell in which he spent a hundred years locked away.","","False","0x00000031","",""
