"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKMA303_03293_SEQ_00<tab>Cassard is impressed by your gastronomic fortitude.","TEXT_LUCKMA303_03293_SEQ_00<tab>Кассард впечатлён вашей гастрономической стойкостью.","","False","0x00000000","",""
"","TEXT_LUCKMA303_03293_SEQ_01<tab>","","","False","0x00000001","",""
"","TEXT_LUCKMA303_03293_SEQ_02<tab>","","","False","0x00000002","",""
"","TEXT_LUCKMA303_03293_SEQ_03<tab>","","","False","0x00000003","",""
"","TEXT_LUCKMA303_03293_SEQ_04<tab>","","","False","0x00000004","",""
"","TEXT_LUCKMA303_03293_SEQ_05<tab>","","","False","0x00000005","",""
"","TEXT_LUCKMA303_03293_SEQ_06<tab>","","","False","0x00000006","",""
"","TEXT_LUCKMA303_03293_SEQ_07<tab>","","","False","0x00000007","",""
"","TEXT_LUCKMA303_03293_SEQ_08<tab>","","","False","0x00000008","",""
"","TEXT_LUCKMA303_03293_SEQ_09<tab>","","","False","0x00000009","",""
"","TEXT_LUCKMA303_03293_SEQ_10<tab>","","","False","0x0000000A","",""
"","TEXT_LUCKMA303_03293_SEQ_11<tab>","","","False","0x0000000B","",""
"","TEXT_LUCKMA303_03293_SEQ_12<tab>","","","False","0x0000000C","",""
"","TEXT_LUCKMA303_03293_SEQ_13<tab>","","","False","0x0000000D","",""
"","TEXT_LUCKMA303_03293_SEQ_14<tab>","","","False","0x0000000E","",""
"","TEXT_LUCKMA303_03293_SEQ_15<tab>","","","False","0x0000000F","",""
"","TEXT_LUCKMA303_03293_SEQ_16<tab>","","","False","0x00000010","",""
"","TEXT_LUCKMA303_03293_SEQ_17<tab>","","","False","0x00000011","",""
"","TEXT_LUCKMA303_03293_SEQ_18<tab>","","","False","0x00000012","",""
"","TEXT_LUCKMA303_03293_SEQ_19<tab>","","","False","0x00000013","",""
"","TEXT_LUCKMA303_03293_SEQ_20<tab>","","","False","0x00000014","",""
"","TEXT_LUCKMA303_03293_SEQ_21<tab>","","","False","0x00000015","",""
"","TEXT_LUCKMA303_03293_SEQ_22<tab>","","","False","0x00000016","",""
"","TEXT_LUCKMA303_03293_SEQ_23<tab>","","","False","0x00000017","",""
