"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_JOBREL014_00360_SEQ_00<tab>Brangwine seems in a world to herself.","TEXT_JOBREL014_00360_SEQ_00<tab>レヴナンツトールのブラングワインに、特殊なアレキサンドライトについて相談してみよう。","","False","0x00000000","",""
"","TEXT_JOBREL014_00360_SEQ_01<tab>Brangwine is more than willing to give you the flawless alexandrite her son found...in exchange for a few things. The first is a Bombard core to heat her bath, and the second is a bottle of sacred spring water for stain removal. The last is a fine brass kettle of the type fashionable in the North Shroud. Obtain all three to warm her heart.","TEXT_JOBREL014_00360_SEQ_01<tab>レヴナンツトールのブラングワインによると、物々交換であれば、<var 28 ((Item)) F2252501 /var>を譲ってくれるという。「<var 28 ((Item)) F2254301 /var>」「<var 28 ((Item)) F2254401 /var>」「<var 28 ((Item)) F2254801 /var>」を入手し、レヴナンツトールの「ブラングワイン」に渡そう。「<var 28 ((Item)) F2254801 /var>」は、北部森林で出回っているそうだ。","","False","0x00000001","",""
"","TEXT_JOBREL014_00360_SEQ_02<tab>Brangwine takes what you have brought her not with a smile, but with a sigh. Though she wishes to leave Ealdwine money enough to settle down, she worries he never will have the chance. Treasure hunting is, after all, a dangerous business, and so the mother insists you make way to western La Noscea, and persuade her boy to give it up.","TEXT_JOBREL014_00360_SEQ_02<tab>ブラングワインに依頼の品を渡したところ、もうひとつ冒険者に頼みたいことがあると言う。どうやら、彼女の息子にトレジャーハンターを辞めるよう説得してほしいようだ。西ラノシアにいる「エルドワイン」と話そう。","","False","0x00000002","",""
"","TEXT_JOBREL014_00360_SEQ_03<tab>No less soused or stubborn than usual, Ealdwine refuses to stop treasure hunting until he finds his one, big score. Help him do so by searching Amdapor Keep, Pharos Sirius, and the Tam<var 1F /var>Tara Deepcroft for lost treasure.<br><br>※Amdapor Keep, Pharos Sirius, and the Tam<var 1F /var>Tara Deepcroft (Hard) can be accessed via the Duty Finder.","TEXT_JOBREL014_00360_SEQ_03<tab>エルドワインは、一攫千金のお宝を手にするまで、トレジャーハンターを辞めないという。冒険者も、宝探しを手伝うことになった。「邪教排撃 古城アムダプール」を攻略し、「<var 28 ((EventItem)) F61E8A8401 /var>」を入手しよう。「怪鳥巨塔 シリウス大灯台」を攻略し、「<var 28 ((EventItem)) F61E8A8501 /var>」を入手しよう。「惨劇霊殿 タムタラの墓所 (Hard)」を攻略し、「<var 28 ((EventItem)) F61E8A8601 /var>」を入手しよう。<br><br>※コンテンツファインダーから攻略に参加できます。","","False","0x00000003","",""
"","TEXT_JOBREL014_00360_SEQ_04<tab>Dirty and tired, you nevertheless now have the three treasure coffers. Return to Swiftperch so that Ealdwine might pry them open.","TEXT_JOBREL014_00360_SEQ_04<tab>3つのお宝を入手した。スウィフトパーチ入植地の「エルドワイン」に、「<var 28 ((EventItem)) F61E8A8401 /var>」と「<var 28 ((EventItem)) F61E8A8501 /var>」と「<var 28 ((EventItem)) F61E8A8601 /var>」を渡そう。","","False","0x00000004","",""
"","TEXT_JOBREL014_00360_SEQ_05<tab>You watch as Ealdwine lifts the lids of coffers not opened for an age...only to find worthless junk inside. Never one to lose heart for long, though, the treasure hunter lets you in on another tip: there may be another great treasure lost in the Stone Vigil. Go now and see if there is any truth to Ealdwine's claim.<br><br>※The Stone Vigil (Hard) can be accessed via the Duty Finder.","TEXT_JOBREL014_00360_SEQ_05<tab>エルドワインにお宝を渡した。どれも値打ち物ではなかったらしく、エルドワインは落胆していた。次は「城塞奪回 ストーンヴィジル (Hard)」を攻略し、「<var 28 ((EventItem)) F61E8A8701 /var>」を入手しよう。<br><br>※コンテンツファインダーから攻略に参加できます。","","False","0x00000005","",""
"","TEXT_JOBREL014_00360_SEQ_06<tab>The treasure of the Stone Vigil is lost no more. Return with it to Swiftperch, and hope that this, too, is not filled with rubbish.","TEXT_JOBREL014_00360_SEQ_06<tab><var 28 ((EventItem)) F61E8A8701 /var>を入手した。スウィフトパーチ入植地の「エルドワイン」に「<var 28 ((EventItem)) F61E8A8701 /var>」を渡そう。","","False","0x00000006","",""
"","TEXT_JOBREL014_00360_SEQ_07<tab>Excited as a little boy, Ealdwine pries opens the lost treasure from the Stone Vigil. However, once again, he finds nothing but junk. Ealdwine then proclaims he cannot give up treasure hunting yet. However, so as to not to leave you completely empty-handed, he imparts the way to his mother's heart: high-quality tailor-made eel pie and a piece of perfect cloth. Obtain these and return to Revenant's Toll.<br><br>※Certain ingredients required to craft these items can be obtained by desynthesizing aged goods sold at the Silver Bazaar.","TEXT_JOBREL014_00360_SEQ_07<tab>エルドワインにお宝を渡したが、今回も値打ち物ではなかったようだ。エルドワインからの情報を頼りに、「<var 28 ((ItemHQ)) F2252C01 /var>」と「<var 28 ((ItemHQ)) F2252D01 /var>」を入手し、レヴナンツトールの「ブラングワイン」に渡そう。製作に必要な素材の一部は、シルバーバザーで売り出されている品を分解することで得られるらしい。","","False","0x00000007","",""
"","TEXT_JOBREL014_00360_SEQ_08<tab>You could not fulfill your part of the bargain, and Ealdwine remains a treasure hunter. Nonetheless, Brangwine is so pleased with her eel pie and fine fabric that she gives you the piece of flawless alexandrite anyway. With patience and persistence, she reasons, she will make her son give up treasure hunting.<br><br>※If you have obtained all four items requested by Gerolt, you may return to Hyrstmill to have your Zodiac Weapon forged.","TEXT_JOBREL014_00360_SEQ_08<tab>ブラングワインに差し入れをして、「ゾディアックウェポン」に魂を込めるための「<var 28 ((Item)) F2252501 /var>」を譲ってもらった。彼女は、息子が諦めるまで根気よく説得を続けるつもりのようだ。ゲロルトから要求されたすべての品がそろっていた場合は、ハーストミルに戻り、「ゾディアックウェポン」を再創造しよう。","","False","0x00000008","",""
"","TEXT_JOBREL014_00360_SEQ_09<tab>","TEXT_JOBREL014_00360_SEQ_09<tab>","","False","0x00000009","",""
