"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_SUBFST159_01425_SEQ_00<tab>Eral has noticed a rare bit of excitement within the serene city<var 1F /var>state and would share with you what he knows.","TEXT_SUBFST159_01425_SEQ_00<tab>カーラインカフェのエラルは、何か驚いているようだ。","","False","0x00000000","",""
"","TEXT_SUBFST159_01425_SEQ_01<tab>Eral has espied a lovely maid frolicking in the Acorn Orchard, and would have you discover whether a feast is nigh. Head off toward the play area outside the Carpenters' Guild to see what so pleases the fair Yedythe.","TEXT_SUBFST159_01425_SEQ_01<tab>冒険者のエラルは、真面目で退屈だと思っていたグリダニアの人々が、楽しそうな踊りをしていたことに驚いたようだ。グリダニアのどんぐり遊園にいる「イエディス」と話そう。","","False","0x00000001","",""
"","TEXT_SUBFST159_01425_SEQ_02<tab>Yedythe proves to be a dancing master, albeit a rather agitated one at the moment. The younglings under her instruction have fled for more congenial pursuits. Yedythe wonders if Timbermaster Beatin may be of assistance in tracking them down.","TEXT_SUBFST159_01425_SEQ_02<tab>イエディスは、子どもたちに踊りを教えていたようだ。しかし、子どもたちは練習に飽きて、どこかに逃げていってしまったらしい。グリダニアの木工師ギルドにいる「ベアティヌ」に、子どもたちを手懐ける方法を聞いてみよう。","","False","0x00000002","",""
"","TEXT_SUBFST159_01425_SEQ_03<tab>Beatin's solution is deceptively simple: a toy for each child. Using the skills that won you acclaim as a tracker, find the truant younglings and present them with the toys.","TEXT_SUBFST159_01425_SEQ_03<tab>ベアティヌによると、木製の玩具を渡せば、子どもたちの機嫌がなおるようだ。グリダニアで、逃げた子どもたちを捜して「<var 28 ((EventItem)) F61E896101 /var>」を渡そう。","","False","0x00000003","",""
"","TEXT_SUBFST159_01425_SEQ_04<tab>The younglings see the toys through the lens of their hopes, and return to the orchard resolved to give their nervous dance instructor another try. Return to Yedythe and tell her of what transpired.","TEXT_SUBFST159_01425_SEQ_04<tab>子どもたちは、どんぐり遊園に戻ったようだ。どんぐり遊園の「イエディス」に報告しよう。","","False","0x00000004","",""
"","TEXT_SUBFST159_01425_SEQ_05<tab>Yedythe is delighted to realize that she and the younglings have formed a tentative bond. She teaches you the harvest dance, and is impressed at your talent for it. However, before her plaudits can continue, Beatin appears and inadvertently scares off the poor instructor.","TEXT_SUBFST159_01425_SEQ_05<tab>イエディスが教えていた踊りは、グリダニアの収穫祭で踊るためのものだった。練習がうまくいき喜ぶイエディス。しかし、途中で現れたベアティヌに驚き、今度は彼女が逃げてしまった……。","","False","0x00000005","",""
"","TEXT_SUBFST159_01425_SEQ_06<tab>","TEXT_SUBFST159_01425_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_SUBFST159_01425_SEQ_07<tab>","TEXT_SUBFST159_01425_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_SUBFST159_01425_SEQ_08<tab>","TEXT_SUBFST159_01425_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_SUBFST159_01425_SEQ_09<tab>","TEXT_SUBFST159_01425_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_SUBFST159_01425_SEQ_10<tab>","TEXT_SUBFST159_01425_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_SUBFST159_01425_SEQ_11<tab>","TEXT_SUBFST159_01425_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_SUBFST159_01425_SEQ_12<tab>","TEXT_SUBFST159_01425_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_SUBFST159_01425_SEQ_13<tab>","TEXT_SUBFST159_01425_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_SUBFST159_01425_SEQ_14<tab>","TEXT_SUBFST159_01425_SEQ_14<tab>","","False","0x0000000E","",""
