"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CLSTHM250_00352_SEQ_00<tab>Guildmaster Cocobygo wishes to enlist your assistance.","TEXT_CLSTHM250_00352_SEQ_00<tab>Guildmaster Cocobygo wishes to enlist your assistance.","","False","0x00000000","",""
"","TEXT_CLSTHM250_00352_SEQ_01<tab>Cocobygo is disturbed by his eldest sibling's uncharacteristic indecision. Speak with Cocobuki, and see what might be done to aid the hesitant thaumaturge in taking a definitive course of action.","TEXT_CLSTHM250_00352_SEQ_01<tab>Cocobygo is disturbed by his eldest sibling's uncharacteristic indecision. Speak with Cocobuki, and see what might be done to aid the hesitant thaumaturge in taking a definitive course of action.","","False","0x00000001","",""
"","TEXT_CLSTHM250_00352_SEQ_02<tab>The scholars who originally requested the destruction of Mormo's urn have returned from their expedition into the ruins of Sil'dih. Seek out the three voidmaths in Camp Drybone, and ask for their chapters of the <var 1A 02 /var>Book of Mormo<var 1A 01 /var>.","TEXT_CLSTHM250_00352_SEQ_02<tab>The scholars who originally requested the destruction of Mormo's urn have returned from their expedition into the ruins of Sil'dih. Seek out the three voidmaths in Camp Drybone, and ask for their chapters of the <var 1A 02 /var>Book of Mormo<var 1A 01 /var>.","","False","0x00000002","",""
"","TEXT_CLSTHM250_00352_SEQ_03<tab>You have collected the three chapters of the <var 1A 02 /var>Book of Mormo<var 1A 01 /var>. Deliver the completed tome to Cocobuki at the Thaumaturges' Guild.","TEXT_CLSTHM250_00352_SEQ_03<tab>You have collected the three chapters of the <var 1A 02 /var>Book of Mormo<var 1A 01 /var>. Deliver the completed tome to Cocobuki at the Thaumaturges' Guild.","","False","0x00000003","",""
"","TEXT_CLSTHM250_00352_SEQ_04<tab>Upon handing the <var 1A 02 /var>Book of Mormo<var 1A 01 /var> to Cocobuki, he reads several key excerpts to you out loud. The scholars' work seems to have given him an idea on how to handle his voidsent-possessed brother. Returning the book back to you, Cocobuki requests you show its contents to Cocobygo.","TEXT_CLSTHM250_00352_SEQ_04<tab>Upon handing the <var 1A 02 /var>Book of Mormo<var 1A 01 /var> to Cocobuki, he reads several key excerpts to you out loud. The scholars' work seems to have given him an idea on how to handle his voidsent-possessed brother. Returning the book back to you, Cocobuki requests you show its contents to Cocobygo.","","False","0x00000004","",""
"","TEXT_CLSTHM250_00352_SEQ_05<tab>Cocobuki bids you undertake the trial depicted in the true final chapter of the <var 1A 02 /var>Yawning Abyss<var 1A 01 /var>, and prove to his siblings that a brave mage is not necessarily a dead mage. When you are prepared to demonstrate the heretofore hidden chapter's lesson, proceed into the hallowed hall of Thal's Respite in eastern Thanalan, and speak with Cocobuki.","TEXT_CLSTHM250_00352_SEQ_05<tab>Cocobuki bids you undertake the trial depicted in the true final chapter of the <var 1A 02 /var>Yawning Abyss<var 1A 01 /var>, and prove to his siblings that a brave mage is not necessarily a dead mage. When you are prepared to demonstrate the heretofore hidden chapter's lesson, proceed into the hallowed hall of Thal's Respite in eastern Thanalan, and speak with Cocobuki.","","False","0x00000005","",""
"","TEXT_CLSTHM250_00352_SEQ_06<tab>You have completed the terrible and deadly trial of the hidden chapter. Return to the Thaumaturges' Guild and speak with Cocobuki.","TEXT_CLSTHM250_00352_SEQ_06<tab>You have completed the terrible and deadly trial of the hidden chapter. Return to the Thaumaturges' Guild and speak with Cocobuki.","","False","0x00000006","",""
"","TEXT_CLSTHM250_00352_SEQ_07<tab>With the horrors of the hidden chapter safely vanquished, you have inspired the guildmaster siblings to greater heights of thaumaturgy. Return to your studies, and prepare for the coming confrontation with Mormo herself.<br><br>※The next thaumaturge quest will be available from Cocobuki upon reaching level 30.","TEXT_CLSTHM250_00352_SEQ_07<tab>With the horrors of the hidden chapter safely vanquished, you have inspired the guildmaster siblings to greater heights of thaumaturgy. Return to your studies, and prepare for the coming confrontation with Mormo herself.<br><br>※The next thaumaturge quest will be available from Cocobuki upon reaching level 30.","","False","0x00000007","",""
"","TEXT_CLSTHM250_00352_SEQ_08<tab>","TEXT_CLSTHM250_00352_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_CLSTHM250_00352_SEQ_09<tab>","TEXT_CLSTHM250_00352_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_CLSTHM250_00352_SEQ_10<tab>","TEXT_CLSTHM250_00352_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_CLSTHM250_00352_SEQ_11<tab>","TEXT_CLSTHM250_00352_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_CLSTHM250_00352_SEQ_12<tab>","TEXT_CLSTHM250_00352_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_CLSTHM250_00352_SEQ_13<tab>","TEXT_CLSTHM250_00352_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_CLSTHM250_00352_SEQ_14<tab>","TEXT_CLSTHM250_00352_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_CLSTHM250_00352_SEQ_15<tab>","TEXT_CLSTHM250_00352_SEQ_15<tab>","","False","0x0000000F","",""
