"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_AKTKMG104_04453_SEQ_00<tab>Try as he might, Alphinaud can find no sign of Thancred.","TEXT_AKTKMG104_04453_SEQ_00<tab>Альфино всё высматривает Танкреда.","","False","0x00000000","",""
"","TEXT_AKTKMG104_04453_SEQ_01<tab>","TEXT_AKTKMG104_04453_SEQ_01<tab>","","True","0x00000001","",""
"","TEXT_AKTKMG104_04453_SEQ_02<tab>","TEXT_AKTKMG104_04453_SEQ_02<tab>","","True","0x00000002","",""
"","TEXT_AKTKMG104_04453_SEQ_03<tab>","TEXT_AKTKMG104_04453_SEQ_03<tab>","","True","0x00000003","",""
"","TEXT_AKTKMG104_04453_SEQ_04<tab>","TEXT_AKTKMG104_04453_SEQ_04<tab>","","True","0x00000004","",""
"","TEXT_AKTKMG104_04453_SEQ_05<tab>","TEXT_AKTKMG104_04453_SEQ_05<tab>","","True","0x00000005","",""
"","TEXT_AKTKMG104_04453_SEQ_06<tab>","TEXT_AKTKMG104_04453_SEQ_06<tab>","","True","0x00000006","",""
"","TEXT_AKTKMG104_04453_SEQ_07<tab>","TEXT_AKTKMG104_04453_SEQ_07<tab>","","True","0x00000007","",""
"","TEXT_AKTKMG104_04453_SEQ_08<tab>","TEXT_AKTKMG104_04453_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_AKTKMG104_04453_SEQ_09<tab>","TEXT_AKTKMG104_04453_SEQ_09<tab>","","True","0x00000009","",""
"","TEXT_AKTKMG104_04453_SEQ_10<tab>","TEXT_AKTKMG104_04453_SEQ_10<tab>","","True","0x0000000A","",""
"","TEXT_AKTKMG104_04453_SEQ_11<tab>","TEXT_AKTKMG104_04453_SEQ_11<tab>","","True","0x0000000B","",""
"","TEXT_AKTKMG104_04453_SEQ_12<tab>","TEXT_AKTKMG104_04453_SEQ_12<tab>","","True","0x0000000C","",""
"","TEXT_AKTKMG104_04453_SEQ_13<tab>","TEXT_AKTKMG104_04453_SEQ_13<tab>","","True","0x0000000D","",""
"","TEXT_AKTKMG104_04453_SEQ_14<tab>","TEXT_AKTKMG104_04453_SEQ_14<tab>","","True","0x0000000E","",""
"","TEXT_AKTKMG104_04453_SEQ_15<tab>","TEXT_AKTKMG104_04453_SEQ_15<tab>","","True","0x0000000F","",""
"","TEXT_AKTKMG104_04453_SEQ_16<tab>","TEXT_AKTKMG104_04453_SEQ_16<tab>","","True","0x00000010","",""
"","TEXT_AKTKMG104_04453_SEQ_17<tab>","TEXT_AKTKMG104_04453_SEQ_17<tab>","","True","0x00000011","",""
"","TEXT_AKTKMG104_04453_SEQ_18<tab>","TEXT_AKTKMG104_04453_SEQ_18<tab>","","True","0x00000012","",""
"","TEXT_AKTKMG104_04453_SEQ_19<tab>","TEXT_AKTKMG104_04453_SEQ_19<tab>","","True","0x00000013","",""
"","TEXT_AKTKMG104_04453_SEQ_20<tab>","TEXT_AKTKMG104_04453_SEQ_20<tab>","","True","0x00000014","",""
"","TEXT_AKTKMG104_04453_SEQ_21<tab>","TEXT_AKTKMG104_04453_SEQ_21<tab>","","True","0x00000015","",""
"","TEXT_AKTKMG104_04453_SEQ_22<tab>","TEXT_AKTKMG104_04453_SEQ_22<tab>","","True","0x00000016","",""
"","TEXT_AKTKMG104_04453_SEQ_23<tab>","TEXT_AKTKMG104_04453_SEQ_23<tab>","","True","0x00000017","",""
"","TEXT_AKTKMG104_04453_TODO_00<tab>Speak with Alphinaud.","TEXT_AKTKMG104_04453_TODO_00<tab>Поговорите с Альфино.","","False","0x00000018","",""
"","TEXT_AKTKMG104_04453_TODO_01<tab>Gather information at the vitrified fort.","TEXT_AKTKMG104_04453_TODO_01<tab>Соберите информацию в остекленевшем форте.","","False","0x00000019","",""
