"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CLSWVR021_00535_SEQ_00<tab>Redolent Rose would like to assign you your first task as a weaver.","TEXT_CLSWVR021_00535_SEQ_00<tab>Vous avez été admis<var 08 E905 ((e)) (()) /var> dans la guilde des couturiers. Parlez à Redolent Rose avec votre aiguille usée en main.","","False","0x00000000","",""
"","TEXT_CLSWVR021_00535_SEQ_01<tab>Satisfied with your ability to hold the needle he gave you, Redolent Rose would now like to see if you can use it. He has tasked you with preparing a spindle of hempen yarn, for which you will require moko grass and lightning shards. While the grass can be purchased from the guild supplier, the shards must be obtained elsewhere. Craft a spindle of hempen yarn and deliver it to the guildmaster.","TEXT_CLSWVR021_00535_SEQ_01<tab>Redolent Rose vous a demandé de fabriquer du <var 2F ((<var 28 ((Item)) F214D50A /var>)) /var>. Vous pouvez acheter l'<var 2F ((<var 28 ((Item)) F214DD0A /var>)) /var> nécessaire à sa confection auprès de Gigima, près de la réception de la guilde. Quand vous aurez fabriqué le fil demandé, apportez-le à Redolent Rose.","","False","0x00000001","",""
"","TEXT_CLSWVR021_00535_SEQ_02<tab>After a brief inspection, Redolent Rose acknowledges your ability to follow instructions. He bids you return for your next lesson once you have achieved basic proficiency.<br><br>※The next weaver quest will be available from Redolent Rose upon reaching level 5.","TEXT_CLSWVR021_00535_SEQ_02<tab>Vous avez réussi à fournir le <var 2F ((<var 28 ((Item)) F214D50A /var>)) /var> demandé, et Redolent Rose s'est montré satisfait de votre travail. <br>* Redolent Rose propose la prochaine quête aux couturiers de niveau 5.","","False","0x00000002","",""
"","TEXT_CLSWVR021_00535_SEQ_03<tab>","TEXT_CLSWVR021_00535_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_CLSWVR021_00535_SEQ_04<tab>","TEXT_CLSWVR021_00535_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_CLSWVR021_00535_SEQ_05<tab>","TEXT_CLSWVR021_00535_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_CLSWVR021_00535_SEQ_06<tab>","TEXT_CLSWVR021_00535_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_CLSWVR021_00535_SEQ_07<tab>","TEXT_CLSWVR021_00535_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_CLSWVR021_00535_SEQ_08<tab>","TEXT_CLSWVR021_00535_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_CLSWVR021_00535_SEQ_09<tab>","TEXT_CLSWVR021_00535_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_CLSWVR021_00535_SEQ_10<tab>","TEXT_CLSWVR021_00535_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_CLSWVR021_00535_SEQ_11<tab>","TEXT_CLSWVR021_00535_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_CLSWVR021_00535_SEQ_12<tab>","TEXT_CLSWVR021_00535_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_CLSWVR021_00535_SEQ_13<tab>","TEXT_CLSWVR021_00535_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_CLSWVR021_00535_SEQ_14<tab>","TEXT_CLSWVR021_00535_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_CLSWVR021_00535_SEQ_15<tab>","TEXT_CLSWVR021_00535_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_CLSWVR021_00535_SEQ_16<tab>","TEXT_CLSWVR021_00535_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_CLSWVR021_00535_SEQ_17<tab>","TEXT_CLSWVR021_00535_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_CLSWVR021_00535_SEQ_18<tab>","TEXT_CLSWVR021_00535_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_CLSWVR021_00535_SEQ_19<tab>","TEXT_CLSWVR021_00535_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_CLSWVR021_00535_SEQ_20<tab>","TEXT_CLSWVR021_00535_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_CLSWVR021_00535_SEQ_21<tab>","TEXT_CLSWVR021_00535_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_CLSWVR021_00535_SEQ_22<tab>","TEXT_CLSWVR021_00535_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_CLSWVR021_00535_SEQ_23<tab>","TEXT_CLSWVR021_00535_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_CLSWVR021_00535_TODO_00<tab>Deliver a spindle of hempen yarn to Redolent Rose.","TEXT_CLSWVR021_00535_TODO_00<tab>Livrer du <var 2F ((<var 28 ((Item)) F214D50A /var>)) /var> à Redolent Rose","","False","0x00000018","",""
"","TEXT_CLSWVR021_00535_TODO_01<tab>","TEXT_CLSWVR021_00535_TODO_01<tab>","","False","0x00000019","",""
"","TEXT_CLSWVR021_00535_TODO_02<tab>","TEXT_CLSWVR021_00535_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_CLSWVR021_00535_TODO_03<tab>","TEXT_CLSWVR021_00535_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_CLSWVR021_00535_TODO_04<tab>","TEXT_CLSWVR021_00535_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_CLSWVR021_00535_TODO_05<tab>","TEXT_CLSWVR021_00535_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_CLSWVR021_00535_TODO_06<tab>","TEXT_CLSWVR021_00535_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_CLSWVR021_00535_TODO_07<tab>","TEXT_CLSWVR021_00535_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_CLSWVR021_00535_TODO_08<tab>","TEXT_CLSWVR021_00535_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_CLSWVR021_00535_TODO_09<tab>","TEXT_CLSWVR021_00535_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_CLSWVR021_00535_TODO_10<tab>","TEXT_CLSWVR021_00535_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_CLSWVR021_00535_TODO_11<tab>","TEXT_CLSWVR021_00535_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_CLSWVR021_00535_TODO_12<tab>","TEXT_CLSWVR021_00535_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_CLSWVR021_00535_TODO_13<tab>","TEXT_CLSWVR021_00535_TODO_13<tab>","","False","0x00000025","",""
