"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CHREND202_02208_SEQ_00<tab>Father Saturnois wears a troubled frown...","TEXT_CHREND202_02208_SEQ_00<tab>聖アンダリム神学院のサテュールノワ司祭は、ウラーの行方に関する噂について語りたいようだ。","","False","0x00000000","",""
"","TEXT_CHREND202_02208_SEQ_01<tab>According to Father Saturnois, the scholasticate is awash with rumors that Archombadin was complicit in Ulaa's disappearance. Reasoning that the youth would never involve himself in anything which might endanger his reputation, nor less bring dishonor to House Dzemael as a whole, he is convinced that an outsider must be responsible, and implores you to look into the matter. Wasting no time, he ushers you in the direction of Lebrassoir, who has been frantically searching for clues as to the identity of the true culprit.","TEXT_CHREND202_02208_SEQ_01<tab>サテュールノワ司祭から、ウラーの行方に関する噂を聞いた。その噂とは、事実上、聖アンダリム神学院を牛耳る貴族出身の神学生のアルションバダンが、事件に関与しているというものだ。この噂について、アルションバダンの側近である神学生ルブラソワールが悩んでいるという。イシュガルド上層の「ルブラソワール」と話して、探りを入れてみよう。","","False","0x00000001","",""
"","TEXT_CHREND202_02208_SEQ_02<tab>Unsurprisingly, Lebrassoir is adamant that Archombadin had nothing to do with Ulaa's disappearance, and he duly bombards you with evidence of his friend's innocence. However, he soon catches himself and abruptly changes tack, and after making you swear to tell none but Briardien what he is about to divulge, he produces volume eleven of the <var 1A 02 /var>Articles of Halonic Polity<var 1A 01 /var>, which he confesses to having found in Archombadin's room. Insisting that Ulaa must somehow be responsible for both the recent rumors, and the sudden appearance of the book in the prefect's dormitory, he hands over the tome, and beseeches you to find Ulaa so that Archombadin's name might be cleared. Now would seem a good time to apprise Briardien of all that has occurred.","TEXT_CHREND202_02208_SEQ_02<tab>ルブラソワールと話した。彼は、寮長室で<var 28 ((EventItem)) F61E8A5701 /var>を発見したという。これをアルションバダンを追い詰める工作だと断じたルブラソワールは、冒険者に協力を仰いだ。聖レマノー大聖堂の「ブリアルディアン」に、「<var 28 ((EventItem)) F61E8A5701 /var>」を渡し、調査結果を報告しよう。","","False","0x00000002","",""
"","TEXT_CHREND202_02208_SEQ_03<tab>Briardien is both impressed and slightly flabbergasted to learn that you have found the missing volume. Though he is somewhat skeptical of the seminarians' grand conspiracy theories, he acknowledges that speculation will avail you naught, and that further investigation is in order. While he seeks to learn what he can from the tome, he bids you make your way to the Brume and see if any there know of Ulaa─or failing that, know of any unusual happenings, for one can never be too well-informed.","TEXT_CHREND202_02208_SEQ_03<tab>ブリアルディアンに<var 28 ((EventItem)) F61E8A5701 /var>を渡し、調査結果を報告した。ルブラソワールの依頼どおり、「雲霧街」でウラーが失踪した頃の不穏な動きに関する情報を集めよう。","","False","0x00000003","",""
"","TEXT_CHREND202_02208_SEQ_04<tab>Some of the residents of the Brume are more forthcoming than others, and while none of their information seems to pertain directly to Ulaa, two accounts in particular give you pause─one of a poor man come into a small fortune, and another of a rich man offering far too much for a simple errand. Though it seems unlikely that these incidents have any connection to Ulaa's disappearance, perhaps Inspector Briardien will think otherwise.","TEXT_CHREND202_02208_SEQ_04<tab>雲霧街で情報を集めた。聖レマノー大聖堂の「ブリアルディアン」と話して、結果を報告しよう。","","False","0x00000004","",""
"","TEXT_CHREND202_02208_SEQ_05<tab>Briardien informs you that Ulaa was the last person to have removed the book from the library─a fact which could lend credence to Lebrassoir's claims. Still, it is a far cry from conclusive evidence. Seeing as how the power of the Echo will avail you naught under these circumstances, you have no choice but to rely upon the traditional methods of continuing to search for clues and question persons of interest...","TEXT_CHREND202_02208_SEQ_05<tab>ブリアルディアンに、調査結果を報告した。謎が新たな謎を呼ぶ状況で、ブリアルディアンは、さらなる調査の方向性について思案しているようだ。","","False","0x00000005","",""
"","TEXT_CHREND202_02208_SEQ_06<tab>","TEXT_CHREND202_02208_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_CHREND202_02208_SEQ_07<tab>","TEXT_CHREND202_02208_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_CHREND202_02208_SEQ_08<tab>","TEXT_CHREND202_02208_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_CHREND202_02208_SEQ_09<tab>","TEXT_CHREND202_02208_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_CHREND202_02208_SEQ_10<tab>","TEXT_CHREND202_02208_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_CHREND202_02208_SEQ_11<tab>","TEXT_CHREND202_02208_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_CHREND202_02208_SEQ_12<tab>","TEXT_CHREND202_02208_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_CHREND202_02208_SEQ_13<tab>","TEXT_CHREND202_02208_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_CHREND202_02208_SEQ_14<tab>","TEXT_CHREND202_02208_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_CHREND202_02208_SEQ_15<tab>","TEXT_CHREND202_02208_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_CHREND202_02208_SEQ_16<tab>","TEXT_CHREND202_02208_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_CHREND202_02208_SEQ_17<tab>","TEXT_CHREND202_02208_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_CHREND202_02208_SEQ_18<tab>","TEXT_CHREND202_02208_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_CHREND202_02208_SEQ_19<tab>","TEXT_CHREND202_02208_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_CHREND202_02208_SEQ_20<tab>","TEXT_CHREND202_02208_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_CHREND202_02208_SEQ_21<tab>","TEXT_CHREND202_02208_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_CHREND202_02208_SEQ_22<tab>","TEXT_CHREND202_02208_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_CHREND202_02208_SEQ_23<tab>","TEXT_CHREND202_02208_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_CHREND202_02208_TODO_00<tab>Speak with Lebrassoir in the Pillars.","TEXT_CHREND202_02208_TODO_00<tab>上層のルブラソワールと話す","","False","0x00000018","",""
