"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CHREND202_02208_SEQ_00<tab>Father Saturnois wears a troubled frown...","TEXT_CHREND202_02208_SEQ_00<tab>Saturnois wird dir gleich erzählen, was ihm zu Ohren gekommen ist.","","False","0x00000000","",""
"","TEXT_CHREND202_02208_SEQ_01<tab>According to Father Saturnois, the scholasticate is awash with rumors that Archombadin was complicit in Ulaa's disappearance. Reasoning that the youth would never involve himself in anything which might endanger his reputation, nor less bring dishonor to House Dzemael as a whole, he is convinced that an outsider must be responsible, and implores you to look into the matter. Wasting no time, he ushers you in the direction of Lebrassoir, who has been frantically searching for clues as to the identity of the true culprit.","TEXT_CHREND202_02208_SEQ_01<tab>Saturnois hat ein Gerücht aufgeschnappt, dem zufolge Archombadin an Ulaas Verschwinden beteiligt gewesen sein soll. Lebrassoir versucht nun verzweifelt, seinen besten Freund vor Schaden zu bewahren. Such Lebrassoir im Strebewerk und sprich ihn auf die Gerüchte an.","","False","0x00000001","",""
"","TEXT_CHREND202_02208_SEQ_02<tab>Unsurprisingly, Lebrassoir is adamant that Archombadin had nothing to do with Ulaa's disappearance, and he duly bombards you with evidence of his friend's innocence. However, he soon catches himself and abruptly changes tack, and after making you swear to tell none but Briardien what he is about to divulge, he produces volume eleven of the <var 1A 02 /var>Articles of Halonic Polity<var 1A 01 /var>, which he confesses to having found in Archombadin's room. Insisting that Ulaa must somehow be responsible for both the recent rumors, and the sudden appearance of the book in the prefect's dormitory, he hands over the tome, and beseeches you to find Ulaa so that Archombadin's name might be cleared. Now would seem a good time to apprise Briardien of all that has occurred.","TEXT_CHREND202_02208_SEQ_02<tab>Lebrassoir vertraut dir ein Buch an, das er in Archombadins Zimmer gefunden hat: ausgerechnet der elfte Band des Theologischen Gesamtwerks, den Ulaa vor ihrem Verschwinden ausgeliehen hatte. Er ist sicher, dass alles die Intrige eines Unbekannten ist, um den einflussreichen Archombadin aus dem Weg zu schaffen. Bring den heiklen Fund zu Briardien in der Sankt Reymanaud-Kathedrale.","","False","0x00000002","",""
"","TEXT_CHREND202_02208_SEQ_03<tab>Briardien is both impressed and slightly flabbergasted to learn that you have found the missing volume. Though he is somewhat skeptical of the seminarians' grand conspiracy theories, he acknowledges that speculation will avail you naught, and that further investigation is in order. While he seeks to learn what he can from the tome, he bids you make your way to the Brume and see if any there know of Ulaa─or failing that, know of any unusual happenings, for one can never be too well-informed.","TEXT_CHREND202_02208_SEQ_03<tab>Briardien ist geneigt, Lebrassoir zu glauben: Jemand muss Archombadin das belastende Buch untergeschoben haben. Hör dich in den Schwaden um, ob zum Zeitpunkt von Ulaas Verschwinden irgendetwas Verdächtiges vorgegangen ist.","","False","0x00000003","",""
"","TEXT_CHREND202_02208_SEQ_04<tab>Some of the residents of the Brume are more forthcoming than others, and while none of their information seems to pertain directly to Ulaa, two accounts in particular give you pause─one of a poor man come into a small fortune, and another of a rich man offering far too much for a simple errand. Though it seems unlikely that these incidents have any connection to Ulaa's disappearance, perhaps Inspector Briardien will think otherwise.","TEXT_CHREND202_02208_SEQ_04<tab>Berichte Briardien in der Sankt Reymanaud-Kathedrale von deinen Erkenntnissen.","","False","0x00000004","",""
"","TEXT_CHREND202_02208_SEQ_05<tab>Briardien informs you that Ulaa was the last person to have removed the book from the library─a fact which could lend credence to Lebrassoir's claims. Still, it is a far cry from conclusive evidence. Seeing as how the power of the Echo will avail you naught under these circumstances, you have no choice but to rely upon the traditional methods of continuing to search for clues and question persons of interest...","TEXT_CHREND202_02208_SEQ_05<tab>Briardien meint, dass noch weitere Nach<var 16 /var>for<var 16 /var>schungen vonnöten sein werden. Die Rätsel scheinen sich zu mehren statt zu lichten ...","","False","0x00000005","",""
"","TEXT_CHREND202_02208_SEQ_06<tab>","TEXT_CHREND202_02208_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_CHREND202_02208_SEQ_07<tab>","TEXT_CHREND202_02208_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_CHREND202_02208_SEQ_08<tab>","TEXT_CHREND202_02208_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_CHREND202_02208_SEQ_09<tab>","TEXT_CHREND202_02208_SEQ_09<tab>","","False","0x00000009","",""
