"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANQIQ106_03811_SEQ_00<tab>Qhoterl Pasol has a passion for rations.<br><br>※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","TEXT_BANQIQ106_03811_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>特殊ルール： レベルアジャスト受注クラス・ジョブ制限<var 49 01 /var><var 48 01 /var><br>※本クエストは受注時のクラスでのみ進行します。<br><br>ホパル古盤のコテルリ・パソリは、地下へ向かう仲間たちに食料を持たせたいようだ。","","False","0x00000000","",""
"","TEXT_BANQIQ106_03811_SEQ_01<tab>Deliver the requested items to Qhoterl Pasol.","TEXT_BANQIQ106_03811_SEQ_01<tab>コテルリ・パソリに依頼された品を納品","","False","0x00000001","",""
"","TEXT_BANQIQ106_03811_SEQ_02<tab>","TEXT_BANQIQ106_03811_SEQ_02<tab>","","False","0x00000002","",""
"","TEXT_BANQIQ106_03811_SEQ_03<tab>","TEXT_BANQIQ106_03811_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_BANQIQ106_03811_SEQ_04<tab>","TEXT_BANQIQ106_03811_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_BANQIQ106_03811_SEQ_05<tab>","TEXT_BANQIQ106_03811_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANQIQ106_03811_SEQ_06<tab>","TEXT_BANQIQ106_03811_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANQIQ106_03811_SEQ_07<tab>","TEXT_BANQIQ106_03811_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANQIQ106_03811_SEQ_08<tab>","TEXT_BANQIQ106_03811_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANQIQ106_03811_SEQ_09<tab>","TEXT_BANQIQ106_03811_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_BANQIQ106_03811_SEQ_10<tab>","TEXT_BANQIQ106_03811_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANQIQ106_03811_SEQ_11<tab>","TEXT_BANQIQ106_03811_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_BANQIQ106_03811_SEQ_12<tab>","TEXT_BANQIQ106_03811_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_BANQIQ106_03811_SEQ_13<tab>","TEXT_BANQIQ106_03811_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_BANQIQ106_03811_SEQ_14<tab>","TEXT_BANQIQ106_03811_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_BANQIQ106_03811_SEQ_15<tab>","TEXT_BANQIQ106_03811_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_BANQIQ106_03811_SEQ_16<tab>","TEXT_BANQIQ106_03811_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_BANQIQ106_03811_SEQ_17<tab>","TEXT_BANQIQ106_03811_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_BANQIQ106_03811_SEQ_18<tab>","TEXT_BANQIQ106_03811_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_BANQIQ106_03811_SEQ_19<tab>","TEXT_BANQIQ106_03811_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_BANQIQ106_03811_SEQ_20<tab>","TEXT_BANQIQ106_03811_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_BANQIQ106_03811_SEQ_21<tab>","TEXT_BANQIQ106_03811_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_BANQIQ106_03811_SEQ_22<tab>","TEXT_BANQIQ106_03811_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_BANQIQ106_03811_SEQ_23<tab>","TEXT_BANQIQ106_03811_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_BANQIQ106_03811_TODO_00<tab><var 08 E4E80511 ((<var 08 E3E802E803 ((Mine splendid scorpions at the Husk)) ((Deliver the splendid scorpions to Qhoterl Pasol)) /var>)) ((<var 08 E4E80512 ((<var 08 E3E802E803 ((Gather splendid wild berries at the Husk)) ((Deliver the splendid wild berries to Qhoterl Pasol)) /var>)) ((<var 08 E4E80513 ((<var 08 E3E802E803 ((Spearfish a splendid piranha in the depths of Lake Tusi Mek'ta)) ((Deliver the splendid piranha to Qhoterl Pasol)) /var>)) (()) /var>)) /var>)) /var>.","TEXT_BANQIQ106_03811_TODO_00<tab><var 08 E4E80511 ((<var 08 E3E802E803 ((割れた宝卵付近の岩場で<var 28 ((Item)) E80601 /var>を砕岩)) ((コテルリ・パソリに<var 28 ((Item)) E80601 /var>を納品)) /var>)) ((<var 08 E4E80512 ((<var 08 E3E802E803 ((割れた宝卵付近の草刈場で<var 28 ((Item)) E80601 /var>を草刈)) ((コテルリ・パソリに<var 28 ((Item)) E80601 /var>を納品)) /var>)) ((<var 08 E4E80513 ((<var 08 E3E802E803 ((トゥシ・メキタ湖の水中で<var 28 ((Item)) E80601 /var>を刺突漁)) ((コテルリ・パソリに<var 28 ((Item)) E80601 /var>を納品)) /var>)) (()) /var>)) /var>)) /var>","","False","0x00000018","",""
"","TEXT_BANQIQ106_03811_TODO_01<tab>","TEXT_BANQIQ106_03811_TODO_01<tab>","","False","0x00000019","",""
"","TEXT_BANQIQ106_03811_TODO_02<tab>","TEXT_BANQIQ106_03811_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_BANQIQ106_03811_TODO_03<tab>","TEXT_BANQIQ106_03811_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_BANQIQ106_03811_TODO_04<tab>","TEXT_BANQIQ106_03811_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_BANQIQ106_03811_TODO_05<tab>","TEXT_BANQIQ106_03811_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_BANQIQ106_03811_TODO_06<tab>","TEXT_BANQIQ106_03811_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_BANQIQ106_03811_TODO_07<tab>","TEXT_BANQIQ106_03811_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_BANQIQ106_03811_TODO_08<tab>","TEXT_BANQIQ106_03811_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_BANQIQ106_03811_TODO_09<tab>","TEXT_BANQIQ106_03811_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_BANQIQ106_03811_TODO_10<tab>","TEXT_BANQIQ106_03811_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_BANQIQ106_03811_TODO_11<tab>","TEXT_BANQIQ106_03811_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_BANQIQ106_03811_TODO_12<tab>","TEXT_BANQIQ106_03811_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_BANQIQ106_03811_TODO_13<tab>","TEXT_BANQIQ106_03811_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_BANQIQ106_03811_TODO_14<tab>","TEXT_BANQIQ106_03811_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_BANQIQ106_03811_TODO_15<tab>","TEXT_BANQIQ106_03811_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_BANQIQ106_03811_TODO_16<tab>","TEXT_BANQIQ106_03811_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_BANQIQ106_03811_TODO_17<tab>","TEXT_BANQIQ106_03811_TODO_17<tab>","","False","0x00000029","",""
