"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_SUBWIL140_00697_SEQ_00<tab>Nedrick of the Scions of the Seventh Dawn has some useful information he wishes to share.","","","False","0x00000000","",""
"","TEXT_SUBWIL140_00697_SEQ_01<tab>Nedrick has told you of a training ground in eastern Thanalan known as Halatali. Find its entrance, and there speak with one Flame Private Fafajoni.","","","False","0x00000001","",""
"","TEXT_SUBWIL140_00697_SEQ_02<tab>You have learned from Nedrick and Fafajoni that dangerous beasts reside within the abandoned corridors of Halatali. With some reluctance, the flame private has granted you leave to use the former training grounds as you see fit.<br><br>※Halatali can be accessed via the Duty Finder.","","","False","0x00000002","",""
"","TEXT_SUBWIL140_00697_SEQ_03<tab>","","","False","0x00000003","",""
"","TEXT_SUBWIL140_00697_SEQ_04<tab>","","","False","0x00000004","",""
"","TEXT_SUBWIL140_00697_SEQ_05<tab>","","","False","0x00000005","",""
"","TEXT_SUBWIL140_00697_SEQ_06<tab>","","","False","0x00000006","",""
"","TEXT_SUBWIL140_00697_SEQ_07<tab>","","","False","0x00000007","",""
"","TEXT_SUBWIL140_00697_SEQ_08<tab>","","","False","0x00000008","",""
"","TEXT_SUBWIL140_00697_SEQ_09<tab>","","","False","0x00000009","",""
"","TEXT_SUBWIL140_00697_SEQ_10<tab>","","","False","0x0000000A","",""
"","TEXT_SUBWIL140_00697_SEQ_11<tab>","","","False","0x0000000B","",""
"","TEXT_SUBWIL140_00697_SEQ_12<tab>","","","False","0x0000000C","",""
"","TEXT_SUBWIL140_00697_SEQ_13<tab>","","","False","0x0000000D","",""
"","TEXT_SUBWIL140_00697_SEQ_14<tab>","","","False","0x0000000E","",""
"","TEXT_SUBWIL140_00697_SEQ_15<tab>","","","False","0x0000000F","",""
"","TEXT_SUBWIL140_00697_SEQ_16<tab>","","","False","0x00000010","",""
"","TEXT_SUBWIL140_00697_SEQ_17<tab>","","","False","0x00000011","",""
"","TEXT_SUBWIL140_00697_SEQ_18<tab>","","","False","0x00000012","",""
"","TEXT_SUBWIL140_00697_SEQ_19<tab>","","","False","0x00000013","",""
"","TEXT_SUBWIL140_00697_SEQ_20<tab>","","","False","0x00000014","",""
"","TEXT_SUBWIL140_00697_SEQ_21<tab>","","","False","0x00000015","",""
"","TEXT_SUBWIL140_00697_SEQ_22<tab>","","","False","0x00000016","",""
"","TEXT_SUBWIL140_00697_SEQ_23<tab>","","","False","0x00000017","",""
"","TEXT_SUBWIL140_00697_TODO_00<tab>Speak with Fafajoni at Halatali.","","","False","0x00000018","",""
"","TEXT_SUBWIL140_00697_TODO_01<tab>","","","False","0x00000019","",""
"","TEXT_SUBWIL140_00697_TODO_02<tab>","","","False","0x0000001A","",""
"","TEXT_SUBWIL140_00697_TODO_03<tab>","","","False","0x0000001B","",""
"","TEXT_SUBWIL140_00697_TODO_04<tab>","","","False","0x0000001C","",""
"","TEXT_SUBWIL140_00697_TODO_05<tab>","","","False","0x0000001D","",""
"","TEXT_SUBWIL140_00697_TODO_06<tab>","","","False","0x0000001E","",""
"","TEXT_SUBWIL140_00697_TODO_07<tab>","","","False","0x0000001F","",""
"","TEXT_SUBWIL140_00697_TODO_08<tab>","","","False","0x00000020","",""
"","TEXT_SUBWIL140_00697_TODO_09<tab>","","","False","0x00000021","",""
"","TEXT_SUBWIL140_00697_TODO_10<tab>","","","False","0x00000022","",""
"","TEXT_SUBWIL140_00697_TODO_11<tab>","","","False","0x00000023","",""
"","TEXT_SUBWIL140_00697_TODO_12<tab>","","","False","0x00000024","",""
"","TEXT_SUBWIL140_00697_TODO_13<tab>","","","False","0x00000025","",""
"","TEXT_SUBWIL140_00697_TODO_14<tab>","","","False","0x00000026","",""
"","TEXT_SUBWIL140_00697_TODO_15<tab>","","","False","0x00000027","",""
