"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKML103_04066_SEQ_00<tab>Kan<var 1F /var>E<var 1F /var>Senna seems determined not to let the disappointment of Sharlayan's rejection distract her from the task at hand.","TEXT_LUCKML103_04066_SEQ_00<tab>不語仙の座卓のカヌ・エ・センナは、今後の方針について考えているようだ。","","True","0x00000000","",""
"","TEXT_LUCKML103_04066_SEQ_01<tab>Your discussion with Kan<var 1F /var>E<var 1F /var>Senna is interrupted by the arrival of a flustered sylph bearing urgent news from Xelphatol. It would seem the Telophoroi have marched straight through the Ixal's homeland, scattering all before them on their way to the Carteneau Flats. Wasting no time, the Elder Seedseer orders the Twin Adders to ready their airships, and bids you join them on their journey to the battlefield.","TEXT_LUCKML103_04066_SEQ_01<tab>テロフォロイの軍勢が、カルテノー平原を目指しているとの報告が入った。双蛇党の飛空艇で、平原へと連れていってもらえることになった。グリダニアのカーラインカフェ付近で「アルフィノ」と話そう。","","True","0x00000001","",""
"","TEXT_LUCKML103_04066_SEQ_02<tab>Outside the airship port, you are surprised to find Arenvald, whom Fordola has brought all the way from Ul'dah in the hope of speaking with Alphinaud. Your happiness soon gives way to shock, however, when you discover that the youth is now confined to a wheelchair due to the injuries he sustained in the tower at Paglth'an. Having apparently resigned himself to the fact that he can no longer join the other Scions on their adventures, he asks Alphinaud to fight on in his stead and be the hero that he cannot. While these well-meaning words only add to the─largely self-inflicted─weight of expectations with which Alphinaud has been struggling, he seems grateful for the encouragement with battle just around the corner.","TEXT_LUCKML103_04066_SEQ_02<tab>アルフィノと話した。アレンヴァルドはこれまで描いていた英雄への夢と憧れを、アルフィノに託していった。カルテノー平原へと向かうため、カーラインカフェの「アリゼー」と話そう。","","True","0x00000002","",""
"","TEXT_LUCKML103_04066_SEQ_03<tab>Their numbers bolstered by tempered beastmen and lunar primals, the legions of the Telophoroi test the newly forged Grand Company of Eorzea to its breaking point. As you and your fellow Scions descend upon the field of combat, it becomes apparent that the enemy have set their sights on an aetherial confluence buried deep beneath the ground, though their true designs remain a mystery. Knowing only that they must be stopped, you divide your forces and engage a nigh-endless army of foes, drawing upon hitherto untapped reserves of strength, and succeed at length in driving the Telophoroi hordes from their prize.","TEXT_LUCKML103_04066_SEQ_03<tab>飛空艇でカルテノー平原へと向かい、「暁」の仲間たち、グランドカンパニー・エオルゼアとともに、地脈の結節点を狙う異形の蛮神を討伐した。石の家に戻ろう。","","True","0x00000003","",""
"","TEXT_LUCKML103_04066_SEQ_04<tab>Heart still pounding, you look up to the heavens to find Fandaniel staring down at you intently. Making light of his failure, he declares that while the day may be yours, your efforts have earned you no more than a brief stay of execution, and with that he takes his leave. Whether the Ascian is right only time will tell, but the fact remains that when tested, the Grand Company of Eorzea emerged unbroken, which is surely cause to celebrate in itself. You permit yourself a weary smile, and troop from the field. Soon after, a grateful Lord Aymeric offers to fly you and your comrades back to the Rising Stones─where it becomes clear he has much to discuss.","TEXT_LUCKML103_04066_SEQ_04<tab>異形の蛮神が討伐されたのを見て、ファダニエルは去っていった。石の家の「アイメリク」と話そう。","","True","0x00000004","",""
"","TEXT_LUCKML103_04066_SEQ_05<tab>Reasoning that the Grand Company of Eorzea can be relied upon to keep the Telophoroi at bay, Lord Aymeric requests that the Scions search instead for a means to neutralize the threat of the towers. Given Sharlayan's preeminence in the field of aetherological research, it is agreed that the solution will most likely be found there; along, perhaps, with knowledge pertaining to the Final Days. Unfortunately, you will not be able to confirm your suspicions until Krile has obtained permission for you all to set foot in the infamously insular nation, and a long wait seems in prospect.

Sometime later, you accompany Y'shtola and the others on an expedition to investigate the mechanism by which the towers absorb aether, and learn to your dismay that they are draining the lifeblood of the land itself. As you grimly turn for home, you hear an ephemeral voice call out to you and you alone...

It warns that the end draws nigh...and that the fate of the star is in your hands.

※The next main scenario quest will be available from Alphinaud once you have met the following requirements:
※ FINAL FANTASY XIV: Endwalker must be registered to your service account.
※ You must have completed the main scenario quest “Death Unto Dawn.”","TEXT_LUCKML103_04066_SEQ_05<tab>アイメリクと話した。「暁の血盟」は、「終末の塔」への攻略方法を探ることになった。「終末の塔」の謎を解明するためにも、シャーレアン本国へと行く必要がありそうだ。塔が地脈から吸い上げたエーテルの用途や、冒険者の前に現れた謎の姿など、気にかかる部分も多いが、何が待っていても立ち向かえるよう、今は英気を養っておこう。

※以下の条件を満たすと、石の家のアルフィノから、新たなメインクエストを受注することができます。
1.「暁月のフィナーレ」のプレイ権を所有している。
2.「メインクエスト：終末の序曲編」の、
　「黎明の死闘」を完了する。","","False","0x00000005","",""
"","TEXT_LUCKML103_04066_SEQ_06<tab>","TEXT_LUCKML103_04066_SEQ_06<tab>","","True","0x00000006","",""
"","TEXT_LUCKML103_04066_SEQ_07<tab>","TEXT_LUCKML103_04066_SEQ_07<tab>","","True","0x00000007","",""
"","TEXT_LUCKML103_04066_SEQ_08<tab>","TEXT_LUCKML103_04066_SEQ_08<tab>","","True","0x00000008","",""
"","TEXT_LUCKML103_04066_SEQ_09<tab>","TEXT_LUCKML103_04066_SEQ_09<tab>","","True","0x00000009","",""
"","TEXT_LUCKML103_04066_SEQ_10<tab>","TEXT_LUCKML103_04066_SEQ_10<tab>","","True","0x0000000A","",""
"","TEXT_LUCKML103_04066_SEQ_11<tab>","TEXT_LUCKML103_04066_SEQ_11<tab>","","True","0x0000000B","",""
"","TEXT_LUCKML103_04066_SEQ_12<tab>","TEXT_LUCKML103_04066_SEQ_12<tab>","","True","0x0000000C","",""
"","TEXT_LUCKML103_04066_SEQ_13<tab>","TEXT_LUCKML103_04066_SEQ_13<tab>","","True","0x0000000D","",""
"","TEXT_LUCKML103_04066_SEQ_14<tab>","TEXT_LUCKML103_04066_SEQ_14<tab>","","True","0x0000000E","",""
"","TEXT_LUCKML103_04066_SEQ_15<tab>","TEXT_LUCKML103_04066_SEQ_15<tab>","","True","0x0000000F","",""
"","TEXT_LUCKML103_04066_SEQ_16<tab>","TEXT_LUCKML103_04066_SEQ_16<tab>","","True","0x00000010","",""
"","TEXT_LUCKML103_04066_SEQ_17<tab>","TEXT_LUCKML103_04066_SEQ_17<tab>","","True","0x00000011","",""
"","TEXT_LUCKML103_04066_SEQ_18<tab>","TEXT_LUCKML103_04066_SEQ_18<tab>","","True","0x00000012","",""
"","TEXT_LUCKML103_04066_SEQ_19<tab>","TEXT_LUCKML103_04066_SEQ_19<tab>","","True","0x00000013","",""
"","TEXT_LUCKML103_04066_SEQ_20<tab>","TEXT_LUCKML103_04066_SEQ_20<tab>","","True","0x00000014","",""
"","TEXT_LUCKML103_04066_SEQ_21<tab>","TEXT_LUCKML103_04066_SEQ_21<tab>","","True","0x00000015","",""
"","TEXT_LUCKML103_04066_SEQ_22<tab>","TEXT_LUCKML103_04066_SEQ_22<tab>","","True","0x00000016","",""
"","TEXT_LUCKML103_04066_SEQ_23<tab>","TEXT_LUCKML103_04066_SEQ_23<tab>","","True","0x00000017","",""
"","TEXT_LUCKML103_04066_TODO_00<tab>Speak with Alphinaud outside the Carline Canopy.","TEXT_LUCKML103_04066_TODO_00<tab>カーラインカフェのアルフィノと話す","","True","0x00000018","",""
"","TEXT_LUCKML103_04066_TODO_01<tab>Speak with Alisaie.","TEXT_LUCKML103_04066_TODO_01<tab>アリゼーと話す","","True","0x00000019","",""
"","TEXT_LUCKML103_04066_TODO_02<tab>Speak with Alisaie.","TEXT_LUCKML103_04066_TODO_02<tab>アリゼーと話す","","True","0x0000001A","",""
"","TEXT_LUCKML103_04066_TODO_03<tab>Speak with Aymeric.","TEXT_LUCKML103_04066_TODO_03<tab>アイメリクと話す","","True","0x0000001B","",""
"","TEXT_LUCKML103_04066_TODO_04<tab>","TEXT_LUCKML103_04066_TODO_04<tab>","","True","0x0000001C","",""
"","TEXT_LUCKML103_04066_TODO_05<tab>","TEXT_LUCKML103_04066_TODO_05<tab>","","True","0x0000001D","",""
"","TEXT_LUCKML103_04066_TODO_06<tab>","TEXT_LUCKML103_04066_TODO_06<tab>","","True","0x0000001E","",""
"","TEXT_LUCKML103_04066_TODO_07<tab>","TEXT_LUCKML103_04066_TODO_07<tab>","","True","0x0000001F","",""
"","TEXT_LUCKML103_04066_TODO_08<tab>","TEXT_LUCKML103_04066_TODO_08<tab>","","True","0x00000020","",""
"","TEXT_LUCKML103_04066_TODO_09<tab>","TEXT_LUCKML103_04066_TODO_09<tab>","","True","0x00000021","",""
"","TEXT_LUCKML103_04066_TODO_10<tab>","TEXT_LUCKML103_04066_TODO_10<tab>","","True","0x00000022","",""
"","TEXT_LUCKML103_04066_TODO_11<tab>","TEXT_LUCKML103_04066_TODO_11<tab>","","True","0x00000023","",""
"","TEXT_LUCKML103_04066_TODO_12<tab>","TEXT_LUCKML103_04066_TODO_12<tab>","","True","0x00000024","",""
"","TEXT_LUCKML103_04066_TODO_13<tab>","TEXT_LUCKML103_04066_TODO_13<tab>","","True","0x00000025","",""
"","TEXT_LUCKML103_04066_TODO_14<tab>","TEXT_LUCKML103_04066_TODO_14<tab>","","True","0x00000026","",""
"","TEXT_LUCKML103_04066_TODO_15<tab>","TEXT_LUCKML103_04066_TODO_15<tab>","","True","0x00000027","",""
"","TEXT_LUCKML103_04066_TODO_16<tab>","TEXT_LUCKML103_04066_TODO_16<tab>","","True","0x00000028","",""
"","TEXT_LUCKML103_04066_TODO_17<tab>","TEXT_LUCKML103_04066_TODO_17<tab>","","True","0x00000029","",""
"","TEXT_LUCKML103_04066_TODO_18<tab>","TEXT_LUCKML103_04066_TODO_18<tab>","","True","0x0000002A","",""
"","TEXT_LUCKML103_04066_TODO_19<tab>","TEXT_LUCKML103_04066_TODO_19<tab>","","True","0x0000002B","",""
"","TEXT_LUCKML103_04066_TODO_20<tab>","TEXT_LUCKML103_04066_TODO_20<tab>","","True","0x0000002C","",""
"","TEXT_LUCKML103_04066_TODO_21<tab>","TEXT_LUCKML103_04066_TODO_21<tab>","","True","0x0000002D","",""
"","TEXT_LUCKML103_04066_TODO_22<tab>","TEXT_LUCKML103_04066_TODO_22<tab>","","True","0x0000002E","",""
"","TEXT_LUCKML103_04066_TODO_23<tab>","TEXT_LUCKML103_04066_TODO_23<tab>","","True","0x0000002F","",""
"","TEXT_LUCKML103_04066_ALPHINAUD_000_000<tab>Throughout my childhood, I remember Grandfather arguing with my father over Sharlayan's policy of nonintervention. And this time, it was my turn to play the role.","TEXT_LUCKML103_04066_ALPHINAUD_000_000<tab>父は昔から、シャーレアンの使命をどう解釈するかで、
他国の救済に赴かんとする祖父と揉めていたんだ。
……それが、私にも突きつけられる日がきたということか。","","True","0x00000030","",""
"","TEXT_LUCKML103_04066_ALPHINAUD_000_001<tab>But if even my grandfather could not win him over, what chance had I? If words exist that may sway him, I know not what they are...","TEXT_LUCKML103_04066_ALPHINAUD_000_001<tab>果たして私は、
あれほど強固な信念を持った相手を打ち砕けるような、
そんな答えを、見つけ出せるのだろうか……。","","True","0x00000031","",""
"","TEXT_LUCKML103_04066_ALISAIE_000_005<tab>With their knowledge, Sharlayan could have done so much for the cause! They could have helped us to uncover the secrets of the towers and save the tempered captives within, and yet─ <var 1A 02 /var>Gods<var 1A 01 /var>!","TEXT_LUCKML103_04066_ALISAIE_000_005<tab>「終末の塔」の解析ができれば、
中で囚えられているテンパードになってしまった人たちも、
救えるかもしれないっていうのに……！","","True","0x00000032","",""
"","TEXT_LUCKML103_04066_GRAHATIA_000_010<tab>The Forum includes representatives from all of Sharlayan's central institutions. With them hindering Krile's investigation, she will struggle to make any headway on her own.","TEXT_LUCKML103_04066_GRAHATIA_000_010<tab>哲学者議会には、シャーレアンの主要組織の代表も加わってる。
それがあそこまで拒絶を示した以上、
たしかに、クルルひとりで調査は難しいだろうな……。","","True","0x00000033","",""
"","TEXT_LUCKML103_04066_SILENTCONJURER_000_015<tab>Have you more to discuss with the Elder Seedseer?","TEXT_LUCKML103_04066_SILENTCONJURER_000_015<tab>カヌ・エ様とのお話は、まだ終わっていないのでは？
「不語仙の座卓」へと向かうかね？","","True","0x00000034","",""
"","TEXT_LUCKML103_04066_SYSTEM_100_015<tab>Proceed to the Lotus Stand?","TEXT_LUCKML103_04066_SYSTEM_100_015<tab>「不語仙の座卓」へ移動しますか？","","True","0x00000035","",""
"","TEXT_LUCKML103_04066_KANESENNA_000_030<tab>While Sharlayan's stance is indeed disappointing, we cannot allow ourselves to be distracted from the challenge before us. There is much and more to be done.","TEXT_LUCKML103_04066_KANESENNA_000_030<tab>……暗鬱とした気持ちのときでも、
顔を上げねばならないのが、私たちのつらいところですね。
やらねばならないことが山積みですから。","","True","0x00000036","",""
"","TEXT_LUCKML103_04066_KANESENNA_000_031<tab>I shall begin by sharing the Forum's response with my counterparts in the Alliance. Meanwhile, I would ask that the Scions─","TEXT_LUCKML103_04066_KANESENNA_000_031<tab>シャーレアンからの要請に対する返答は、
私からグランドカンパニー・エオルゼアに共有しましょう。
「暁」の皆様は……。","","True","0x00000037","",""
"","TEXT_LUCKML103_04066_SYLPHICSERVANT04066_000_032<tab>(-???-)Grave tidings, walking ones! Grave, <var 1A 02 /var>grave<var 1A 01 /var> tidings!","TEXT_LUCKML103_04066_SYLPHICSERVANT04066_000_032<tab>(-？？？？-)た、たたたたた、大変でふっち～！","","True","0x00000038","",""
"","TEXT_LUCKML103_04066_KANESENNA_000_033<tab>Calm yourself, my gentle friend. What has occurred?","TEXT_LUCKML103_04066_KANESENNA_000_033<tab>あなたは……仮宿からの使いですね？","","True","0x00000039","",""
"","TEXT_LUCKML103_04066_SYLPHICSERVANT04066_000_034<tab>These ones who went to see feathered ones send terrible news! Destroying ones have appeared in Xelphatol!","TEXT_LUCKML103_04066_SYLPHICSERVANT04066_000_034<tab>イクサル族のもとへ向かった仲間から、
さっそく緊急の報せが入ったのでふっち……！
ゼルファトルにテロフォロイの軍勢が現れたのでふっち！","","True","0x0000003A","",""
